Exporters	Imported value in 2013-M09	Imported value in 2013-M10	Imported value in 2013-M11	Imported value in 2013-M12	Imported value in 2014-M01	Imported value in 2014-M02	Imported value in 2014-M03	Imported value in 2014-M04	Imported value in 2014-M05	Imported value in 2014-M06	Imported value in 2014-M07	Imported value in 2014-M08	Imported value in 2014-M09	Imported value in 2014-M10	Imported value in 2014-M11	Imported value in 2014-M12	Imported value in 2015-M01	Imported value in 2015-M02	Imported value in 2015-M03	Imported value in 2015-M04	
"Italy"	8567	6362	4689	3048	4541	5379	6494	5575	6553	5478	8641	4745	5226	7544	5865	3350	3653	3884	5943	5250	
"China"	3146	2634	2099	2629	2392	1599	2958	4122	3770	3420	3853	3735	3291	3912	2313	3285	2969	2410	2702	3141	
"Turkey"	2760	1898	3315	1962	2900	2897	3529	3269	2932	3084	5072	4303	4178	2484	3071	1495	1162	1485	1346	1854	
"Austria"	1415	4585	1767	1618	2709	2789	4173	2414	2133	2284	2976	1767	2780	2957	2456	1285	1879	1414	1314	1224	
"Denmark"	1273	1295	863	644	914	863	878	935	1026	1057	1440	1087	1273	1237	909	984	821	918	871	888	
"Germany"	935	792	1164	663	519	1189	898	642	872	635	976	633	810	1353	746	887	613	883	633	813	
"Portugal"	877	1223	1214	961	1011	1008	1518	1214	1016	1263	1661	396	1270	1046	619	515	676	852	576	677	
"Czech Republic"	1067	1072	456	156	338	279	307	280	312	1127	3456	3552	2611	2757	739	392	243	500	764	452	
"Spain"	236	246	110	118	146	217	214	357	665	470	210	28	139	74	87	28	75	246	127	352	
"Poland"	512	539	482	304	386	658	529	603	594	681	388	318	497	499	309	426	327	212	330	318	
"France"	296	288	170	105	230	232	117	189	160	321	187	263	523	197	706	337	88	169	192	274	
"Finland"	150	400	114		115	73	175	273	94	163	16	103	79	6	42	46	6	38	70	230	
"United States of America"	396	402	700	253	568	905	495	757	695	179	504	2264	1019	1984	2341	630	269	512	423	230	
"Ireland"	456	747	897	233	725	681	108	450	474	398	239	616	507	642	793	174	415	110	815	206	
"Slovakia"	159	154	226	58	89	106	288	229	150	195	309	175	77	70	172	23	228	199	296	191	
"Netherlands"	1513	791	315	181	313	489	626	645	297	449	589	388	510	627	282	259	1038	234	346	173	
"Romania"		237	120	606	82	145	208	203	287	609	776	165	242	253	379	178	132	63	126	149	
"Japan"	36	91	80	77	57	33	44	84	84	56	61	84		157	3	102	45	84	33	94	
"Greece"	60	95	72	76	77	90	95	123	83	116	251	130	38	105	333	912	108	65	63	93	
"Mexico"	113	129	281	104	23		79	81	107	232	139	360	169	93			35	66	51	56	
"Belgium"	45	98	44	23	32	44	46	67	35	66	67	41	49	57	65	39	37	42	62	40	
"Hungary"	171	25	52	11	10	94	109	106	10	5	26	17	26	104	42	13	21	4	13	30	
"Bulgaria"		31	34				33	29			32		30		34			25		25	
"Malaysia"			28		28		26						5				0	0	0	12	
"Sweden"		8		6	1	7	11	0	19	5	5	0	1	1	0	12	3	9	22	10	
"Switzerland"			3	6		10	12	10	0	3	2	1	11	2		17	0	23	1	10	
"Korea, Republic of"																4			5	6	
"Lithuania"	121		7							8				0						6	
"Singapore"								66	2		7			287						0	
"Slovenia"		1	1				1					32		14			10	5	6		
"South Africa"		35		118		37	150	352	67	68		37	33	24	26	9		64	2		
"Russian Federation"																			26		
"India"								3			2										
"Qatar"														0				8			
"Israel"										20	49		5								
"Taipei, Chinese"							2										1				
"New Zealand"	122	11				41	21		58		11	54			10		55	53	27		
"Norway"										14			3	0					6		
"Indonesia"			7															28			
"Australia"		2					50		9		48	9	3	0	5			17	0		
"Brazil"																20					
"Egypt"																		0			
