Exporters	Imported value in 2013-M09	Imported value in 2013-M10	Imported value in 2013-M11	Imported value in 2013-M12	Imported value in 2014-M01	Imported value in 2014-M02	Imported value in 2014-M03	Imported value in 2014-M04	Imported value in 2014-M05	Imported value in 2014-M06	Imported value in 2014-M07	Imported value in 2014-M08	Imported value in 2014-M09	Imported value in 2014-M10	Imported value in 2014-M11	Imported value in 2014-M12	Imported value in 2015-M01	Imported value in 2015-M02	Imported value in 2015-M03	Imported value in 2015-M04	
"Turkey"	20206	18742	12429	13422	9674	9354	11246	13577	11427	16536	18120	14919	17789	13338	11807	9400	7199	7518	8651	10365	
"China"	8230	7677	8184	7228	6569	5185	7955	16958	11482	20962	14071	16613	16420	11025	9787	10012	11755	9766	10431	9058	
"Korea, Republic of"	6406	8204	2351	2368	3991	2601	4089	2957	5321	6973	6059	4395	5982	5705	3927	3751	3338	2154	4347	4386	
"Germany"	2976	4187	3118	1908	2856	3289	3822	3597	2527	3575	3941	2648	3883	4407	3593	2168	2270	2618	3429	4141	
"Poland"	6837	7328	4978	5489	6099	4587	4168	4447	6139	8550	5759	8110	5007	6430	6313	6136	4149	2546	4227	3684	
"Italy"	3714	3387	2007	1360	2249	1573	3621	2381	2676	2787	2505	1716	3354	3583	3568	1977	3294	3681	2751	3224	
"Romania"	480	247	437	237	129	1533	845	1131	985	1521	1537	1528	1999	1491	1138	618	490	779	881	966	
"Hungary"	2061	1824	1342	1261	1275	846	772	1017	434	412	689	1043	710	556	729	557	466	505	296	528	
"Thailand"	626	363	560	448	414	507	800	501	714	299	754	880	693	588	486	714	566	634	661	416	
"Ireland"	246	270	280	236	163	199	247	214	274	295	416	281	185	298	468	390	324	144	297	372	
"Bulgaria"	457	426	457	429	82	426	281	411	85	239	387	283	281	96	37	82	17	223	281	352	
"Spain"	959	837	505	248	271	419	288	316	342	403	395	542	673	5			264	183	297	306	
"Slovenia"	357	320	440	180	449	508	312	108	237	277	298	353	452	244	263	231	211	235	162	179	
"Austria"	27	187	182	129	42	288	43	43	163	71	323	100	137	123	30	55	19	101	61	124	
"India"	202	332	103	233	307	198	200	292	198	190	97	1	93	259	131	86	256	80	257	87	
"Czech Republic"	247	84	61	29	74	61	28	55	82	113	84	80	80	85	26	41	71	68	571	77	
"Mexico"				79		82									82			41		41	
"Denmark"	35	21	16	10	34	15	17	30	38	26	30	39	36	29	23	10	24	16	21	22	
"United States of America"	383	337	250	358	823	358	948	940	602	263	1408	5204	4913	2283	1362	747	594	35	185	20	
"Netherlands"	3						5	8	1	31	1	20	4	4	5	89		43	25	9	
"Singapore"				15		0									5	7				5	
"Belgium"																				5	
"Indonesia"	12	1							16	43	63									5	
"France"	28	37	16	19	33	21	47	18	17	27	21	10	17	20	19	7	27	4	13	3	
"Israel"					2																
"Greece"	1										5										
"Bosnia and Herzegovina"											16	16	16	16							
"Chile"				1																	
"Estonia"																	11	10			
"Finland"					4																
"Serbia"	24	61	33	123		106	47		106	72	72	71			135	34	98	44	22		
"Sweden"	27													4							
"Switzerland"					2								1								
"Norway"		1	1													5					
"Philippines"									1	1				1		1					
"Portugal"			1								7				1						
"Latvia"								4	1	12	9										
"Lithuania"			172			1		1													
