Exporters	Imported value in 2012-M02	Imported value in 2012-M03	Imported value in 2012-M04	Imported value in 2012-M05	Imported value in 2012-M06	Imported value in 2012-M07	Imported value in 2012-M08	Imported value in 2012-M09	Imported value in 2012-M10	Imported value in 2012-M11	Imported value in 2012-M12	Imported value in 2013-M01	Imported value in 2013-M02	Imported value in 2013-M03	Imported value in 2013-M04	Imported value in 2013-M05	Imported value in 2013-M06	Imported value in 2013-M07	Imported value in 2013-M08	Imported value in 2013-M09	
"Italy"	5056	7452	6327	7157	6685	6681	4958	7086	6855	4767	2829	2871	3347	4440	3875	5575	6044	7832	6546	8567	
"China"	1123	1140	1560	1754	2264	1779	1698	2066	2131	1206	2057	1728	1496	1469	1084	2156	2220	3282	2923	3146	
"Turkey"	1187	2728	2708	2579	3936	3529	2468	1213	2215	1667	1733	1393	1321	1831	2879	1878	3995	4421	4670	2760	
"Netherlands"	333	418	488	213	393	417	372	484	388	394	238	505	223	627	264	379	329	511	166	1513	
"Austria"	2189	1029	923	861	2024	1425	679	697	1149	714	1062	3410	1998	2260	2790	2177	3679	1407	1778	1415	
"Denmark"	659	909	964	1181	960	827	1099	912	936	872	565	958	756	788	745	864	766	1174	1335	1273	
"Czech Republic"	318	769	1562	2881	2492	2625	1460	2822	1865	1053	27	563	756	1189	1156	1692	1552	806	1073	1067	
"Germany"	1316	704	1074	2297	1350	1791	1196	1250	1296	1491	1520	889	994	672	572	715	475	786	603	935	
"Portugal"	933	859	760	564	845	978	398	872	778	987	456	686	623	760	661	550	739	1068	490	877	
"Poland"	595	483	689	441	542	644	833	988	620	980	1041	369	259	500	352	319	384	366	523	512	
"Ireland"	670	780	426	632	555	924	434	519	1008	865	363	864	503	720	947	1144	583	695	584	456	
"United States of America"	487	992	1612	549	607	247	704	733	340	449	240	305	427	256	362	479	324	454	661	396	
"France"	245	374	65	241	486	271	340	393	234	171	10	67	206	136	187	281	462	184	85	296	
"Spain"	215	198	293	180	131	137	93	76	144	81	83	69	71	159	123	142	161	207	56	236	
"Hungary"	215	61	65	164	54	336	329	55	49	26	12	12	103	277	16	32	190	22	202	171	
"Slovakia"	23	118	131	131	297	148	29	216	273	134	53	20	311	278	203	89	66	117	105	159	
"Finland"	46	81	75	87	67	13	48	141	145	67	12	73	12	107	136	98	53	62	94	150	
"New Zealand"	105			5	68			34		39			13	107	5	21		8	20	122	
"Lithuania"						127	110	1	11						3	7	36	44	30	121	
"Mexico"											1							135	186	113	
"Greece"	61	116	49	117	32	105	52	92	46	50	15	55	21	27	75	64	131	114	69	60	
"Belgium"	56	83	41	60	35	58	50	30	39	46	40	48	84	95	72	48	60	52	107	45	
"Japan"	63	22	55	57	58	134	81	29	43	63	159	87	118	102	70	49	91	49	84	36	
"Kazakhstan"												17									
"Jordan"	0																				
"Mauritius"		0																			
"Israel"	0	0	0	0																	
"Nigeria"	0																				
"Norway"	5		1			1	12		5				1	30							
"Qatar"														3	5				30		
"Romania"	209	880	425	169	263	99	5	104	111	3	182	108	142	226	632	70	845	196			
"India"			0	0	0																
"Singapore"									15												
"Bulgaria"	17														16		30	33			
"Canada"	0			1																	
"Chile"	0		0	0	0																
"Bahamas"							0														
"Barbados"																	6				
"Iceland"				0		0															
"Australia"	0	0	5	0	44	0	0	210			50			49					6		
"Slovenia"										1	1			1		1		1			
"South Africa"		147	0	36	33	0	82		35		199		37	95		194		35	72		
"Sweden"	26	1	1	17	2	1	5	5	1	3	21	1	0	0	1		3	1	1		
"Switzerland"		3				2	0		22								8	21	0		
"Thailand"	0	0	0	0	0	0															
"Egypt"		0								1											
