Exporters	Imported value in 2013-M09	Imported value in 2013-M10	Imported value in 2013-M11	Imported value in 2013-M12	Imported value in 2014-M01	Imported value in 2014-M02	Imported value in 2014-M03	Imported value in 2014-M04	Imported value in 2014-M05	Imported value in 2014-M06	Imported value in 2014-M07	Imported value in 2014-M08	Imported value in 2014-M09	Imported value in 2014-M10	Imported value in 2014-M11	Imported value in 2014-M12	Imported value in 2015-M01	Imported value in 2015-M02	Imported value in 2015-M03	Imported value in 2015-M04	
"Turkey"	4607	5581	3386	2789	2541	2942	2658	3211	2977	3377	3367	4466	5156	4158	4079	3654	2930	2659	2413	2688	
"China"	1521	1603	2182	1446	1097	873	1000	1272	1899	1797	1592	2150	1948	2162	1943	1818	1815	1573	1608	2291	
"Germany"	1412	1837	1537	892	1248	1421	1837	1745	1205	1640	1789	1091	1742	2006	1604	1109	1142	913	1323	1272	
"Hungary"	852	1178	1017	862	718	750	510	652	646	698	1016	1044	767	996	1093	501	651	511	331	652	
"Italy"	326	425	544	293	377	305	444	419	336	418	641	350	355	719	356	289	438	287	267	368	
"Netherlands"	8	8	14	7	31	238	461	371	435	480	454	536	523	313	287	264	211	457	277	352	
"Denmark"	260	279	134	125	167	138	147	208	167	387	269	213	178	167	138	157	116	114	164	162	
"Bulgaria"	72	152	143	151	28	138	161	139	55	87	135	41	133	113	29	12	27	109	110	104	
"Spain"	96	90	65	43	58	60	34	78	49	109	79	45	111	10			73	45	37	55	
"Mexico"	13	19	38	27	19		31	4	6	7	6	41	7	21		3		1		53	
"Austria"		58	71	75	42	106	94	74	61	40	78	46	53	24		85	6	70	62	35	
"Ireland"	31	43	87	53	30	48	49	63	59	57	50	73	60	60	49	52	31	36	38	28	
"Serbia"	26		0		56	31	61						22	24		9	0		14	9	
"Portugal"		38		14	9		5					8		2				5	11	8	
"Slovenia"	4	59	44	34	18	49	7	38	17	64	28	14	38	20	40	13	3	22	8	5	
"Belgium"		2		2	2	1		1	2	1		4	1	2						3	
"France"	1	7	1	0	0	1		0			1	0	3	1	0	0		0	0	0	
"Japan"				11																	
"Korea, Republic of"			23	11			10				12							4			
"Lebanon"																			3		
"Latvia"								2		9											
"Australia"									1												
"Finland"		5								25				6	2						
"Greece"																6					
"Sweden"										9											
"United States of America"	41	66	21	39	53	67	136	302	35	21	111	579	504	360	250	13	105				
"Romania"										34		21		1					3		
"India"			8										5								
"Slovakia"										1											
"New Zealand"									1												
"Norway"		1		1					2										0		
"Poland"	1	4		3					2			0	1								
