Exporters	Imported value in 2015-M04	Imported value in 2015-M05	Imported value in 2015-M06	Imported value in 2015-M07	Imported value in 2015-M08	Imported value in 2015-M09	Imported value in 2015-M10	Imported value in 2015-M11	Imported value in 2015-M12	Imported value in 2016-M01	Imported value in 2016-M02	Imported value in 2016-M03	Imported value in 2016-M04	Imported value in 2016-M05	Imported value in 2016-M06	Imported value in 2016-M07	Imported value in 2016-M08	Imported value in 2016-M09	Imported value in 2016-M10	Imported value in 2016-M11	
"Italy"	5250	4831	6845	6760	3389	4491	5194	5825	3036	3136	3897	4927	5308	6088	5710	7245	4874	5551	6741	7696	
"China"	3141	4032	3779	3084	2953	2549	2624	1885	3437	2858	3150	3308	3032	4003	3036	3273	4218	2964	3678	2901	
"Turkey"	1854	1019	1920	2603	2647	4105	2589	1356	753	1310	894	2320	545	2481	2800	1951	3215	2816	3662	2088	
"Austria"	1224	1286	2019	2752	830	1594	2391	1306	564	1382	1378	1475	2888	1056	2777	1404	1642	3880	2165	1406	
"Germany"	813	827	1194	1631	1220	869	1191	1286	884	806	1933	1043	2812	2034	1677	2349	1422	1495	1285	1220	
"Portugal"	677	520	642	1111	372	1391	1389	920	536	638	1128	1376	1320	859	1104	1246	336	1026	1283	972	
"Ireland"	206	599	806	1183	827	972	533	868	519	583	915	626	686	504	869	810	406	634	328	955	
"Czech Republic"	452	534	581	671	755	1130	934	781	279	689	440	565	564	553	423	795	661	1043	652	815	
"Denmark"	888	995	1178	1365	845	1089	901	723	583	655	820	673	875	884	1126	972	915	882	839	764	
"Poland"	318	354	453	433	339	370	540	472	369	310	399	496	531	410	501	421	424	535	419	429	
"United States of America"	230	613	399	806	423	389	566	635	415	433	529	346	531	456	380	277	500	618	488	298	
"France"	274	218	263	304	117	234	231	232	290	391	785	411	222	293	395	386	302	411	401	292	
"Romania"	149	255	518	676	457	278	836	225	53	602	1056	756	255	1483	572	1257	473	1001	452	242	
"Netherlands"	173	230	401	423	495	389	215	464	96	327	365	383	234	219	371	292	215	707	307	204	
"Spain"	352	108	229	43	202	76	268	294	319	39	65	171	76	127	233	92	98	102	161	146	
"Slovakia"	191	201	82	258	181	116	363	131	55	91	104	360	296	255	323	428	161	401	315	80	
"Belgium"	40	80	95	85	59	37	53	49	35	42	76	109	88	71	75	86	103	56	82	59	
"Malaysia"	12	0	26	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	52	
"Slovenia"		23		33	1			1	47	19	25	27	9	28	3	24		53	10	36	
"Greece"	93	68	75	34	17	53	73	78	33	50	136	50	146	124	118	29	125	47	81	28	
"Finland"	230	69	100	18	75	118	117	83	77	62	75	3	217	167	68	72	209	324	110	18	
"Sweden"	10	0	1	1	0	1	0	43		5	6	4	3	9	15	5		4		18	
"New Zealand"		23		44	1				3		2	42	21			14		13	17	14	
"Hungary"	30	1	23	54	56	6	48	9	13	145	50	57	46	65	108	54	26	64	152	8	
"Switzerland"	10	6	12	9	8	28			24			10	43	19		7	3		2	2	
"Thailand"																	2	1			
"Russian Federation"				31									12		53	41		28			
"India"								0													
"Singapore"	0		0	38									17	1	5			55			
"Norway"											1					71	0	74	120		
"Mexico"	56	22	65	134	136	64	167	80	102	48	111	153	142	26	109	177	31	203	52		
"Taipei, Chinese"												4									
"Japan"	94	29	27	45	57	85	37	54	79	63	249	100	127			21					
"Korea, Republic of"	6								15		26										
"Lithuania"	6		34										37			4			4		
"Iceland"													143								
"Australia"								7	5									10	27		
"Israel"																		2			
"Croatia"			1				0	0	0							23		23			
"Brazil"										1	2								1		
"Brunei Darussalam"																		1			
"Bulgaria"	25			29			27	9		281		9	29			25	1	1			
"Canada"							0														
"South Africa"		30	13	78	6	4	34	4	28		27	30	97		31				48		
