CPI_CHN,CPI_GBR,Date,CPI_CHN-1,CPI_CHN-2,CPI_CHN-3,CPI_CHN-4,CPI_CHN-5,CPI_CHN-6,CPI_CHN-7,CPI_CHN-8,CPI_CHN-12,CPI_GBR-1,CPI_GBR-2,CPI_GBR-3,CPI_GBR-4,CPI_GBR-5,CPI_GBR-6,CPI_GBR-7,CPI_GBR-8,CPI_GBR-12
81.521712515941,81.14749845049509,200001,,,,,,,,,,,,,,,,,,
82.58247322928679,81.48608328408551,200002,81.521712515941,,,,,,,,,81.14749845049509,,,,,,,,
81.43549482803991,81.5989448952823,200003,82.58247322928679,81.521712515941,,,,,,,,81.48608328408551,81.14749845049509,,,,,,,
80.95585838343351,81.9375297288727,200004,81.43549482803991,82.58247322928679,81.521712515941,,,,,,,81.5989448952823,81.48608328408551,81.14749845049509,,,,,,
80.47187465840771,82.1632529512663,200005,80.95585838343351,81.43549482803991,82.58247322928679,81.521712515941,,,,,,81.9375297288727,81.5989448952823,81.48608328408551,81.14749845049509,,,,,
79.7414376227202,82.27611456246309,200006,80.47187465840771,80.95585838343351,81.43549482803991,82.58247322928679,81.521712515941,,,,,82.1632529512663,81.9375297288727,81.5989448952823,81.48608328408551,81.14749845049509,,,,
79.2645606364244,81.8246681176759,200007,79.7414376227202,80.47187465840771,80.95585838343351,81.43549482803991,82.58247322928679,81.521712515941,,,,82.27611456246309,82.1632529512663,81.9375297288727,81.5989448952823,81.48608328408551,81.14749845049509,,,
79.73661585797859,81.8246681176759,200008,79.2645606364244,79.7414376227202,80.47187465840771,80.95585838343351,81.43549482803991,82.58247322928679,81.521712515941,,,81.8246681176759,82.27611456246309,82.1632529512663,81.9375297288727,81.5989448952823,81.48608328408551,81.14749845049509,,
81.340128337483,82.50183778485659,200009,79.73661585797859,79.2645606364244,79.7414376227202,80.47187465840771,80.95585838343351,81.43549482803991,82.58247322928679,81.521712515941,,81.8246681176759,81.8246681176759,82.27611456246309,82.1632529512663,81.9375297288727,81.5989448952823,81.48608328408551,81.14749845049509,
81.3398846177203,82.50183778485659,200010,81.340128337483,79.73661585797859,79.2645606364244,79.7414376227202,80.47187465840771,80.95585838343351,81.43549482803991,82.58247322928679,,82.50183778485659,81.8246681176759,81.8246681176759,82.27611456246309,82.1632529512663,81.9375297288727,81.5989448952823,81.48608328408551,
81.5843120584603,82.6146993960535,200011,81.3398846177203,81.340128337483,79.73661585797859,79.2645606364244,79.7414376227202,80.47187465840771,80.95585838343351,81.43549482803991,,82.50183778485659,82.50183778485659,81.8246681176759,81.8246681176759,82.27611456246309,82.1632529512663,81.9375297288727,81.5989448952823,
81.66589664176841,82.6146993960535,200012,81.5843120584603,81.3398846177203,81.340128337483,79.73661585797859,79.2645606364244,79.7414376227202,80.47187465840771,80.95585838343351,,82.6146993960535,82.50183778485659,82.50183778485659,81.8246681176759,81.8246681176759,82.27611456246309,82.1632529512663,81.9375297288727,
82.49997368474321,81.9375297288727,200101,81.66589664176841,81.5843120584603,81.3398846177203,81.340128337483,79.73661585797859,79.2645606364244,79.7414376227202,80.47187465840771,81.521712515941,82.6146993960535,82.6146993960535,82.50183778485659,82.50183778485659,81.8246681176759,81.8246681176759,82.27611456246309,82.1632529512663,81.14749845049509
82.58247322928679,82.05039134006951,200102,82.49997368474321,81.66589664176841,81.5843120584603,81.3398846177203,81.340128337483,79.73661585797859,79.2645606364244,79.7414376227202,82.58247322928679,81.9375297288727,82.6146993960535,82.6146993960535,82.50183778485659,82.50183778485659,81.8246681176759,81.8246681176759,82.27611456246309,81.48608328408551
82.08697880609701,82.38897617365991,200103,82.58247322928679,82.49997368474321,81.66589664176841,81.5843120584603,81.3398846177203,81.340128337483,79.73661585797859,79.2645606364244,81.43549482803991,82.05039134006951,81.9375297288727,82.6146993960535,82.6146993960535,82.50183778485659,82.50183778485659,81.8246681176759,81.8246681176759,81.5989448952823
82.2511528106718,82.84042261844709,200104,82.08697880609701,82.58247322928679,82.49997368474321,81.66589664176841,81.5843120584603,81.3398846177203,81.340128337483,79.73661585797859,80.95585838343351,82.38897617365991,82.05039134006951,81.9375297288727,82.6146993960535,82.6146993960535,82.50183778485659,82.50183778485659,81.8246681176759,81.9375297288727
81.8398963583733,83.5175922856278,200105,82.2511528106718,82.08697880609701,82.58247322928679,82.49997368474321,81.66589664176841,81.5843120584603,81.3398846177203,81.340128337483,80.47187465840771,82.84042261844709,82.38897617365991,82.05039134006951,81.9375297288727,82.6146993960535,82.6146993960535,82.50183778485659,82.50183778485659,82.1632529512663
80.8578182627882,83.6304538968246,200106,81.8398963583733,82.2511528106718,82.08697880609701,82.58247322928679,82.49997368474321,81.66589664176841,81.5843120584603,81.3398846177203,79.7414376227202,83.5175922856278,82.84042261844709,82.38897617365991,82.05039134006951,81.9375297288727,82.6146993960535,82.6146993960535,82.50183778485659,82.27611456246309
80.45352847108359,83.06614584084059,200107,80.8578182627882,81.8398963583733,82.2511528106718,82.08697880609701,82.58247322928679,82.49997368474321,81.66589664176841,81.5843120584603,79.2645606364244,83.6304538968246,83.5175922856278,82.84042261844709,82.38897617365991,82.05039134006951,81.9375297288727,82.6146993960535,82.6146993960535,81.8246681176759
80.5339827129005,83.404730674431,200108,80.45352847108359,80.8578182627882,81.8398963583733,82.2511528106718,82.08697880609701,82.58247322928679,82.49997368474321,81.66589664176841,79.73661585797859,83.06614584084059,83.6304538968246,83.5175922856278,82.84042261844709,82.38897617365991,82.05039134006951,81.9375297288727,82.6146993960535,81.8246681176759
