Date,CPI_TUR,CPI_GBR,CPI_TUR-1,CPI_TUR-2,CPI_TUR-3,CPI_TUR-6,CPI_TUR-12,CPI_GBR-1,CPI_GBR-2,CPI_GBR-3,CPI_GBR-6,CPI_GBR-12
200001,17.8594693286688,81.14749845049509,,,,,,,,,,
200002,18.5209054767937,81.48608328408551,17.8594693286688,,,,,81.14749845049509,,,,
200003,19.061702327461898,81.5989448952823,18.5209054767937,17.8594693286688,,,,81.48608328408551,81.14749845049509,,,
200004,19.5047397474324,81.9375297288727,19.061702327461898,18.5209054767937,17.8594693286688,,,81.5989448952823,81.48608328408551,81.14749845049509,,
200005,19.9373772279669,82.1632529512663,19.5047397474324,19.061702327461898,18.5209054767937,,,81.9375297288727,81.5989448952823,81.48608328408551,,
200006,20.072576440634002,82.27611456246309,19.9373772279669,19.5047397474324,19.061702327461898,,,82.1632529512663,81.9375297288727,81.5989448952823,,
200007,20.5232404828574,81.8246681176759,20.072576440634002,19.9373772279669,19.5047397474324,17.8594693286688,,82.27611456246309,82.1632529512663,81.9375297288727,81.14749845049509,
200008,20.9690512200108,81.8246681176759,20.5232404828574,20.072576440634002,19.9373772279669,18.5209054767937,,81.8246681176759,82.27611456246309,82.1632529512663,81.48608328408551,
200009,21.6138474650383,82.50183778485659,20.9690512200108,20.5232404828574,20.072576440634002,19.061702327461898,,81.8246681176759,81.8246681176759,82.27611456246309,81.5989448952823,
200010,22.2836035647119,82.50183778485659,21.6138474650383,20.9690512200108,20.5232404828574,19.5047397474324,,82.50183778485659,81.8246681176759,81.8246681176759,81.9375297288727,
200011,23.110745414516,82.6146993960535,22.2836035647119,21.6138474650383,20.9690512200108,19.9373772279669,,82.50183778485659,82.50183778485659,81.8246681176759,82.1632529512663,
200012,23.680662095604703,82.6146993960535,23.110745414516,22.2836035647119,21.6138474650383,20.072576440634002,,82.6146993960535,82.50183778485659,82.50183778485659,82.27611456246309,
200101,24.2741519727483,81.9375297288727,23.680662095604703,23.110745414516,22.2836035647119,20.5232404828574,17.8594693286688,82.6146993960535,82.6146993960535,82.50183778485659,81.8246681176759,81.14749845049509
200102,24.710949429057198,82.05039134006951,24.2741519727483,23.680662095604703,23.110745414516,20.9690512200108,18.5209054767937,81.9375297288727,82.6146993960535,82.6146993960535,81.8246681176759,81.48608328408551
