PPI_TUR,PPI_GBR,Date,PPI_TUR-1,PPI_TUR-2,PPI_TUR-3,PPI_TUR-4,PPI_TUR-5,PPI_TUR-6,PPI_TUR-7,PPI_TUR-8,PPI_TUR-12,PPI_GBR-1,PPI_GBR-2,PPI_GBR-3,PPI_GBR-4,PPI_GBR-5,PPI_GBR-6,PPI_GBR-7,PPI_GBR-8,PPI_GBR-12
9.92724487842238,3.40063761955367,200501,13.8435842012183,14.4043499752842,15.473557208928199,12.497472194135499,10.5209914011128,9.44063004846527,10.5242016469171,9.563675760858859,10.750636132315499,3.82978723404254,4.472843450479219,4.4776119402985195,3.4078807241746403,2.7659574468085,2.66808964781218,2.56410256410256,2.13219616204692,0.534188034188033
8.13789205990393,3.8257173219978897,200502,9.92724487842238,13.8435842012183,14.4043499752842,15.473557208928199,12.497472194135499,10.5209914011128,9.44063004846527,10.5242016469171,9.13856907894738,3.40063761955367,3.82978723404254,4.472843450479219,4.4776119402985195,3.4078807241746403,2.7659574468085,2.66808964781218,2.56410256410256,0.0
8.16420664206643,4.23280423280423,200503,8.13789205990393,9.92724487842238,13.8435842012183,14.4043499752842,15.473557208928199,12.497472194135499,10.5209914011128,9.44063004846527,7.96812749003984,3.8257173219978897,3.40063761955367,3.82978723404254,4.472843450479219,4.4776119402985195,3.4078807241746403,2.7659574468085,2.66808964781218,-0.526315789473683
7.50426889547948,4.84210526315789,200504,8.16420664206643,8.13789205990393,9.92724487842238,13.8435842012183,14.4043499752842,15.473557208928199,12.497472194135499,10.5209914011128,8.906724087305461,4.23280423280423,3.8257173219978897,3.40063761955367,3.82978723404254,4.472843450479219,4.4776119402985195,3.4078807241746403,2.7659574468085,0.6355932203389849
7.1826681049982,3.65344467640918,200505,7.50426889547948,8.16420664206643,8.13789205990393,9.92724487842238,13.8435842012183,14.4043499752842,15.473557208928199,12.497472194135499,9.563675760858859,4.84210526315789,4.23280423280423,3.8257173219978897,3.40063761955367,3.82978723404254,4.472843450479219,4.4776119402985195,3.4078807241746403,2.13219616204692
8.70434308558969,3.85416666666668,200506,7.1826681049982,7.50426889547948,8.16420664206643,8.13789205990393,9.92724487842238,13.8435842012183,14.4043499752842,15.473557208928199,10.5242016469171,3.65344467640918,4.84210526315789,4.23280423280423,3.8257173219978897,3.40063761955367,3.82978723404254,4.472843450479219,4.4776119402985195,2.56410256410256
10.093182027862301,4.573804573804559,200507,8.70434308558969,7.1826681049982,7.50426889547948,8.16420664206643,8.13789205990393,9.92724487842238,13.8435842012183,14.4043499752842,9.44063004846527,3.85416666666668,3.65344467640918,4.84210526315789,4.23280423280423,3.8257173219978897,3.40063761955367,3.82978723404254,4.472843450479219,2.66808964781218
11.121281464530899,4.451345755693599,200508,10.093182027862301,8.70434308558969,7.1826681049982,7.50426889547948,8.16420664206643,8.13789205990393,9.92724487842238,13.8435842012183,10.5209914011128,4.573804573804559,3.85416666666668,3.65344467640918,4.84210526315789,4.23280423280423,3.8257173219978897,3.40063761955367,3.82978723404254,2.7659574468085
10.9113787524717,4.840370751802281,200509,11.121281464530899,10.093182027862301,8.70434308558969,7.1826681049982,7.50426889547948,8.16420664206643,8.13789205990393,9.92724487842238,12.497472194135499,4.451345755693599,4.573804573804559,3.85416666666668,3.65344467640918,4.84210526315789,4.23280423280423,3.8257173219978897,3.40063761955367,3.4078807241746403
8.15846756639094,4.08163265306122,200510,10.9113787524717,11.121281464530899,10.093182027862301,8.70434308558969,7.1826681049982,7.50426889547948,8.16420664206643,8.13789205990393,15.473557208928199,4.840370751802281,4.451345755693599,4.573804573804559,3.85416666666668,3.65344467640918,4.84210526315789,4.23280423280423,3.8257173219978897,4.4776119402985195
4.90839958520569,3.36391437308869,200511,8.15846756639094,10.9113787524717,11.121281464530899,10.093182027862301,8.70434308558969,7.1826681049982,7.50426889547948,8.16420664206643,14.4043499752842,4.08163265306122,4.840370751802281,4.451345755693599,4.573804573804559,3.85416666666668,3.65344467640918,4.84210526315789,4.23280423280423,4.472843450479219
4.54820056960387,3.48360655737706,200512,4.90839958520569,8.15846756639094,10.9113787524717,11.121281464530899,10.093182027862301,8.70434308558969,7.1826681049982,7.50426889547948,13.8435842012183,3.36391437308869,4.08163265306122,4.840370751802281,4.451345755693599,4.573804573804559,3.85416666666668,3.65344467640918,4.84210526315789,3.82978723404254
7.559000261255781,4.41932168550874,200601,4.54820056960387,4.90839958520569,8.15846756639094,10.9113787524717,11.121281464530899,10.093182027862301,8.70434308558969,7.1826681049982,9.92724487842238,3.48360655737706,3.36391437308869,4.08163265306122,4.840370751802281,4.451345755693599,4.573804573804559,3.85416666666668,3.65344467640918,3.40063761955367
7.856458496646611,4.19651995905834,200602,7.559000261255781,4.54820056960387,4.90839958520569,8.15846756639094,10.9113787524717,11.121281464530899,10.093182027862301,8.70434308558969,8.13789205990393,4.41932168550874,3.48360655737706,3.36391437308869,4.08163265306122,4.840370751802281,4.451345755693599,4.573804573804559,3.85416666666668,3.8257173219978897
5.87633262260126,3.65482233502536,200603,7.856458496646611,7.559000261255781,4.54820056960387,4.90839958520569,8.15846756639094,10.9113787524717,11.121281464530899,10.093182027862301,8.16420664206643,4.19651995905834,4.41932168550874,3.48360655737706,3.36391437308869,4.08163265306122,4.840370751802281,4.451345755693599,4.573804573804559,4.23280423280423
