TRY,GBP,Date,TRY-1,TRY-2,TRY-3,TRY-4,TRY-5,TRY-6,TRY-7,TRY-8,TRY-12,GBP-1,GBP-2,GBP-3,GBP-4,GBP-5,GBP-6,GBP-7,GBP-8,GBP-12
0.5448025,0.6096070658281321,200001,,,,,,,,,,,,,,,,,,
0.5630395238095239,0.624778033470486,200002,0.5448025,,,,,,,,,0.6096070658281321,,,,,,,,
0.580068695652174,0.632357416916227,200003,0.5630395238095239,0.5448025,,,,,,,,0.624778033470486,0.6096070658281321,,,,,,,
0.59540625,0.632210194335299,200004,0.580068695652174,0.5630395238095239,0.5448025,,,,,,,0.632357416916227,0.624778033470486,0.6096070658281321,,,,,,
0.6173652173913039,0.662591591549789,200005,0.59540625,0.580068695652174,0.5630395238095239,0.5448025,,,,,,0.632210194335299,0.632357416916227,0.624778033470486,0.6096070658281321,,,,,
0.615869772727273,0.6618938188559189,200006,0.6173652173913039,0.59540625,0.580068695652174,0.5630395238095239,0.5448025,,,,,0.662591591549789,0.632210194335299,0.632357416916227,0.624778033470486,0.6096070658281321,,,,
0.6272771428571429,0.6628430088808929,200007,0.615869772727273,0.6173652173913039,0.59540625,0.580068695652174,0.5630395238095239,0.5448025,,,,0.6618938188559189,0.662591591549789,0.632210194335299,0.632357416916227,0.624778033470486,0.6096070658281321,,,
0.645087608695652,0.67171635553722,200008,0.6272771428571429,0.615869772727273,0.6173652173913039,0.59540625,0.580068695652174,0.5630395238095239,0.5448025,,,0.6628430088808929,0.6618938188559189,0.662591591549789,0.632210194335299,0.632357416916227,0.624778033470486,0.6096070658281321,,
0.66452025,0.697577341307164,200009,0.645087608695652,0.6272771428571429,0.615869772727273,0.6173652173913039,0.59540625,0.580068695652174,0.5630395238095239,0.5448025,,0.67171635553722,0.6628430088808929,0.6618938188559189,0.662591591549789,0.632210194335299,0.632357416916227,0.624778033470486,0.6096070658281321,
0.676761136363636,0.688969358010187,200010,0.66452025,0.645087608695652,0.6272771428571429,0.615869772727273,0.6173652173913039,0.59540625,0.580068695652174,0.5630395238095239,,0.697577341307164,0.67171635553722,0.6628430088808929,0.6618938188559189,0.662591591549789,0.632210194335299,0.632357416916227,0.624778033470486,
