Date,CPI_CHN,CPI_CHN-1,CPI_CHN-2,CPI_CHN-3,CPI_CHN-6,CPI_CHN-12,CPI_GBR,CPI_GBR-1,CPI_GBR-2,CPI_GBR-3,CPI_GBR-6,CPI_GBR-12
200001,81.521712515941,,,,,,81.14749845049509,,,,,
200002,82.58247322928679,81.521712515941,,,,,81.48608328408551,81.14749845049509,,,,
200003,81.43549482803991,82.58247322928679,81.521712515941,,,,81.5989448952823,81.48608328408551,81.14749845049509,,,
200004,80.95585838343351,81.43549482803991,82.58247322928679,81.521712515941,,,81.9375297288727,81.5989448952823,81.48608328408551,81.14749845049509,,
200005,80.47187465840771,80.95585838343351,81.43549482803991,82.58247322928679,,,82.1632529512663,81.9375297288727,81.5989448952823,81.48608328408551,,
200006,79.7414376227202,80.47187465840771,80.95585838343351,81.43549482803991,,,82.27611456246309,82.1632529512663,81.9375297288727,81.5989448952823,,
200007,79.2645606364244,79.7414376227202,80.47187465840771,80.95585838343351,81.521712515941,,81.8246681176759,82.27611456246309,82.1632529512663,81.9375297288727,81.14749845049509,
200008,79.73661585797859,79.2645606364244,79.7414376227202,80.47187465840771,82.58247322928679,,81.8246681176759,81.8246681176759,82.27611456246309,82.1632529512663,81.48608328408551,
200009,81.340128337483,79.73661585797859,79.2645606364244,79.7414376227202,81.43549482803991,,82.50183778485659,81.8246681176759,81.8246681176759,82.27611456246309,81.5989448952823,
200010,81.3398846177203,81.340128337483,79.73661585797859,79.2645606364244,80.95585838343351,,82.50183778485659,82.50183778485659,81.8246681176759,81.8246681176759,81.9375297288727,
200011,81.5843120584603,81.3398846177203,81.340128337483,79.73661585797859,80.47187465840771,,82.6146993960535,82.50183778485659,82.50183778485659,81.8246681176759,82.1632529512663,
200012,81.66589664176841,81.5843120584603,81.3398846177203,81.340128337483,79.7414376227202,,82.6146993960535,82.6146993960535,82.50183778485659,82.50183778485659,82.27611456246309,
200101,82.49997368474321,81.66589664176841,81.5843120584603,81.3398846177203,79.2645606364244,81.521712515941,81.9375297288727,82.6146993960535,82.6146993960535,82.50183778485659,81.8246681176759,81.14749845049509
200102,82.58247322928679,82.49997368474321,81.66589664176841,81.5843120584603,79.73661585797859,82.58247322928679,82.05039134006951,81.9375297288727,82.6146993960535,82.6146993960535,81.8246681176759,81.48608328408551
200103,82.08697880609701,82.58247322928679,82.49997368474321,81.66589664176841,81.340128337483,81.43549482803991,82.38897617365991,82.05039134006951,81.9375297288727,82.6146993960535,82.50183778485659,81.5989448952823
200104,82.2511528106718,82.08697880609701,82.58247322928679,82.49997368474321,81.3398846177203,80.95585838343351,82.84042261844709,82.38897617365991,82.05039134006951,81.9375297288727,82.50183778485659,81.9375297288727
200105,81.8398963583733,82.2511528106718,82.08697880609701,82.58247322928679,81.5843120584603,80.47187465840771,83.5175922856278,82.84042261844709,82.38897617365991,82.05039134006951,82.6146993960535,82.1632529512663
200106,80.8578182627882,81.8398963583733,82.2511528106718,82.08697880609701,81.66589664176841,79.7414376227202,83.6304538968246,83.5175922856278,82.84042261844709,82.38897617365991,82.6146993960535,82.27611456246309
200107,80.45352847108359,80.8578182627882,81.8398963583733,82.2511528106718,82.49997368474321,79.2645606364244,83.06614584084059,83.6304538968246,83.5175922856278,82.84042261844709,81.9375297288727,81.8246681176759
200108,80.5339827129005,80.45352847108359,80.8578182627882,81.8398963583733,82.58247322928679,79.73661585797859,83.404730674431,83.06614584084059,83.6304538968246,83.5175922856278,82.05039134006951,81.8246681176759
200109,81.258788283638,80.5339827129005,80.45352847108359,80.8578182627882,82.08697880609701,81.340128337483,83.6304538968246,83.404730674431,83.06614584084059,83.6304538968246,82.38897617365991,82.50183778485659
200110,81.50256472541041,81.258788283638,80.5339827129005,80.45352847108359,82.2511528106718,81.3398846177203,83.404730674431,83.6304538968246,83.404730674431,83.06614584084059,82.84042261844709,82.50183778485659
200111,81.33955911823641,81.50256472541041,81.258788283638,80.5339827129005,81.8398963583733,81.5843120584603,83.2918690632342,83.404730674431,83.6304538968246,83.404730674431,83.5175922856278,82.6146993960535
200112,81.4208991720815,81.33955911823641,81.50256472541041,81.258788283638,80.8578182627882,81.66589664176841,83.5175922856278,83.2918690632342,83.404730674431,83.6304538968246,83.6304538968246,82.6146993960535
200201,81.665161433979,81.4208991720815,81.33955911823641,81.50256472541041,80.45352847108359,82.49997368474321,83.17900745203741,83.5175922856278,83.2918690632342,83.404730674431,83.06614584084059,81.9375297288727
200202,82.5634784720957,81.665161433979,81.4208991720815,81.33955911823641,80.5339827129005,82.58247322928679,83.2918690632342,83.17900745203741,83.5175922856278,83.2918690632342,83.404730674431,82.05039134006951
200203,81.4901536406146,82.5634784720957,81.665161433979,81.4208991720815,81.258788283638,82.08697880609701,83.6304538968246,83.2918690632342,83.17900745203741,83.5175922856278,83.6304538968246,82.38897617365991
200204,81.24568247606321,81.4901536406146,82.5634784720957,81.665161433979,81.50256472541041,82.2511528106718,83.96903873041501,83.6304538968246,83.2918690632342,83.17900745203741,83.404730674431,82.84042261844709
200205,81.001945709601,81.24568247606321,81.4901536406146,82.5634784720957,81.33955911823641,81.8398963583733,84.19476195280859,83.96903873041501,83.6304538968246,83.2918690632342,83.2918690632342,83.5175922856278
200206,80.272928078379,81.001945709601,81.24568247606321,81.4901536406146,81.4208991720815,80.8578182627882,84.19476195280859,84.19476195280859,83.96903873041501,83.6304538968246,83.5175922856278,83.6304538968246
