Importers	Exported value in 2006-M04	Exported value in 2006-M05	Exported value in 2006-M06	Exported value in 2006-M07	Exported value in 2006-M08	Exported value in 2006-M09	Exported value in 2006-M10	Exported value in 2006-M11	Exported value in 2006-M12	Exported value in 2007-M01	Exported value in 2007-M02	Exported value in 2007-M03	Exported value in 2007-M04	Exported value in 2007-M05	Exported value in 2007-M06	Exported value in 2007-M07	Exported value in 2007-M08	Exported value in 2007-M09	Exported value in 2007-M10	Exported value in 2007-M11	
"World"	4854	4977	3966	7492	7614	6049	4488	5653	5068	5364	3881	4548	5515	6470	6144	7281	9205	6669	6786	6515	
"Japan"	1106	790	838	3402	1774	1010	726	736	1189	824	463	595	966	1414	1329	1826	1771	1444	754	1423	
"United Kingdom"	570	1081	1138	1120	2546	1316	980	788	1066	982	1012	663	1011	1528	953	2135	1640	1406	1702	1393	
"Australia"	595	543	288	95	312	1003	612	1110	791	561	424	285	419	175	661	271	601	1083	850	751	
"Sweden"	17	15	41	138	46	42	17	144	27	100	19	37	75	100	50	158	105	205	346	448	
"Netherlands"	328	1067	237	281	446	325	153	391	548	526	446	783	416	988	566	716	949	206	407	285	
"Germany"	215	53	259	51	167	172	284	369	179	538	272	722	461	345	374	271	707	259	330	247	
"France"	53	302	101	206	70	326	105	96	23	105	50	119	339	117	151	61	416	78	316	239	
"Italy"	78	26	233	95	138	189	153	236	189	179	163	225	564	539	359	63	243	404	524	227	
"Belgium"	197	367	43	109	365	22	187	92	49	30	73	200	231	397	309	190	215	199	185	227	
"United States of America"	0	64	0	0	76	355	259	147	33	51	0	29	0	94	135	105	67	67	131	184	
"Jordan"	0	0	0	22	0	0	22	44	22	83	39	0	45	46	68	45	0	25	0	93	
"Indonesia"	215	131	178	298	72	180	51	0	40	0	43	0	0	20	0	0	13	52	13	86	
"Tunisia"	18	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	77	
"Norway"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	348	74	0	0	74	
"Côte d'Ivoire"	49	0	0	0	0	54	0	0	0	0	21	0	0	55	0	0	0	21	0	62	
"Taipei, Chinese"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	58	58	0	61	
"United Arab Emirates"	196	0	60	0	59	0	15	35	52	107	34	34	20	86	17	18	17	53	18	61	
"Denmark"	75	22	20	16	24	151	155	219	107	178	192	259	47	134	92	150	521	109	23	58	
"Finland"	0	0	8	0	0	0	0	0	0	0	0	0	21	59	26	31	107	10	29	51	
"Philippines"	0	0	30	0	51	0	18	0	0	0	20	15	15	15	21	0	83	106	89	49	
"New Zealand"	19	19	0	0	18	0	0	0	2	4	0	0	0	0	24	5	39	0	0	42	
"India"	0	0	0	24	0	121	38	0	0	8	164	3	40	0	31	0	41	34	30	36	
"Saudi Arabia"	0	0	36	0	0	0	0	0	0	0	0	0	0	0	42	53	53	102	0	35	
"Lebanon"	19	44	65	0	0	0	48	0	0	85	0	37	0	46	0	0	0	24	0	33	
"Myanmar"	0	0	0	0	1	0	0	0	0	32	0	0	0	0	0	0	0	0	0	32	
"Latvia"	0	0	0	0	0	0	0	0	0	100	26	27	0	0	35	20	12	10	28	31	
"Uruguay"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	23	0	0	25	
"Switzerland"	0	0	0	0	0	0	0	18	0	0	0	24	43	0	19	0	60	48	0	23	
"Russian Federation"	0	0	0	794	342	5	0	0	0	0	0	0	23	54	0	0	91	23	20	23	
"Canada"	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	23	
"Greece"	13	35	35	0	0	0	21	31	21	0	0	0	0	0	0	21	0	17	0	23	
"South Africa"	17	38	2	0	93	0	16	40	0	9	10	22	0	0	22	0	0	0	0	22	
"Israel"	0	0	0	21	0	9	0	37	0	45	55	12	0	0	34	23	37	22	0	20	
"Spain"	0	0	45	0	0	131	0	0	14	147	0	151	54	0	121	13	202	65	30	14	
"Chile"	0	3	0	0	0	8	0	15	0	0	0	0	0	0	0	0	0	11	12	13	
"Nigeria"	0	0	17	156	412	54	64	147	24	74	36	113	0	0	21	30	0	72	46	13	
"Singapore"	5	25	20	26	20	13	76	138	258	96	76	1	27	20	8	42	24	2	16	8	
"Hong Kong, China"	9	10	26	16	0	2	2	1	0	117	0	0	2	0	5	0	2	0	5	4	
"Hungary"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	
"Iceland"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	
"Djibouti"	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	
"Ghana"	0	0	0	7	0	0	7	1	0	0	0	0	0	0	0	0	0	0	19	0	
"Kiribati"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Jamaica"	0	0	0	0	7	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Iran, Islamic Republic of"	872	7	39	352	267	264	286	549	286	35	0	0	223	0	229	447	509	1	290	0	
"Iraq"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	
"Ireland"	0	111	86	12	0	36	34	36	0	30	0	0	0	0	15	0	33	0	0	0	
"Cuba"	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
