Importers	Exported value in 2006-M04	Exported value in 2006-M05	Exported value in 2006-M06	Exported value in 2006-M07	Exported value in 2006-M08	Exported value in 2006-M09	Exported value in 2006-M10	Exported value in 2006-M11	Exported value in 2006-M12	Exported value in 2007-M01	Exported value in 2007-M02	Exported value in 2007-M03	Exported value in 2007-M04	Exported value in 2007-M05	Exported value in 2007-M06	Exported value in 2007-M07	Exported value in 2007-M08	Exported value in 2007-M09	Exported value in 2007-M10	Exported value in 2007-M11	
"World"	42475	54651	66944	57512	70024	79249	82839	66038	56805	52470	62917	81204	84891	86921	101190	108648	110799	108539	85600	91212	
"Cuba"	1744	10538	6181	3278	0	15372	8023	0	0	0	12549	21770	20094	19838	24573	20660	19787	19940	15668	13977	
"Japan"	3220	3295	7718	9027	8616	12463	9143	14604	13562	10616	9222	14500	14624	18533	27530	29484	25243	23456	8377	10258	
"United Kingdom"	2323	5824	7874	7287	14050	8070	12617	7766	9841	4094	7378	5818	5785	5587	5617	8591	11770	7401	6729	9328	
"Ukraine"	1520	1890	2264	2652	2435	2820	2651	2719	1339	2087	2342	2927	1567	1186	1686	3158	3111	4722	4838	4988	
"Australia"	2481	1591	1332	956	1863	2902	2506	2635	4547	2751	1823	846	2356	1059	2124	2566	2466	1948	2146	4747	
"Russian Federation"	1745	1158	2812	2052	3370	4175	7031	4054	894	2242	2592	2690	2183	2162	2497	3077	2519	8443	3356	4403	
"Bangladesh"	862	836	516	1465	1437	2461	3617	3281	2248	1951	575	497	590	651	923	1335	2206	2815	2891	4162	
"Netherlands"	764	813	1611	1441	1063	897	3421	831	1296	1137	702	1974	1084	3105	768	1494	848	2712	3124	3095	
"France"	1613	1306	3155	3350	3292	1949	2481	2275	1700	2091	2109	6631	3209	3493	1230	1985	2544	1476	2006	3026	
"United States of America"	6824	5409	8078	6333	5606	5591	4183	2719	4196	5746	3665	3162	6191	4939	5094	6113	8083	7047	5412	2841	
"Italy"	545	1363	697	104	456	165	1045	369	422	591	550	442	792	421	424	319	444	693	1040	1830	
"South Africa"	494	722	1103	498	1202	623	1369	1162	861	734	494	1019	1125	1190	955	2266	2039	1153	2739	1640	
"Kazakhstan"	584	1816	2682	1135	155	254	187	2361	1391	537	0	39	854	1563	2214	1268	658	1572	1553	1623	
"Finland"	112	856	1726	1267	3756	2750	2110	584	477	880	442	1478	1447	2406	2388	4280	5021	4639	4689	1435	
"Malaysia"	133	27	152	311	471	216	236	104	171	387	213	173	765	491	411	218	449	287	426	1049	
"Nigeria"	684	1192	1222	1405	2665	1795	1265	834	276	454	974	1007	476	1236	1323	2408	1504	1042	956	1006	
"Morocco"	0	89	117	1	222	17	163	102	217	0	0	0	426	92	48	626	255	0	247	913	
"Sweden"	129	388	1361	785	981	883	915	1118	946	317	129	568	451	608	146	609	554	286	277	899	
"Poland"	245	769	1163	748	665	834	660	1050	514	822	312	831	1143	623	499	416	295	934	1313	884	
"Hong Kong, China"	447	383	472	471	631	1148	706	784	667	562	172	484	326	392	488	554	770	931	1137	866	
"Saudi Arabia"	215	702	569	1110	645	472	831	289	438	241	172	185	1098	879	939	580	369	606	426	846	
"Spain"	2347	1968	1453	1702	2603	1801	1704	1941	616	1606	1515	1645	1933	1095	1473	801	754	700	221	846	
"Singapore"	152	40	189	131	278	258	253	295	330	479	319	285	148	406	316	537	482	720	571	844	
"Panama"	384	112	198	209	632	369	444	331	180	629	425	334	509	235	348	553	512	407	288	813	
"Latvia"	260	525	649	320	790	1026	1618	749	354	294	587	615	484	406	427	807	545	885	982	788	
"Canada"	105	465	404	356	578	405	593	273	212	13	386	111	241	1029	1593	975	953	879	1035	730	
"Germany"	2166	271	1189	777	3505	1703	4603	4294	1218	2031	1526	2362	2475	2476	713	1593	3241	1319	822	690	
"Angola"	93	88	88	24	20	121	163	104	35	229	153	108	97	141	252	445	295	483	410	625	
"Belgium"	125	129	197	64	37	229	97	43	98	142	20	142	403	371	440	234	337	350	392	586	
"United Arab Emirates"	2104	1547	1775	853	641	740	348	643	722	1195	856	845	1576	1497	1435	967	1536	870	539	577	
"Brazil"	112	183	515	0	27	14	14	27	14	0	0	0	60	0	0	0	32	85	952	568	
"Yemen"	331	471	304	356	733	327	243	671	240	761	639	190	404	117	689	419	437	694	244	491	
"Tunisia"	265	49	37	508	0	0	0	0	317	433	0	121	1	22	0	0	4	341	384	478	
