Importers	Exported value in 2016-M08	Exported value in 2016-M09	Exported value in 2016-M10	Exported value in 2016-M11	Exported value in 2016-M12	Exported value in 2017-M01	Exported value in 2017-M02	Exported value in 2017-M03	Exported value in 2017-M04	Exported value in 2017-M05	Exported value in 2017-M06	Exported value in 2017-M07	Exported value in 2017-M08	Exported value in 2017-M09	Exported value in 2017-M10	Exported value in 2017-M11	Exported value in 2017-M12	Exported value in 2018-M01	Exported value in 2018-M02	Exported value in 2018-M03	
"Dominican Republic"	499	301	812	710	537	316	1029	548	944	591	748	561	1009	1057	838	1474	598	1234	794	886	
"Argentina"	630	420	175	6	0	2	212	308	1390	128	304	1069	574	1700	1119	625	1534	217	536	816	
"Mexico"	829	1466	396	271	245	217	186	210	371	599	547	471	512	1717	917	487	963	873	1534	811	
"Sweden"	229	197	255	259	166	129	203	269	279	477	486	723	343	429	407	466	476	417	294	784	
"Kazakhstan"	102	94	223	82	61	125	44	255	238	253	303	542	368	161	374	349	252	204	157	775	
"Côte d'Ivoire"	150	264	251	319	208	323	87	298	485	676	895	690	658	339	832	347	748	92	991	749	
"Georgia"	211	432	367	746	222	29	244	297	865	705	342	665	167	360	127	267	73	43	481	744	
"Kyrgyzstan"	56	109	95	74	88	255	306	239	360	209	490	732	391	86	182	404	295	503	271	712	
"Romania"	352	586	1240	120	334	136	174	189	503	342	615	638	674	714	877	668	326	568	652	707	
"Kenya"	545	304	396	464	454	227	346	524	532	924	561	256	555	622	303	674	425	322	459	646	
"Uruguay"	662	801	393	530	659	679	754	806	572	637	152	444	432	593	1081	616	339	386	911	608	
"Djibouti"	100	2	112	199	97	138	17	122	25	132	115	134	155	570	270	681	893	2	970	591	
"Albania"	102	65	14	157	0	15	0	49	58	302	24	48	233	195	57	118	85	46	157	550	
"Madagascar"	315	332	308	326	60	204	16	142	35	242	227	127	136	359	195	340	248	249	317	542	
"Somalia"	29	7	90	16	0	27	88	147	42	166	46	226	344	397	298	111	467	432	713	535	
"Guatemala"	42	46	189	227	152	168	16	325	330	233	254	157	249	201	196	206	224	248	378	533	
"Thailand"	170	129	268	235	129	90	174	207	281	291	640	320	214	224	326	393	226	332	392	517	
"Denmark"	0	184	206	86	167	170	141	144	138	251	93	297	235	270	133	325	156	217	227	454	
"Kuwait"	403	313	530	614	224	189	664	395	656	467	353	473	444	149	177	313	426	411	673	438	
"Tunisia"	559	63	0	0	1	0	37	319	14	616	524	166	49	331	194	0	119	0	54	430	
"Azerbaijan"	148	356	218	206	33	14	15	129	97	440	464	64	161	218	124	229	141	132	251	424	
"Tanzania, United Republic of"	545	378	123	146	189	187	140	273	511	265	227	401	276	268	180	312	260	174	622	419	
"Angola"	25	14	32	31	22	4	0	40	16	127	57	69	118	377	87	361	400	132	411	415	
"Pakistan"	464	482	99	349	225	450	992	412	943	650	673	763	447	371	270	223	425	247	412	403	
"Slovenia"	40	0	0	4	0	81	134	20	26	269	113	38	35	78	3	0	14	203	245	384	
"Ethiopia"	1473	1414	1079	1000	692	804	248	709	461	647	955	824	1670	730	943	535	658	596	515	350	
"Czech Republic"	217	195	144	10	78	193	69	76	462	320	278	255	262	329	224	275	144	526	270	343	
"Mongolia"	249	510	429	488	534	321	300	226	252	453	595	658	614	672	617	859	601	453	236	342	
"Honduras"	149	211	270	388	464	270	539	271	193	419	386	383	265	219	186	358	258	125	548	327	
"Paraguay"	457	693	154	983	394	160	598	531	748	508	710	1026	1786	1376	98	380	700	686	354	275	
"Brazil"	0	212	20	3	2	38	25	152	41	120	147	122	211	157	555	97	465	253	238	263	
"Bosnia and Herzegovina"	17	0	0	31	22	0	0	305	263	503	156	212	115	154	140	155	102	180	175	262	
"Bulgaria"	90	136	16	100	9	12	84	68	110	159	63	61	87	0	43	30	105	34	20	252	
"Senegal"	255	234	71	155	169	54	42	142	180	322	332	129	176	54	96	221	213	135	218	236	
"Croatia"	116	21	68	98	74	40	36	168	109	349	101	157	138	61	13	67	14	15	184	227	
"Sri Lanka"	86	313	125	403	156	57	110	440	251	29	409	188	296	165	369	162	145	100	115	216	
"Taipei, Chinese"	1	2	2	0	3	1	3	162	2	316	18	21	90	23	65	336	1017	300	77	216	
"Mauritius"	133	29	60	111	269	67	122	113	90	106	66	179	176	198	172	276	212	118	197	213	
"Qatar"	76	61	31	11	108	146	81	234	84	79	176	256	78	193	0	164	49	125	168	210	
"Finland"	0	40	31	36	14	0	106	62	86	72	67	68	111	61	81	51	69	109	67	199	
"Trinidad and Tobago"	276	202	221	180	45	14	75	52	13	117	174	273	262	369	120	77	76	35	134	198	
"Libya, State of"	247	773	463	844	779	197	425	479	1477	1126	759	172	207	132	557	988	346	164	340	176	
"Sudan"	0	0	0	0	0	51	14	146	67	197	412	0	66	57	33	53	55	121	13	164	
"Bolivia, Plurinational State of"	366	334	208	549	265	367	366	580	636	315	398	986	444	514	290	356	189	256	224	162	
"Haiti"	164	104	81	106	163	64	30	32	14	72	223	113	70	137	45	176	117	111	49	160	
"Fiji"	123	197	192	151	29	62	111	161	48	192	38	288	149	113	64	170	179	35	98	158	
"Jamaica"	203	236	247	239	178	166	282	334	196	360	362	305	198	353	289	508	257	361	163	147	
"Jordan"	364	362	333	80	435	312	783	690	788	1697	1462	398	500	319	82	197	231	336	553	146	
"Nepal"	0	1	1	18	0	0	14	19	0	23	53	20	49	69	29	0	85	90	139	145	
"Cyprus"	80	217	71	252	169	71	98	43	122	123	67	162	113	210	53	95	265	98	69	144	
"Oman"	223	126	352	172	229	62	75	132	264	161	230	225	37	494	199	95	144	123	102	140	
"Myanmar"	198	370	103	434	273	504	273	274	219	290	473	600	210	172	225	245	638	542	177	128	
"Cameroon"	80	135	135	201	194	51	86	91	47	345	115	79	185	99	87	289	86	282	102	127	
"Serbia"	31	25	40	17	47	8	0	0	33	149	16	17	35	17	16	0	77	41	107	115	
"Moldova, Republic of"	0	0	18	26	43	0	23	28	51	51	12	84	61	65	40	67	29	82	12	110	
"Lithuania"	111	57	82	91	43	197	79	109	247	15	24	14	42	36	63	59	320	168	66	110	
"Switzerland"	20	24	32	47	58	128	42	40	253	93	100	89	92	32	103	216	89	209	0	105	
"Bahrain"	240	181	90	227	26	15	0	50	290	214	105	55	93	28	126	169	31	48	51	103	
"Togo"	43	34	1	19	3	1	4	0	4	64	60	45	71	14	30	10	1	1	5	102	
"Costa Rica"	213	348	236	445	307	63	115	170	261	431	265	453	398	470	433	118	83	31	58	100	
"El Salvador"	115	68	172	201	69	274	42	81	13	109	124	160	117	59	226	40	110	206	93	98	
"Nicaragua"	92	28	27	69	53	39	70	38	59	63	55	61	73	50	40	33	64	29	64	88	
"Ireland"	244	110	479	242	363	165	66	156	166	223	87	267	164	171	203	257	109	0	139	85	
"Estonia"	134	12	60	0	25	0	69	81	91	71	0	0	66	27	35	23	14	142	0	82	
"Morocco"	86	143	39	283	57	33	55	291	97	252	155	370	51	17	33	37	18	14	97	73	
"Mozambique"	24	9	68	58	38	68	9	49	88	35	117	108	9	125	37	55	63	79	37	71	
"Cabo Verde"	0	87	177	114	25	0	0	28	22	0	146	0	14	151	0	35	61	88	0	69	
"Papua New Guinea"	46	78	2	102	109	0	22	32	90	50	6	34	76	32	31	188	18	56	2	64	
"Yemen"	203	125	41	204	151	0	20	128	108	482	184	561	229	156	131	230	68	243	83	64	
"Benin"	7	29	0	51	22	45	157	103	85	40	11	18	71	39	34	31	4	40	34	56	
"Brunei Darussalam"	57	38	2	0	62	84	4	60	58	0	56	51	22	23	26	28	33	24	90	49	
"Uganda"	35	17	0	2	14	16	38	11	5	28	34	50	0	16	12	66	19	53	12	46	
"Egypt"	527	313	38	726	506	896	0	615	495	177	622	719	2	117	151	420	311	463	297	45	
"Suriname"	13	0	21	69	0	86	0	94	88	49	29	47	163	115	24	55	90	18	106	45	
"Cuba"	20	14	0	70	15	22	23	172	279	183	186	28	24	17	91	0	0	0	0	44	
"Tajikistan"	48	60	19	12	0	53	0	45	43	71	170	105	118	15	8	30	116	116	34	43	
"Latvia"	87	126	98	53	61	0	14	30	28	0	28	60	101	37	12	138	32	80	144	36	
"Guyana"	129	99	63	134	114	95	112	58	65	108	67	156	171	47	189	119	14	58	64	33	
"Slovakia"	0	0	0	0	0	0	0	5	0	30	76	48	88	83	111	118	108	17	99	31	
"Norway"	0	0	0	0	0	0	0	0	0	0	1	1	18	0	0	0	0	0	31	26	
"Mauritania"	41	19	14	0	2	2	18	13	24	122	17	0	4	0	12	0	0	12	3	23	
"Gabon"	139	8	93	202	66	26	70	113	29	60	213	92	80	131	13	8	8	2	140	23	
"Montenegro"	0	0	0	0	23	0	0	0	0	11	0	0	15	0	0	0	0	0	0	22	
"New Caledonia"	0	38	43	37	5	12	12	24	28	8	0	13	14	17	0	1	0	58	0	17	
"Lao People's Democratic Republic"	36	0	0	2	0	2	11	5	1	2	5	2	7	26	48	1	21	28	3	17	
"Malawi"	0	0	2	0	0	0	0	3	1	0	10	0	0	0	0	0	0	0	0	16	
"Barbados"	0	0	0	16	11	0	0	0	0	0	31	0	35	0	14	15	17	38	0	16	
