Importers	Exported value in 2016-M05	Exported value in 2016-M06	Exported value in 2016-M07	Exported value in 2016-M08	Exported value in 2016-M09	Exported value in 2016-M10	Exported value in 2016-M11	Exported value in 2016-M12	Exported value in 2017-M01	Exported value in 2017-M02	Exported value in 2017-M03	Exported value in 2017-M04	Exported value in 2017-M05	Exported value in 2017-M06	Exported value in 2017-M07	Exported value in 2017-M08	Exported value in 2017-M09	Exported value in 2017-M10	Exported value in 2017-M11	Exported value in 2017-M12	
"World"	212307	213386	205978	196242	187071	174329	202012	175358	173270	175086	237169	232929	279943	273219	250030	246910	236032	206469	218433	201919	
"United States of America"	35684	39903	33292	29492	40129	35445	40289	28289	29779	24395	29347	37600	46635	45745	34123	36842	41637	39061	35783	30844	
"Japan"	20954	33665	35600	24241	21424	21753	21040	15556	20518	26540	35208	23154	28575	35525	41151	28446	30823	13724	21023	18014	
"France"	14666	12920	9407	9009	9859	7136	9447	7521	7691	9432	16301	9601	17172	14448	14366	10792	8706	10964	9481	12252	
"Australia"	8119	5374	6381	8144	8143	10752	11103	8118	8432	6980	7731	9110	11333	8418	6686	8962	9206	11640	9489	12027	
"United Kingdom"	11324	12515	11273	13443	10695	12567	13908	12372	12786	12007	12493	8924	12955	13279	13762	17149	16072	17063	16218	11329	
"Poland"	4832	5131	2699	3113	4271	3867	4266	4697	4758	4017	4206	7313	8132	6587	5531	5752	6285	5033	8933	8381	
"Germany"	9063	6851	6503	10698	5092	5941	7630	7561	5240	4778	8488	9876	11174	9653	7998	9465	8742	9799	7228	7528	
"Viet Nam"	1588	1651	1244	964	1073	1698	2523	3450	699	1279	1391	1196	1080	1868	2220	2440	2434	2700	3759	5923	
"South Africa"	4338	5012	5160	5147	4032	3881	4741	3900	4027	3924	6807	4614	6496	7024	5655	4417	4722	6266	4600	5423	
"Spain"	6875	8001	3572	4006	4657	4358	3331	4556	2395	4102	6639	6355	9840	10062	7737	5916	4424	3687	4814	5285	
"Russian Federation"	2573	3459	3006	3839	3378	2579	3065	2697	3820	2917	2535	3550	3895	4956	4229	3710	3643	3921	3706	5027	
"Chile"	2738	2942	3011	2009	3520	3887	4646	4285	2186	2869	3362	3856	3774	4634	3106	4336	6196	3405	3956	4446	
"Netherlands"	4070	3331	2191	3336	3104	3157	3404	4039	3672	3579	4991	3137	6276	4908	4680	5662	3152	5909	4318	4424	
"Canada"	4128	4209	3883	3980	3100	3856	3205	3188	2150	3487	3436	5346	6595	6382	4914	5013	6243	7016	7865	3973	
"Korea, Republic of"	5772	7887	8274	8250	6758	3735	4323	4561	3398	5304	6093	7809	6079	7821	8371	9226	9099	4065	2955	3711	
"Iraq"	5502	5272	4158	5318	1490	2475	3029	2609	4808	6098	6671	5011	8630	7427	5648	4878	1722	2005	3965	3650	
"Italy"	8112	8106	4644	5598	4042	2405	3141	4547	3694	5255	8426	5350	8878	5694	6673	6427	3917	6154	4659	3579	
"Singapore"	586	580	781	370	577	436	708	777	606	666	852	627	934	661	624	812	565	841	4214	3331	
"India"	2854	1994	3024	4685	5607	1439	2170	2247	3182	4154	8317	5915	2660	2572	4587	12165	11081	3493	2449	2843	
"United Arab Emirates"	848	833	815	1303	1210	1233	2360	2768	878	1752	2665	1759	1816	1797	1864	1556	2158	2496	2246	2514	
"Hong Kong, China"	2438	2860	3070	1664	2056	2180	1969	1256	1652	1203	1788	2818	1664	2340	2190	2162	1480	1926	1979	2513	
"Saudi Arabia"	5998	1459	3373	2743	4410	2809	3299	2447	6908	3827	6637	6799	9305	3879	4755	3835	1325	2428	1326	2158	
"Peru"	974	203	1300	320	1250	2108	1097	1349	669	1742	1629	1219	1636	1361	1895	1923	2213	2149	1837	2149	
"Colombia"	408	351	992	1123	1297	950	252	953	568	726	1077	1233	1136	1343	1846	1648	1532	1292	1600	2023	
"Philippines"	982	1497	1360	983	1460	1040	2065	1343	1916	1469	1756	1702	2119	2075	2401	2171	2532	2178	2920	1891	
"Portugal"	851	901	729	301	1189	589	742	1002	492	1383	1393	1049	2095	1968	1697	1400	1726	1239	2371	1744	
"Argentina"	61	428	2	630	420	175	6	0	2	212	308	1390	128	304	1069	574	1700	1119	625	1534	
"Israel"	558	874	1280	859	680	721	729	480	1375	1702	1612	2485	1134	1505	1890	740	408	553	995	1406	
"Indonesia"	1780	852	1351	2030	1741	1399	1985	1742	1619	1442	1791	2471	1539	1402	2125	1222	1902	1233	1907	1334	
"Iran, Islamic Republic of"	754	1695	2347	2270	2119	2349	2937	5175	1289	1641	3391	4541	5235	4406	2409	2411	3626	2509	3575	1326	
"New Zealand"	748	625	401	774	1053	653	1343	1542	583	1061	841	642	846	1229	709	1114	1073	1082	1609	1273	
"Nigeria"	1072	840	760	808	784	108	575	504	600	516	611	1145	1241	1827	1052	1016	1469	913	979	1264	
"Bangladesh"	5580	5166	7879	3871	1199	935	1856	2353	2875	2092	2219	3598	7281	9440	5766	3445	522	672	1254	1081	
"Greece"	899	805	483	906	691	304	786	903	365	496	510	396	797	1009	1245	1061	439	574	635	1023	
"Taipei, Chinese"	2	10	25	1	2	2	0	3	1	3	162	2	316	18	21	90	23	65	336	1017	
"Mexico"	208	76	10	829	1466	396	271	245	217	186	210	371	599	547	471	512	1717	917	487	963	
"Djibouti"	57	3	50	100	2	112	199	97	138	17	122	25	132	115	134	155	570	270	681	893	
"Malaysia"	923	573	657	1132	545	794	1455	1166	645	685	1233	785	1625	886	682	809	721	705	869	864	
"Belgium"	2333	1528	1386	879	625	692	802	501	370	359	1462	2455	2182	2629	2037	2165	1619	1227	2876	812	
"Côte d'Ivoire"	569	97	353	150	264	251	319	208	323	87	298	485	676	895	690	658	339	832	347	748	
"Venezuela, Bolivarian Republic of"	2084	1937	3639	2473	158	1737	4344	242	4453	2190	1012	758	886	1079	58	4713	2621	392	2965	723	
"Paraguay"	281	447	853	457	693	154	983	394	160	598	531	748	508	710	1026	1786	1376	98	380	700	
"Ethiopia"	944	705	400	1473	1414	1079	1000	692	804	248	709	461	647	955	824	1670	730	943	535	658	
"Myanmar"	340	328	331	198	370	103	434	273	504	273	274	219	290	473	600	210	172	225	245	638	
"Mongolia"	225	309	302	249	510	429	488	534	321	300	226	252	453	595	658	614	672	617	859	601	
"Dominican Republic"	453	366	151	499	301	812	710	537	316	1029	548	944	591	748	561	1009	1057	838	1474	598	
"Ecuador"	16	98	262	515	306	123	299	29	207	374	909	476	679	1195	114	425	0	799	2002	578	
"Uzbekistan"	345	1269	335	507	266	379	265	731	171	732	272	872	551	1071	1631	904	874	800	390	486	
"Sweden"	133	213	340	229	197	255	259	166	129	203	269	279	477	486	723	343	429	407	466	476	
"Panama"	1234	352	1232	753	1005	691	716	709	445	466	1218	852	1290	1563	736	2164	820	1519	1076	470	
"Somalia"	67	73	0	29	7	90	16	0	27	88	147	42	166	46	226	344	397	298	111	467	
"Brazil"	354	614	186	0	212	20	3	2	38	25	152	41	120	147	122	211	157	555	97	465	
"Kuwait"	449	255	207	403	313	530	614	224	189	664	395	656	467	353	473	444	149	177	313	426	
"Kenya"	574	507	579	545	304	396	464	454	227	346	524	532	924	561	256	555	622	303	674	425	
"Pakistan"	555	337	538	464	482	99	349	225	450	992	412	943	650	673	763	447	371	270	223	425	
"Angola"	89	6	13	25	14	32	31	22	4	0	40	16	127	57	69	118	377	87	361	400	
"Ghana"	690	514	1226	884	732	399	668	1020	474	810	895	1118	1374	2064	1591	1418	1343	1703	264	396	
"Hungary"	118	12	42	103	155	134	26	284	133	59	150	131	162	114	182	49	166	62	135	389	
"Libya, State of"	21	468	285	247	773	463	844	779	197	425	479	1477	1126	759	172	207	132	557	988	346	
"Uruguay"	239	277	385	662	801	393	530	659	679	754	806	572	637	152	444	432	593	1081	616	339	
"Romania"	625	1047	455	352	586	1240	120	334	136	174	189	503	342	615	638	674	714	877	668	326	
"Lithuania"	23	51	78	111	57	82	91	43	197	79	109	247	15	24	14	42	36	63	59	320	
"Egypt"	1	227	146	527	313	38	726	506	896	0	615	495	177	622	719	2	117	151	420	311	
"Kyrgyzstan"	97	105	131	56	109	95	74	88	255	306	239	360	209	490	732	391	86	182	404	295	
"Turkey"	845	555	1324	588	671	532	1663	1046	757	1156	1513	1863	1664	1385	766	578	806	189	679	286	
"Armenia"	261	389	128	352	196	148	166	112	0	118	203	386	654	67	171	167	282	135	194	281	
"Ukraine"	359	128	243	233	377	151	518	419	278	250	162	329	467	206	329	318	311	461	448	276	
"Cyprus"	19	56	223	80	217	71	252	169	71	98	43	122	123	67	162	113	210	53	95	265	
"Tanzania, United Republic of"	200	262	355	545	378	123	146	189	187	140	273	511	265	227	401	276	268	180	312	260	
"Honduras"	114	161	195	149	211	270	388	464	270	539	271	193	419	386	383	265	219	186	358	258	
"Jamaica"	221	137	199	203	236	247	239	178	166	282	334	196	360	362	305	198	353	289	508	257	
"Kazakhstan"	32	65	131	102	94	223	82	61	125	44	255	238	253	303	542	368	161	374	349	252	
"Madagascar"	267	42	307	315	332	308	326	60	204	16	142	35	242	227	127	136	359	195	340	248	
"Jordan"	154	260	866	364	362	333	80	435	312	783	690	788	1697	1462	398	500	319	82	197	231	
"Thailand"	147	188	314	170	129	268	235	129	90	174	207	281	291	640	320	214	224	326	393	226	
"Guatemala"	220	102	67	42	46	189	227	152	168	16	325	330	233	254	157	249	201	196	206	224	
"Senegal"	19	197	317	255	234	71	155	169	54	42	142	180	322	332	129	176	54	96	221	213	
"Mauritius"	29	54	57	133	29	60	111	269	67	122	113	90	106	66	179	176	198	172	276	212	
"Bolivia, Plurinational State of"	184	190	205	366	334	208	549	265	367	366	580	636	315	398	986	444	514	290	356	189	
"Fiji"	173	119	57	123	197	192	151	29	62	111	161	48	192	38	288	149	113	64	170	179	
"Lebanon"	526	397	479	415	434	404	264	491	607	547	507	878	1088	753	225	299	179	390	359	173	
"Denmark"	136	44	169	0	184	206	86	167	170	141	144	138	251	93	297	235	270	133	325	156	
"Sri Lanka"	150	371	314	86	313	125	403	156	57	110	440	251	29	409	188	296	165	369	162	145	
"Czech Republic"	169	127	105	217	195	144	10	78	193	69	76	462	320	278	255	262	329	224	275	144	
"Oman"	96	121	263	223	126	352	172	229	62	75	132	264	161	230	225	37	494	199	95	144	
"Azerbaijan"	207	88	108	148	356	218	206	33	14	15	129	97	440	464	64	161	218	124	229	141	
"Korea, Democratic People's Republic of"	435	517	1663	1342	342	204	648	333	275	160	656	697	2151	3234	2058	1446	167	149	110	122	
"Turkmenistan"	303	268	106	31	34	110	98	284	139	130	24	176	384	219	155	13	55	56	139	122	
"Tunisia"	1430	957	542	559	63	0	0	1	0	37	319	14	616	524	166	49	331	194	0	119	
"Haiti"	64	96	85	164	104	81	106	163	64	30	32	14	72	223	113	70	137	45	176	117	
"Tajikistan"	86	79	28	48	60	19	12	0	53	0	45	43	71	170	105	118	15	8	30	116	
"El Salvador"	76	55	48	115	68	172	201	69	274	42	81	13	109	124	160	117	59	226	40	110	
"Ireland"	134	243	171	244	110	479	242	363	165	66	156	166	223	87	267	164	171	203	257	109	
"Slovakia"	1	0	0	0	0	0	0	0	0	0	5	0	30	76	48	88	83	111	118	108	
"Algeria"	8609	3009	5221	4138	2040	4528	4722	6395	7132	1761	8651	9860	2155	1251	2825	2418	2917	1873	690	106	
"Bulgaria"	75	32	108	90	136	16	100	9	12	84	68	110	159	63	61	87	0	43	30	105	
"Bosnia and Herzegovina"	0	0	17	17	0	0	31	22	0	0	305	263	503	156	212	115	154	140	155	102	
"Palestine, State of"	47	0	13	0	101	13	110	123	235	27	142	62	60	183	0	65	0	0	71	97	
"Suriname"	14	6	12	13	0	21	69	0	86	0	94	88	49	29	47	163	115	24	55	90	
"Switzerland"	171	35	11	20	24	32	47	58	128	42	40	253	93	100	89	92	32	103	216	89	
"Cameroon"	98	178	45	80	135	135	201	194	51	86	91	47	345	115	79	185	99	87	289	86	
"Albania"	140	98	175	102	65	14	157	0	15	0	49	58	302	24	48	233	195	57	118	85	
"Nepal"	0	0	27	0	1	1	18	0	0	14	19	0	23	53	20	49	69	29	0	85	
"Costa Rica"	120	327	237	213	348	236	445	307	63	115	170	261	431	265	453	398	470	433	118	83	
"Malta"	41	14	13	51	49	99	78	0	32	32	13	0	87	25	12	30	37	0	81	82	
"Afghanistan"	159	180	93	54	103	14	5	91	231	35	628	550	427	227	123	67	22	15	32	79	
"Congo, Democratic Republic of the"	27	48	8	59	28	2	12	2	21	0	18	3	73	34	48	17	60	3	94	78	
"Serbia"	104	0	0	31	25	40	17	47	8	0	0	33	149	16	17	35	17	16	0	77	
"Trinidad and Tobago"	30	47	207	276	202	221	180	45	14	75	52	13	117	174	273	262	369	120	77	76	
"Georgia"	999	204	269	211	432	367	746	222	29	244	297	865	705	342	665	167	360	127	267	73	
"Finland"	64	57	52	0	40	31	36	14	0	106	62	86	72	67	68	111	61	81	51	69	
"Yemen"	82	212	84	203	125	41	204	151	0	20	128	108	482	184	561	229	156	131	230	68	
"Nicaragua"	29	39	59	92	28	27	69	53	39	70	38	59	63	55	61	73	50	40	33	64	
"Mozambique"	1	1	28	24	9	68	58	38	68	9	49	88	35	117	108	9	125	37	55	63	
"Cabo Verde"	35	81	1	0	87	177	114	25	0	0	28	22	0	146	0	14	151	0	35	61	
"Sudan"	0	0	0	0	0	0	0	0	51	14	146	67	197	412	0	66	57	33	53	55	
"Qatar"	390	86	72	76	61	31	11	108	146	81	234	84	79	176	256	78	193	0	164	49	
"Guinea"	3	44	115	7	4	12	1	39	41	21	3	3	60	5	40	17	74	34	18	46	
"French Polynesia"	72	29	31	15	39	31	16	68	15	80	44	42	25	22	85	41	14	62	31	44	
"Congo"	14	131	57	81	29	60	29	44	11	0	19	90	16	3	12	39	9	19	2	41	
"Iceland"	0	0	14	15	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	34	
"Brunei Darussalam"	19	26	20	57	38	2	0	62	84	4	60	58	0	56	51	22	23	26	28	33	
"Latvia"	59	32	32	87	126	98	53	61	0	14	30	28	0	28	60	101	37	12	138	32	
