"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2006-07","Jul-2006","PC","Percentage","0","Units",,,15.1272966960534,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2006-08","Aug-2006","PC","Percentage","0","Units",,,12.6573029146708,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2006-09","Sep-2006","PC","Percentage","0","Units",,,10.4261613496442,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2006-10","Oct-2006","PC","Percentage","0","Units",,,9.93229788928712,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2006-11","Nov-2006","PC","Percentage","0","Units",,,11.6143170197224,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2006-12","Dec-2006","PC","Percentage","0","Units",,,12.3265306122449,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2007-01","Jan-2007","PC","Percentage","0","Units",,,10.5990783410138,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2007-02","Feb-2007","PC","Percentage","0","Units",,,11.2188030046038,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2007-03","Mar-2007","PC","Percentage","0","Units",,,11.7845659163987,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2007-04","Apr-2007","PC","Percentage","0","Units",,,10.7300536108483,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2007-05","May-2007","PC","Percentage","0","Units",,,7.65462339252909,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2007-06","Jun-2007","PC","Percentage","0","Units",,,1.91776841493537,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2007-07","Jul-2007","PC","Percentage","0","Units",,,0.135976526157584,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2007-08","Aug-2007","PC","Percentage","0","Units",,,1.44133756125684,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2007-09","Sep-2007","PC","Percentage","0","Units",,,2.57041488668452,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2007-10","Oct-2007","PC","Percentage","0","Units",,,2.74597884364585,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2007-11","Nov-2007","PC","Percentage","0","Units",,,4.261198371146,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2007-12","Dec-2007","PC","Percentage","0","Units",,,4.27325581395349,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2008-01","Jan-2008","PC","Percentage","0","Units",,,4.89035087719297,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2008-02","Feb-2008","PC","Percentage","0","Units",,,5.91140159767612,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2008-03","Mar-2008","PC","Percentage","0","Units",,,9.06083704875592,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2008-04","Apr-2008","PC","Percentage","0","Units",,,13.2929868280527,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2008-05","May-2008","PC","Percentage","0","Units",,,15.2588168373151,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2008-06","Jun-2008","PC","Percentage","0","Units",,,17.191732002851,,
