"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2002-07","Jul-2002","IDX","Index","0","Units",,,99.46529,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2002-08","Aug-2002","IDX","Index","0","Units",,,100.5333,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2002-09","Sep-2002","IDX","Index","0","Units",,,102.512,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2002-10","Oct-2002","IDX","Index","0","Units",,,103.9853,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2002-11","Nov-2002","IDX","Index","0","Units",,,103.5978,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2002-12","Dec-2002","IDX","Index","0","Units",,,100.515,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2003-01","Jan-2003","IDX","Index","0","Units",,,96.19889,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2003-02","Feb-2003","IDX","Index","0","Units",,,94.92513,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2003-03","Mar-2003","IDX","Index","0","Units",,,96.42445,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2003-04","Apr-2003","IDX","Index","0","Units",,,99.50806,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2003-05","May-2003","IDX","Index","0","Units",,,101.0941,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2003-06","Jun-2003","IDX","Index","0","Units",,,100.4651,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2003-07","Jul-2003","IDX","Index","0","Units",,,99.74191,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2003-08","Aug-2003","IDX","Index","0","Units",,,99.84334,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2003-09","Sep-2003","IDX","Index","0","Units",,,100.0882,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2003-10","Oct-2003","IDX","Index","0","Units",,,99.9192,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2003-11","Nov-2003","IDX","Index","0","Units",,,100.1298,,
