Exporters	2004-M04-Imported unit value	2004-M04-Unit	2004-M05-Imported unit value	2004-M05-Unit	2004-M06-Imported unit value	2004-M06-Unit	2004-M07-Imported unit value	2004-M07-Unit	2004-M08-Imported unit value	2004-M08-Unit	2004-M09-Imported unit value	2004-M09-Unit	2004-M10-Imported unit value	2004-M10-Unit	2004-M11-Imported unit value	2004-M11-Unit	2004-M12-Imported unit value	2004-M12-Unit	2005-M01-Imported unit value	2005-M01-Unit	2005-M02-Imported unit value	2005-M02-Unit	2005-M03-Imported unit value	2005-M03-Unit	2005-M04-Imported unit value	2005-M04-Unit	2005-M05-Imported unit value	2005-M05-Unit	2005-M06-Imported unit value	2005-M06-Unit	2005-M07-Imported unit value	2005-M07-Unit	2005-M08-Imported unit value	2005-M08-Unit	2005-M09-Imported unit value	2005-M09-Unit	2005-M10-Imported unit value	2005-M10-Unit	2005-M11-Imported unit value	2005-M11-Unit	Imported value in 2005-M11, US Dollar thousand	Imported quantity in 2005-M11	Quantity Unit in 2005-M11	
"Italy"	4799	US Dollar/Tons	4954	US Dollar/Tons	4777	US Dollar/Tons	5109	US Dollar/Tons	5101	US Dollar/Tons	4984	US Dollar/Tons	4686	US Dollar/Tons	4938	US Dollar/Tons	5007	US Dollar/Tons	4886	US Dollar/Tons	4996	US Dollar/Tons	5202	US Dollar/Tons	5103	US Dollar/Tons	4759	US Dollar/Tons	4679	US Dollar/Tons	4623	US Dollar/Tons	4717	US Dollar/Tons	4878	US Dollar/Tons	4644	US Dollar/Tons	4597	US Dollar/Tons	9529	2073	Tons	
"Spain"	3206	US Dollar/Tons	3352	US Dollar/Tons	3752	US Dollar/Tons	4116	US Dollar/Tons	3716	US Dollar/Tons	3883	US Dollar/Tons	3708	US Dollar/Tons	4416	US Dollar/Tons	5645	US Dollar/Tons	4004	US Dollar/Tons	4501	US Dollar/Tons	4580	US Dollar/Tons	4618	US Dollar/Tons	4779	US Dollar/Tons	4194	US Dollar/Tons	4005	US Dollar/Tons	4321	US Dollar/Tons	3849	US Dollar/Tons	3902	US Dollar/Tons	3462	US Dollar/Tons	3749	1083	Tons	
"China"																			147	US Dollar/Units	135	US Dollar/Units	143	US Dollar/Units	144	US Dollar/Units	139	US Dollar/Units	134	US Dollar/Units	152	US Dollar/Units	167	US Dollar/Units	159	US Dollar/Units	144	US Dollar/Units	134	US Dollar/Units	3544	26423	Units	
"Germany"	7180	US Dollar/Tons	6432	US Dollar/Tons	7146	US Dollar/Tons	6879	US Dollar/Tons	7213	US Dollar/Tons	7081	US Dollar/Tons	8230	US Dollar/Tons	8006	US Dollar/Tons	8797	US Dollar/Tons	8121	US Dollar/Tons	7517	US Dollar/Tons	7619	US Dollar/Tons	7425	US Dollar/Tons	7445	US Dollar/Tons	6150	US Dollar/Tons	7269	US Dollar/Tons	8644	US Dollar/Tons	7621	US Dollar/Tons	7319	US Dollar/Tons	7449	US Dollar/Tons	2272	305	Tons	
"Greece"	4730	US Dollar/Tons	4762	US Dollar/Tons	5110	US Dollar/Tons	4934	US Dollar/Tons	4949	US Dollar/Tons	5000	US Dollar/Tons	5129	US Dollar/Tons	5308	US Dollar/Tons	5463	US Dollar/Tons	5339	US Dollar/Tons	5490	US Dollar/Tons	5930	US Dollar/Tons	5833	US Dollar/Tons	5676	US Dollar/Tons			5735	US Dollar/Tons	5908	US Dollar/Tons	5813	US Dollar/Tons	5526	US Dollar/Tons	5469	US Dollar/Tons	1165	213	Tons	
"France"	4182	US Dollar/Tons	4122	US Dollar/Tons	3993	US Dollar/Tons	4288	US Dollar/Tons	4031	US Dollar/Tons	4056	US Dollar/Tons	4159	US Dollar/Tons	4226	US Dollar/Tons	4322	US Dollar/Tons	4553	US Dollar/Tons	4338	US Dollar/Tons	4512	US Dollar/Tons	4544	US Dollar/Tons	4970	US Dollar/Tons	4633	US Dollar/Tons	4698	US Dollar/Tons	4500	US Dollar/Tons	4264	US Dollar/Tons	4405	US Dollar/Tons	4437	US Dollar/Tons	741	167	Tons	
"United States of America"																			938	US Dollar/Units	898	US Dollar/Units	801	US Dollar/Units	1299	US Dollar/Units	1057	US Dollar/Units	937	US Dollar/Units	900	US Dollar/Units	1049	US Dollar/Units	983	US Dollar/Units	1121	US Dollar/Units	947	US Dollar/Units	658	695	Units	
"Netherlands"	5094	US Dollar/Tons	5468	US Dollar/Tons	5684	US Dollar/Tons	5706	US Dollar/Tons	5519	US Dollar/Tons	5396	US Dollar/Tons	6672	US Dollar/Tons	6171	US Dollar/Tons		US Dollar/Tons	6014	US Dollar/Tons	6216	US Dollar/Tons	6839	US Dollar/Tons	6447	US Dollar/Tons	6433	US Dollar/Tons	6039	US Dollar/Tons	6095	US Dollar/Tons	6053	US Dollar/Tons	6430	US Dollar/Tons	5951	US Dollar/Tons	5600	US Dollar/Tons	476	85	Tons	
"Romania"	3143	US Dollar/Tons	3233	US Dollar/Tons	2866	US Dollar/Tons	3538	US Dollar/Tons	3446	US Dollar/Tons	3339	US Dollar/Tons	3250	US Dollar/Tons	3200	US Dollar/Tons	3313	US Dollar/Tons	3250	US Dollar/Tons	3188	US Dollar/Tons	3333	US Dollar/Tons			2600	US Dollar/Tons	3292	US Dollar/Tons	3228	US Dollar/Tons	3405	US Dollar/Tons	3313	US Dollar/Tons	3420	US Dollar/Tons	3387	US Dollar/Tons	464	137	Tons	
"Hungary"									3000	US Dollar/Tons	2857	US Dollar/Tons	3000	US Dollar/Tons	3341	US Dollar/Tons	3333	US Dollar/Tons	3789	US Dollar/Tons			3792	US Dollar/Tons	3714	US Dollar/Tons	3698	US Dollar/Tons	3525	US Dollar/Tons	3517	US Dollar/Tons	3397	US Dollar/Tons	3433	US Dollar/Tons	3349	US Dollar/Tons	3080	US Dollar/Tons	345	112	Tons	
