Exporters	2005-M11-Imported unit value	2005-M11-Unit	2005-M12-Imported unit value	2005-M12-Unit	2006-M01-Imported unit value	2006-M01-Unit	2006-M02-Imported unit value	2006-M02-Unit	2006-M03-Imported unit value	2006-M03-Unit	2006-M04-Imported unit value	2006-M04-Unit	2006-M05-Imported unit value	2006-M05-Unit	2006-M06-Imported unit value	2006-M06-Unit	2006-M07-Imported unit value	2006-M07-Unit	2006-M08-Imported unit value	2006-M08-Unit	2006-M09-Imported unit value	2006-M09-Unit	2006-M10-Imported unit value	2006-M10-Unit	2006-M11-Imported unit value	2006-M11-Unit	2006-M12-Imported unit value	2006-M12-Unit	2007-M01-Imported unit value	2007-M01-Unit	2007-M02-Imported unit value	2007-M02-Unit	2007-M03-Imported unit value	2007-M03-Unit	2007-M04-Imported unit value	2007-M04-Unit	2007-M05-Imported unit value	2007-M05-Unit	2007-M06-Imported unit value	2007-M06-Unit	Imported value in 2007-M06, US Dollar thousand	Imported quantity in 2007-M06	Quantity Unit in 2007-M06	
"Italy"	9259	US Dollar/Tons	9549	US Dollar/Tons	1760	US Dollar/Units	1262	US Dollar/Units	1795	US Dollar/Units	1757	US Dollar/Units	1917	US Dollar/Units	2015	US Dollar/Units	1912	US Dollar/Units	2424	US Dollar/Units	2335	US Dollar/Units	2603	US Dollar/Units	2439	US Dollar/Units	2253	US Dollar/Units	2312	US Dollar/Units	1890	US Dollar/Units	2401	US Dollar/Units	2052	US Dollar/Units	1937	US Dollar/Units	1274	US Dollar/Units	11020	8652	Units	
"Turkey"	5.40	US Dollar/Kilograms	4.93	US Dollar/Kilograms	5.22	US Dollar/Kilograms	5.43	US Dollar/Kilograms	6.07	US Dollar/Kilograms	9.03	US Dollar/Kilograms	6.61	US Dollar/Kilograms	6.16	US Dollar/Kilograms	7.75	US Dollar/Kilograms	5.59	US Dollar/Kilograms	6.75	US Dollar/Kilograms	5.46	US Dollar/Kilograms	7.01	US Dollar/Kilograms	6.51	US Dollar/Kilograms	6.00	US Dollar/Kilograms	7.13	US Dollar/Kilograms	6.93	US Dollar/Kilograms	7.54	US Dollar/Kilograms	7.53	US Dollar/Kilograms	7.39	US Dollar/Kilograms	3252	440258	Kilograms	
"Denmark"	7774	US Dollar/Tons	9762	US Dollar/Tons	12889	US Dollar/Tons	14165	US Dollar/Tons	10840	US Dollar/Tons	11554	US Dollar/Tons	13613	US Dollar/Tons	10126	US Dollar/Tons	7252	US Dollar/Tons	9781	US Dollar/Tons	8391	US Dollar/Tons	9899	US Dollar/Tons	10794	US Dollar/Tons	21303	US Dollar/Tons	8906	US Dollar/Tons	10500	US Dollar/Tons	13282	US Dollar/Tons	9373	US Dollar/Tons	9079	US Dollar/Tons	9760	US Dollar/Tons	1747	179	Tons	
"Poland"	6090	US Dollar/Tons	5867	US Dollar/Tons	6119	US Dollar/Tons	6012	US Dollar/Tons	6480	US Dollar/Tons	23900	US Dollar/Tons		US Dollar/Mixed	11355	US Dollar/Tons	11320	US Dollar/Tons	9491	US Dollar/Tons		US Dollar/Mixed	29455	US Dollar/Tons	24417	US Dollar/Tons		US Dollar/Mixed	43364	US Dollar/Tons	134875	US Dollar/Tons	13900	US Dollar/Tons	8882	US Dollar/Tons	10255	US Dollar/Tons	9635	US Dollar/Tons	1426	148	Tons	
"Portugal"	6439	US Dollar/Tons	6222	US Dollar/Tons	5939	US Dollar/Tons	6590	US Dollar/Tons	6324	US Dollar/Tons	7046	US Dollar/Tons	7369	US Dollar/Tons	6376	US Dollar/Tons	6894	US Dollar/Tons	7272	US Dollar/Tons	7090	US Dollar/Tons	6922	US Dollar/Tons	6886	US Dollar/Tons	7122	US Dollar/Tons	7149	US Dollar/Tons	6879	US Dollar/Tons	7266	US Dollar/Tons	7519	US Dollar/Tons	7822	US Dollar/Tons	7665	US Dollar/Tons	1349	176	Tons	
"Finland"	6595	US Dollar/Tons	11226	US Dollar/Tons	8116	US Dollar/Tons	11760	US Dollar/Tons	8000	US Dollar/Tons	11467	US Dollar/Tons	8872	US Dollar/Tons	9867	US Dollar/Tons	10286	US Dollar/Tons	10676	US Dollar/Tons	9086	US Dollar/Tons	10147	US Dollar/Tons	9114	US Dollar/Tons	9656	US Dollar/Tons	10932	US Dollar/Tons	13815	US Dollar/Tons	12341	US Dollar/Tons	10663	US Dollar/Tons	11044	US Dollar/Tons	9758	US Dollar/Tons	1288	132	Tons	
"China"	68	US Dollar/Units	98	US Dollar/Units	71	US Dollar/Units	75	US Dollar/Units	62	US Dollar/Units	48	US Dollar/Units	128	US Dollar/Units	85	US Dollar/Units	91	US Dollar/Units	49	US Dollar/Units	48	US Dollar/Units	39	US Dollar/Units	113	US Dollar/Units	258	US Dollar/Units	132	US Dollar/Units	58	US Dollar/Units	107	US Dollar/Units	139	US Dollar/Units	114	US Dollar/Units	156	US Dollar/Units	1191	7648	Units	
"Austria"	36333	US Dollar/Tons	12200	US Dollar/Tons	11068	US Dollar/Tons	8725	US Dollar/Tons	8225	US Dollar/Tons	8560	US Dollar/Tons	10623	US Dollar/Tons	12075	US Dollar/Tons	9236	US Dollar/Tons	11919	US Dollar/Tons	8690	US Dollar/Tons	10785	US Dollar/Tons	9352	US Dollar/Tons	10800	US Dollar/Tons	10780	US Dollar/Tons	10179	US Dollar/Tons	11058	US Dollar/Tons	10901	US Dollar/Tons	10673	US Dollar/Tons	10093	US Dollar/Tons	1090	108	Tons	
"France"	17389	US Dollar/Tons	15853	US Dollar/Tons		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Mixed		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Mixed		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available	987	0	Not available	
"Germany"	7464	US Dollar/Tons	7059	US Dollar/Tons	8298	US Dollar/Tons	7333	US Dollar/Tons	13455	US Dollar/Tons	14278	US Dollar/Tons	9599	US Dollar/Tons	11358	US Dollar/Tons	13842	US Dollar/Tons	9730	US Dollar/Tons	12756	US Dollar/Tons	11375	US Dollar/Tons	18304	US Dollar/Tons	12967	US Dollar/Tons	12154	US Dollar/Tons	12926	US Dollar/Tons	21833	US Dollar/Tons	13491	US Dollar/Tons	13624	US Dollar/Tons	14356	US Dollar/Tons	847	59	Tons	
"Netherlands"		US Dollar/Mixed	10150	US Dollar/Tons	1538	US Dollar/Units	1793	US Dollar/Units	892	US Dollar/Units	787	US Dollar/Units	1334	US Dollar/Units	848	US Dollar/Units	742	US Dollar/Units	883	US Dollar/Units	1289	US Dollar/Units	1240	US Dollar/Units	915	US Dollar/Units	1046	US Dollar/Units	1403	US Dollar/Units	1044	US Dollar/Units	1011	US Dollar/Units	1084	US Dollar/Units	987	US Dollar/Units	968	US Dollar/Units	790	816	Units	
