Exporters	2016-M12-Imported unit value	2016-M12-Unit	2017-M01-Imported unit value	2017-M01-Unit	2017-M02-Imported unit value	2017-M02-Unit	2017-M03-Imported unit value	2017-M03-Unit	2017-M04-Imported unit value	2017-M04-Unit	2017-M05-Imported unit value	2017-M05-Unit	2017-M06-Imported unit value	2017-M06-Unit	2017-M07-Imported unit value	2017-M07-Unit	2017-M08-Imported unit value	2017-M08-Unit	2017-M09-Imported unit value	2017-M09-Unit	2017-M10-Imported unit value	2017-M10-Unit	2017-M11-Imported unit value	2017-M11-Unit	2017-M12-Imported unit value	2017-M12-Unit	2018-M01-Imported unit value	2018-M01-Unit	2018-M02-Imported unit value	2018-M02-Unit	2018-M03-Imported unit value	2018-M03-Unit	2018-M04-Imported unit value	2018-M04-Unit	2018-M05-Imported unit value	2018-M05-Unit	2018-M06-Imported unit value	2018-M06-Unit	2018-M07-Imported unit value	2018-M07-Unit	Imported value in 2018-M07, US Dollar thousand	Imported quantity in 2018-M07	Quantity Unit in 2018-M07	
"Turkey"	6.54	US Dollar/Kilograms	6.46	US Dollar/Kilograms	7.86	US Dollar/Kilograms	7.14	US Dollar/Kilograms	6.68	US Dollar/Kilograms	7.48	US Dollar/Kilograms	7.40	US Dollar/Kilograms	9.02	US Dollar/Kilograms	9.22	US Dollar/Kilograms	9.30	US Dollar/Kilograms	7.71	US Dollar/Kilograms	7.28	US Dollar/Kilograms	7.87	US Dollar/Kilograms	9.18	US Dollar/Kilograms	8.68	US Dollar/Kilograms	8.23	US Dollar/Kilograms	8.76	US Dollar/Kilograms	9.82	US Dollar/Kilograms	8.10	US Dollar/Kilograms	8.07	US Dollar/Kilograms	4256	527699	Kilograms	
"United States of America"	1976	US Dollar/Units	2949	US Dollar/Units	1912	US Dollar/Units	1733	US Dollar/Units	2450	US Dollar/Units	3137	US Dollar/Units	2749	US Dollar/Units	3166	US Dollar/Units	2961	US Dollar/Units	2560	US Dollar/Units	3144	US Dollar/Units	2983	US Dollar/Units	2646	US Dollar/Units	2275	US Dollar/Units	2551	US Dollar/Units	3174	US Dollar/Units	3547	US Dollar/Units	3307	US Dollar/Units	2652	US Dollar/Units	2500	US Dollar/Units	270	108	Units	
"Australia"															7333	US Dollar/Units	7818	US Dollar/Units	1333	US Dollar/Units							3000	US Dollar/Units			2000	US Dollar/Units			667	US Dollar/Units	3000	US Dollar/Units						
"Austria"	8119	US Dollar/Tons	13397	US Dollar/Tons	12836	US Dollar/Tons	13968	US Dollar/Tons	13121	US Dollar/Tons	13049	US Dollar/Tons	12161	US Dollar/Tons	12509	US Dollar/Tons	11981	US Dollar/Tons	13099	US Dollar/Tons	14515	US Dollar/Tons	10119	US Dollar/Tons	11159	US Dollar/Tons	12	US Dollar/Kilograms	13	US Dollar/Kilograms	13	US Dollar/Kilograms	14	US Dollar/Kilograms	13	US Dollar/Kilograms								
"Belgium"	810	US Dollar/Units	836	US Dollar/Units	931	US Dollar/Units	895	US Dollar/Units	2086	US Dollar/Units	16250	US Dollar/Tons	16286	US Dollar/Tons	24000	US Dollar/Tons	16667	US Dollar/Tons	17200	US Dollar/Tons	18400	US Dollar/Tons	16500	US Dollar/Tons	13250	US Dollar/Tons	18	US Dollar/Kilograms	26	US Dollar/Kilograms	23	US Dollar/Kilograms	25	US Dollar/Kilograms	23	US Dollar/Kilograms								
"Bermuda"											1000	US Dollar/Kilograms																																
"Bulgaria"										US Dollar/Tons										US Dollar/Tons						US Dollar/Tons	8.47	US Dollar/Kilograms																
"Canada"						US Dollar/Not available																US Dollar/Not available		US Dollar/Not available																				
"China"	3.94	US Dollar/Kilograms	4.04	US Dollar/Kilograms	3.90	US Dollar/Kilograms	3.86	US Dollar/Kilograms	4.23	US Dollar/Kilograms	4.08	US Dollar/Kilograms	4.06	US Dollar/Kilograms	4.04	US Dollar/Kilograms	4.07	US Dollar/Kilograms	4.28	US Dollar/Kilograms	4.13	US Dollar/Kilograms	4.57	US Dollar/Kilograms	4.36	US Dollar/Kilograms	4.09	US Dollar/Kilograms	4.19	US Dollar/Kilograms	4.18	US Dollar/Kilograms												
"Czech Republic"	9455	US Dollar/Tons	7855	US Dollar/Tons	6060	US Dollar/Tons	9406	US Dollar/Tons	10292	US Dollar/Tons	9965	US Dollar/Tons	12265	US Dollar/Tons	12382	US Dollar/Tons	11955	US Dollar/Tons	10538	US Dollar/Tons	11190	US Dollar/Tons	10389	US Dollar/Tons	13429	US Dollar/Tons	14	US Dollar/Kilograms	13	US Dollar/Kilograms	13	US Dollar/Kilograms	14	US Dollar/Kilograms	15	US Dollar/Kilograms								
"Denmark"	13171	US Dollar/Tons	10865	US Dollar/Tons	10808	US Dollar/Tons	11013	US Dollar/Tons	10587	US Dollar/Tons	10590	US Dollar/Tons	10184	US Dollar/Tons	10882	US Dollar/Tons	10552	US Dollar/Tons	10816	US Dollar/Tons	10785	US Dollar/Tons	9776	US Dollar/Tons	10714	US Dollar/Tons	12	US Dollar/Kilograms	11	US Dollar/Kilograms	12	US Dollar/Kilograms	11	US Dollar/Kilograms	9.23	US Dollar/Kilograms								
"Finland"		US Dollar/Tons	48000	US Dollar/Tons		US Dollar/Tons	40333	US Dollar/Tons	40625	US Dollar/Tons	54250	US Dollar/Tons	70800	US Dollar/Tons		US Dollar/Tons	64600	US Dollar/Tons	87200	US Dollar/Tons	68400	US Dollar/Tons	92667	US Dollar/Tons	53000	US Dollar/Tons	101	US Dollar/Kilograms	28	US Dollar/Kilograms			34	US Dollar/Kilograms	22	US Dollar/Kilograms								
"France"	13	US Dollar/Kilograms	14	US Dollar/Kilograms	14	US Dollar/Kilograms	14	US Dollar/Kilograms	14	US Dollar/Kilograms	11	US Dollar/Kilograms	11	US Dollar/Kilograms	11	US Dollar/Kilograms	9.71	US Dollar/Kilograms	12	US Dollar/Kilograms	13	US Dollar/Kilograms	17	US Dollar/Kilograms	15	US Dollar/Kilograms	14	US Dollar/Kilograms	15	US Dollar/Kilograms	14	US Dollar/Kilograms	12	US Dollar/Kilograms	15	US Dollar/Kilograms	12	US Dollar/Kilograms						
