Exporters	2009-M01-Imported unit value	2009-M01-Unit	2009-M02-Imported unit value	2009-M02-Unit	2009-M03-Imported unit value	2009-M03-Unit	2009-M04-Imported unit value	2009-M04-Unit	2009-M05-Imported unit value	2009-M05-Unit	2009-M06-Imported unit value	2009-M06-Unit	2009-M07-Imported unit value	2009-M07-Unit	2009-M08-Imported unit value	2009-M08-Unit	2009-M09-Imported unit value	2009-M09-Unit	2009-M10-Imported unit value	2009-M10-Unit	2009-M11-Imported unit value	2009-M11-Unit	2009-M12-Imported unit value	2009-M12-Unit	2010-M01-Imported unit value	2010-M01-Unit	2010-M02-Imported unit value	2010-M02-Unit	2010-M03-Imported unit value	2010-M03-Unit	2010-M04-Imported unit value	2010-M04-Unit	2010-M05-Imported unit value	2010-M05-Unit	2010-M06-Imported unit value	2010-M06-Unit	2010-M07-Imported unit value	2010-M07-Unit	2010-M08-Imported unit value	2010-M08-Unit	Imported value in 2010-M08, US Dollar thousand	Imported quantity in 2010-M08	Quantity Unit in 2010-M08	
"Czech Republic"	6731	US Dollar/Tons	6245	US Dollar/Tons	7981	US Dollar/Tons	7366	US Dollar/Tons	7724	US Dollar/Tons	8169	US Dollar/Tons	8599	US Dollar/Tons	8623	US Dollar/Tons	8602	US Dollar/Tons	8263	US Dollar/Tons	8834	US Dollar/Tons	8868	US Dollar/Tons	8579	US Dollar/Tons	7790	US Dollar/Tons	7650	US Dollar/Tons	7941	US Dollar/Tons	7574	US Dollar/Tons	7667	US Dollar/Tons	7926	US Dollar/Tons	8670	US Dollar/Tons	5289	610	Tons	
"Italy"	1954	US Dollar/Units	1928	US Dollar/Units	1177	US Dollar/Units	1656	US Dollar/Units	1810	US Dollar/Units	1686	US Dollar/Units	1318	US Dollar/Units	2831	US Dollar/Units	1322	US Dollar/Units	2518	US Dollar/Units	2265	US Dollar/Units	2327	US Dollar/Units	10543	US Dollar/Tons	12114	US Dollar/Tons	11443	US Dollar/Tons	9445	US Dollar/Tons	7509	US Dollar/Tons	9994	US Dollar/Tons	9942	US Dollar/Tons	7274	US Dollar/Tons	4146	570	Tons	
"Turkey"	5.25	US Dollar/Kilograms	5.73	US Dollar/Kilograms	5.16	US Dollar/Kilograms	6.31	US Dollar/Kilograms	6.65	US Dollar/Kilograms	6.43	US Dollar/Kilograms	7.14	US Dollar/Kilograms	7.14	US Dollar/Kilograms	5.91	US Dollar/Kilograms	6.56	US Dollar/Kilograms	6.36	US Dollar/Kilograms	6.12	US Dollar/Kilograms	7.26	US Dollar/Kilograms	6.81	US Dollar/Kilograms	6.75	US Dollar/Kilograms	6.39	US Dollar/Kilograms	6.19	US Dollar/Kilograms	5.21	US Dollar/Kilograms	5.54	US Dollar/Kilograms	5.05	US Dollar/Kilograms	3098	613034	Kilograms	
"China"	237	US Dollar/Units	219	US Dollar/Units	270	US Dollar/Units	213	US Dollar/Units	205	US Dollar/Units	213	US Dollar/Units	214	US Dollar/Units	317	US Dollar/Units	234	US Dollar/Units	223	US Dollar/Units	224	US Dollar/Units	220	US Dollar/Units	4.40	US Dollar/Kilograms	4.72	US Dollar/Kilograms	4.89	US Dollar/Kilograms	4.41	US Dollar/Kilograms	4.68	US Dollar/Kilograms	4.21	US Dollar/Kilograms	4.52	US Dollar/Kilograms	4.45	US Dollar/Kilograms	2130	478682	Kilograms	
"Denmark"	6780	US Dollar/Tons	8148	US Dollar/Tons	8852	US Dollar/Tons	9165	US Dollar/Tons	8331	US Dollar/Tons	9631	US Dollar/Tons	8463	US Dollar/Tons	8737	US Dollar/Tons	10448	US Dollar/Tons	11941	US Dollar/Tons	12236	US Dollar/Tons	10915	US Dollar/Tons	9377	US Dollar/Tons	9846	US Dollar/Tons	9607	US Dollar/Tons	8659	US Dollar/Tons	8511	US Dollar/Tons	8745	US Dollar/Tons	8379	US Dollar/Tons	8835	US Dollar/Tons	1661	188	Tons	
"Austria"	12630	US Dollar/Tons	12075	US Dollar/Tons	10027	US Dollar/Tons	10473	US Dollar/Tons	12465	US Dollar/Tons	13009	US Dollar/Tons	14304	US Dollar/Tons	15028	US Dollar/Tons	14322	US Dollar/Tons	15456	US Dollar/Tons	17190	US Dollar/Tons	15939	US Dollar/Tons	15097	US Dollar/Tons	14426	US Dollar/Tons	15697	US Dollar/Tons	15866	US Dollar/Tons	11755	US Dollar/Tons	12859	US Dollar/Tons	12063	US Dollar/Tons	15000	US Dollar/Tons	1170	78	Tons	
"United States of America"	959	US Dollar/Units	1194	US Dollar/Units	1152	US Dollar/Units	1218	US Dollar/Units	1036	US Dollar/Units	1382	US Dollar/Units	1123	US Dollar/Units	989	US Dollar/Units	1104	US Dollar/Units	1059	US Dollar/Units	1591	US Dollar/Units	1231	US Dollar/Units	1110	US Dollar/Units	1945	US Dollar/Units	1665	US Dollar/Units	1567	US Dollar/Units	1786	US Dollar/Units	1295	US Dollar/Units	2197	US Dollar/Units	1272	US Dollar/Units	809	636	Units	
"Portugal"	7250	US Dollar/Tons	6897	US Dollar/Tons	6742	US Dollar/Tons	7279	US Dollar/Tons	7425	US Dollar/Tons	7841	US Dollar/Tons	8262	US Dollar/Tons	10278	US Dollar/Tons	7829	US Dollar/Tons	8551	US Dollar/Tons	7950	US Dollar/Tons	7855	US Dollar/Tons	7464	US Dollar/Tons	8083	US Dollar/Tons	7431	US Dollar/Tons	6871	US Dollar/Tons	6466	US Dollar/Tons	6577	US Dollar/Tons	6840	US Dollar/Tons	6209	US Dollar/Tons	534	86	Tons	
"Ireland"	12147	US Dollar/Tons	9481	US Dollar/Tons	7717	US Dollar/Tons	4944	US Dollar/Tons	6081	US Dollar/Tons	5920	US Dollar/Tons	7980	US Dollar/Tons	9344	US Dollar/Tons	9623	US Dollar/Tons	8888	US Dollar/Tons	8569	US Dollar/Tons	6755	US Dollar/Tons	7831	US Dollar/Tons	5118	US Dollar/Tons	32059	US Dollar/Tons	34320	US Dollar/Tons	17932	US Dollar/Tons	15750	US Dollar/Tons	13173	US Dollar/Tons	7691	US Dollar/Tons	523	68	Tons	
"Poland"	5907	US Dollar/Tons	5623	US Dollar/Tons	7859	US Dollar/Tons	6286	US Dollar/Tons	8636	US Dollar/Tons	7324	US Dollar/Tons	7580	US Dollar/Tons	7397	US Dollar/Tons	7500	US Dollar/Tons	7631	US Dollar/Tons	7600	US Dollar/Tons	6887	US Dollar/Tons	7919	US Dollar/Tons	7950	US Dollar/Tons	6558	US Dollar/Tons	7212	US Dollar/Tons	6386	US Dollar/Tons	5671	US Dollar/Tons	6329	US Dollar/Tons	6855	US Dollar/Tons	377	55	Tons	
