Exporters	2007-M06-Imported unit value	2007-M06-Unit	2007-M07-Imported unit value	2007-M07-Unit	2007-M08-Imported unit value	2007-M08-Unit	2007-M09-Imported unit value	2007-M09-Unit	2007-M10-Imported unit value	2007-M10-Unit	2007-M11-Imported unit value	2007-M11-Unit	2007-M12-Imported unit value	2007-M12-Unit	2008-M01-Imported unit value	2008-M01-Unit	2008-M02-Imported unit value	2008-M02-Unit	2008-M03-Imported unit value	2008-M03-Unit	2008-M04-Imported unit value	2008-M04-Unit	2008-M05-Imported unit value	2008-M05-Unit	2008-M06-Imported unit value	2008-M06-Unit	2008-M07-Imported unit value	2008-M07-Unit	2008-M08-Imported unit value	2008-M08-Unit	2008-M09-Imported unit value	2008-M09-Unit	2008-M10-Imported unit value	2008-M10-Unit	2008-M11-Imported unit value	2008-M11-Unit	2008-M12-Imported unit value	2008-M12-Unit	2009-M01-Imported unit value	2009-M01-Unit	Imported value in 2009-M01, US Dollar thousand	Imported quantity in 2009-M01	Quantity Unit in 2009-M01	
"Italy"	1274	US Dollar/Units	2224	US Dollar/Units	2423	US Dollar/Units	2581	US Dollar/Units	2656	US Dollar/Units	2915	US Dollar/Units	2207	US Dollar/Units	2334	US Dollar/Units	2202	US Dollar/Units	1643	US Dollar/Units	2260	US Dollar/Units	2245	US Dollar/Units	2124	US Dollar/Units	2164	US Dollar/Units	3062	US Dollar/Units	2188	US Dollar/Units	2682	US Dollar/Units	2218	US Dollar/Units	1925	US Dollar/Units	1954	US Dollar/Units	2313	1184	Units	
"Austria"	10093	US Dollar/Tons	12854	US Dollar/Tons	12590	US Dollar/Tons	12937	US Dollar/Tons	12384	US Dollar/Tons	14115	US Dollar/Tons	13000	US Dollar/Tons	11880	US Dollar/Tons	13973	US Dollar/Tons	12617	US Dollar/Tons	13219	US Dollar/Tons	12924	US Dollar/Tons	13030	US Dollar/Tons	13026	US Dollar/Tons	13610	US Dollar/Tons	11631	US Dollar/Tons	12125	US Dollar/Tons	11239	US Dollar/Tons	12582	US Dollar/Tons	12630	US Dollar/Tons	1364	108	Tons	
"Denmark"	9760	US Dollar/Tons	9803	US Dollar/Tons	9806	US Dollar/Tons	12197	US Dollar/Tons	13662	US Dollar/Tons		US Dollar/Mixed	11368	US Dollar/Tons	11193	US Dollar/Tons	11166	US Dollar/Tons	11021	US Dollar/Tons	12032	US Dollar/Tons	8713	US Dollar/Tons	9643	US Dollar/Tons	11204	US Dollar/Tons	10291	US Dollar/Tons	11211	US Dollar/Tons	10847	US Dollar/Tons	9451	US Dollar/Tons	11186	US Dollar/Tons	6780	US Dollar/Tons	1139	168	Tons	
"Czech Republic"		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available	6731	US Dollar/Tons	1124	167	Tons	
"United States of America"	1382	US Dollar/Units	1901	US Dollar/Units	2107	US Dollar/Units	1678	US Dollar/Units	1756	US Dollar/Units	1570	US Dollar/Units	1358	US Dollar/Units	1622	US Dollar/Units	3048	US Dollar/Units	1302	US Dollar/Units	1430	US Dollar/Units	1944	US Dollar/Units	1932	US Dollar/Units	2185	US Dollar/Units	1430	US Dollar/Units	1261	US Dollar/Units	1214	US Dollar/Units	1590	US Dollar/Units	1045	US Dollar/Units	959	US Dollar/Units	769	802	Units	
"Poland"	9635	US Dollar/Tons	9348	US Dollar/Tons	11438	US Dollar/Tons	10105	US Dollar/Tons	8598	US Dollar/Tons	8273	US Dollar/Tons	10973	US Dollar/Tons	9570	US Dollar/Tons	9456	US Dollar/Tons	12194	US Dollar/Tons	13394	US Dollar/Tons	10176	US Dollar/Tons	9402	US Dollar/Tons	10010	US Dollar/Tons	8723	US Dollar/Tons	7849	US Dollar/Tons	8298	US Dollar/Tons	7741	US Dollar/Tons	9265	US Dollar/Tons	5907	US Dollar/Tons	762	129	Tons	
"China"	156	US Dollar/Units	207	US Dollar/Units	241	US Dollar/Units	232	US Dollar/Units	278	US Dollar/Units	263	US Dollar/Units	177	US Dollar/Units	159	US Dollar/Units	254	US Dollar/Units	175	US Dollar/Units	114	US Dollar/Units	243	US Dollar/Units	181	US Dollar/Units	300	US Dollar/Units	320	US Dollar/Units	256	US Dollar/Units	221	US Dollar/Units	199	US Dollar/Units	172	US Dollar/Units	237	US Dollar/Units	751	3165	Units	
"Turkey"	7.39	US Dollar/Kilograms	6.68	US Dollar/Kilograms	7.25	US Dollar/Kilograms	6.81	US Dollar/Kilograms	6.93	US Dollar/Kilograms	7.60	US Dollar/Kilograms	6.64	US Dollar/Kilograms	6.77	US Dollar/Kilograms	6.89	US Dollar/Kilograms	6.82	US Dollar/Kilograms	6.78	US Dollar/Kilograms	6.87	US Dollar/Kilograms	6.48	US Dollar/Kilograms	6.47	US Dollar/Kilograms	6.87	US Dollar/Kilograms	6.24	US Dollar/Kilograms	5.34	US Dollar/Kilograms	4.91	US Dollar/Kilograms	5.08	US Dollar/Kilograms	5.25	US Dollar/Kilograms	654	124475	Kilograms	
"Portugal"	7665	US Dollar/Tons	5874	US Dollar/Tons	9089	US Dollar/Tons	6310	US Dollar/Tons	6817	US Dollar/Tons	8405	US Dollar/Tons	6608	US Dollar/Tons	8478	US Dollar/Tons	8636	US Dollar/Tons	7862	US Dollar/Tons	9190	US Dollar/Tons	8807	US Dollar/Tons	8943	US Dollar/Tons	7463	US Dollar/Tons	7678	US Dollar/Tons	7888	US Dollar/Tons	7716	US Dollar/Tons	7264	US Dollar/Tons	7411	US Dollar/Tons	7250	US Dollar/Tons	638	88	Tons	
"Ireland"	16630	US Dollar/Tons	9944	US Dollar/Tons	47625	US Dollar/Tons	14286	US Dollar/Tons	24450	US Dollar/Tons	13000	US Dollar/Tons	4200	US Dollar/Tons		US Dollar/Mixed		US Dollar/Not available	16021	US Dollar/Tons	45800	US Dollar/Tons	11500	US Dollar/Tons	27000	US Dollar/Tons	11333	US Dollar/Tons	20000	US Dollar/Tons	21000	US Dollar/Tons	23000	US Dollar/Tons		US Dollar/Mixed	11667	US Dollar/Tons	12147	US Dollar/Tons	413	34	Tons	
