Exporters	2007-M06-Imported unit value	2007-M06-Unit	2007-M07-Imported unit value	2007-M07-Unit	2007-M08-Imported unit value	2007-M08-Unit	2007-M09-Imported unit value	2007-M09-Unit	2007-M10-Imported unit value	2007-M10-Unit	2007-M11-Imported unit value	2007-M11-Unit	2007-M12-Imported unit value	2007-M12-Unit	2008-M01-Imported unit value	2008-M01-Unit	2008-M02-Imported unit value	2008-M02-Unit	2008-M03-Imported unit value	2008-M03-Unit	2008-M04-Imported unit value	2008-M04-Unit	2008-M05-Imported unit value	2008-M05-Unit	2008-M06-Imported unit value	2008-M06-Unit	2008-M07-Imported unit value	2008-M07-Unit	2008-M08-Imported unit value	2008-M08-Unit	2008-M09-Imported unit value	2008-M09-Unit	2008-M10-Imported unit value	2008-M10-Unit	2008-M11-Imported unit value	2008-M11-Unit	2008-M12-Imported unit value	2008-M12-Unit	2009-M01-Imported unit value	2009-M01-Unit	Imported value in 2009-M01, US Dollar thousand	Imported quantity in 2009-M01	Quantity Unit in 2009-M01	
"China"	127	US Dollar/Units	152	US Dollar/Units	149	US Dollar/Units	167	US Dollar/Units	184	US Dollar/Units	199	US Dollar/Units	208	US Dollar/Units	212	US Dollar/Units	251	US Dollar/Units	226	US Dollar/Units	227	US Dollar/Units	219	US Dollar/Units	202	US Dollar/Units	206	US Dollar/Units	177	US Dollar/Units	163	US Dollar/Units	182	US Dollar/Units	205	US Dollar/Units	206	US Dollar/Units	209	US Dollar/Units	3057	14618	Units	
"Italy"	363	US Dollar/Units	398	US Dollar/Units	334	US Dollar/Units	404	US Dollar/Units	409	US Dollar/Units	419	US Dollar/Units	494	US Dollar/Units	403	US Dollar/Units	388	US Dollar/Units	462	US Dollar/Units	528	US Dollar/Units	491	US Dollar/Units	525	US Dollar/Units	507	US Dollar/Units	416	US Dollar/Units	526	US Dollar/Units	492	US Dollar/Units	514	US Dollar/Units	490	US Dollar/Units	401	US Dollar/Units	2345	5855	Units	
"Turkey"	4.35	US Dollar/Kilograms	4.34	US Dollar/Kilograms	4.18	US Dollar/Kilograms	4.36	US Dollar/Kilograms	4.61	US Dollar/Kilograms	4.60	US Dollar/Kilograms	4.36	US Dollar/Kilograms	4.39	US Dollar/Kilograms	4.33	US Dollar/Kilograms	4.36	US Dollar/Kilograms	4.10	US Dollar/Kilograms	4.24	US Dollar/Kilograms	4.42	US Dollar/Kilograms	4.32	US Dollar/Kilograms	4.31	US Dollar/Kilograms	3.88	US Dollar/Kilograms	3.43	US Dollar/Kilograms	3.26	US Dollar/Kilograms	3.19	US Dollar/Kilograms	3.15	US Dollar/Kilograms	1945	618400	Kilograms	
"Germany"	8183	US Dollar/Tons	8612	US Dollar/Tons	8782	US Dollar/Tons	8556	US Dollar/Tons	9075	US Dollar/Tons	9059	US Dollar/Tons	8762	US Dollar/Tons	9433	US Dollar/Tons	8945	US Dollar/Tons	9453	US Dollar/Tons	9242	US Dollar/Tons	9506	US Dollar/Tons	9692	US Dollar/Tons	9104	US Dollar/Tons	8526	US Dollar/Tons	8892	US Dollar/Tons	8198	US Dollar/Tons	7987	US Dollar/Tons	7963	US Dollar/Tons	7600	US Dollar/Tons	1330	175	Tons	
"Korea, Republic of"															4.27	US Dollar/Kilograms	3.95	US Dollar/Kilograms	4.79	US Dollar/Kilograms	4.83	US Dollar/Kilograms	4.72	US Dollar/Kilograms	4.68	US Dollar/Kilograms	4.38	US Dollar/Kilograms	4.62	US Dollar/Kilograms	4.82	US Dollar/Kilograms	4.19	US Dollar/Kilograms	2.90	US Dollar/Kilograms	3.97	US Dollar/Kilograms	3.70	US Dollar/Kilograms	1172	316786	Kilograms	
"Spain"	290	US Dollar/Units	278	US Dollar/Units	338	US Dollar/Units	306	US Dollar/Units	293	US Dollar/Units	281	US Dollar/Units	320	US Dollar/Units	4667	US Dollar/Tons	4699	US Dollar/Tons	4924	US Dollar/Tons	5322	US Dollar/Tons	5568	US Dollar/Tons	5792	US Dollar/Tons	5301	US Dollar/Tons	5347	US Dollar/Tons	5029	US Dollar/Tons	4734	US Dollar/Tons	4200	US Dollar/Tons	4471	US Dollar/Tons	4634	US Dollar/Tons	797	172	Tons	
"Poland"	3706	US Dollar/Tons	4911	US Dollar/Tons	4816	US Dollar/Tons	5483	US Dollar/Tons	5029	US Dollar/Tons	5399	US Dollar/Tons	5536	US Dollar/Tons	5053	US Dollar/Tons	5252	US Dollar/Tons	5310	US Dollar/Tons	4995	US Dollar/Tons	5056	US Dollar/Tons	7523	US Dollar/Tons	5615	US Dollar/Tons	5228	US Dollar/Tons	4971	US Dollar/Tons	4387	US Dollar/Tons	3607	US Dollar/Tons	4376	US Dollar/Tons	3984	US Dollar/Tons	506	127	Tons	
"Hungary"	5003	US Dollar/Tons	5248	US Dollar/Tons	4751	US Dollar/Tons	4771	US Dollar/Tons	5202	US Dollar/Tons	4882	US Dollar/Tons	5044	US Dollar/Tons	4965	US Dollar/Tons	4928	US Dollar/Tons	4918	US Dollar/Tons	5528	US Dollar/Tons	5491	US Dollar/Tons	5708	US Dollar/Tons	6317	US Dollar/Tons	5327	US Dollar/Tons	5118	US Dollar/Tons	4168	US Dollar/Tons	4194	US Dollar/Tons	6951	US Dollar/Tons	4495	US Dollar/Tons	472	105	Tons	
"Romania"	4431	US Dollar/Tons	4445	US Dollar/Tons	4415	US Dollar/Tons	4044	US Dollar/Tons	4620	US Dollar/Tons	4442	US Dollar/Tons	4426	US Dollar/Tons	3958	US Dollar/Tons	3988	US Dollar/Tons	4102	US Dollar/Tons	4052	US Dollar/Tons	4133	US Dollar/Tons	4000	US Dollar/Tons	3987	US Dollar/Tons	4013	US Dollar/Tons	3771	US Dollar/Tons	3556	US Dollar/Tons	3112	US Dollar/Tons	3074	US Dollar/Tons	3000	US Dollar/Tons	441	147	Tons	
"Bulgaria"	4554	US Dollar/Tons	4793	US Dollar/Tons	4892	US Dollar/Tons	5106	US Dollar/Tons	5049	US Dollar/Tons	5687	US Dollar/Tons	5538	US Dollar/Tons	5327	US Dollar/Tons	5600	US Dollar/Tons	5667	US Dollar/Tons	5957	US Dollar/Tons	5714	US Dollar/Tons	5512	US Dollar/Tons	5767	US Dollar/Tons	5697	US Dollar/Tons	5171	US Dollar/Tons	4907	US Dollar/Tons	4417	US Dollar/Tons	5000	US Dollar/Tons	5071	US Dollar/Tons	142	28	Tons	
