Exporters	2015-M05-Imported unit value	2015-M05-Unit	2015-M06-Imported unit value	2015-M06-Unit	2015-M07-Imported unit value	2015-M07-Unit	2015-M08-Imported unit value	2015-M08-Unit	2015-M09-Imported unit value	2015-M09-Unit	2015-M10-Imported unit value	2015-M10-Unit	2015-M11-Imported unit value	2015-M11-Unit	2015-M12-Imported unit value	2015-M12-Unit	2016-M01-Imported unit value	2016-M01-Unit	2016-M02-Imported unit value	2016-M02-Unit	2016-M03-Imported unit value	2016-M03-Unit	2016-M04-Imported unit value	2016-M04-Unit	2016-M05-Imported unit value	2016-M05-Unit	2016-M06-Imported unit value	2016-M06-Unit	2016-M07-Imported unit value	2016-M07-Unit	2016-M08-Imported unit value	2016-M08-Unit	2016-M09-Imported unit value	2016-M09-Unit	2016-M10-Imported unit value	2016-M10-Unit	2016-M11-Imported unit value	2016-M11-Unit	2016-M12-Imported unit value	2016-M12-Unit	Imported value in 2016-M12, US Dollar thousand	Imported quantity in 2016-M12	Quantity Unit in 2016-M12	
"India"			880	US Dollar/Units	795	US Dollar/Units	772	US Dollar/Units	763	US Dollar/Units	738	US Dollar/Units	763	US Dollar/Units	733	US Dollar/Units	696	US Dollar/Units	702	US Dollar/Units	685	US Dollar/Units	682	US Dollar/Units	681	US Dollar/Units	692	US Dollar/Units	637	US Dollar/Units	652	US Dollar/Units	645	US Dollar/Units	647	US Dollar/Units	476	US Dollar/Units	783	US Dollar/Units	188	240	Units	
"Slovenia"	5219	US Dollar/Tons	5367	US Dollar/Tons	4984	US Dollar/Tons	5237	US Dollar/Tons	5275	US Dollar/Tons	5159	US Dollar/Tons	5237	US Dollar/Tons	5333	US Dollar/Tons	5070	US Dollar/Tons	4913	US Dollar/Tons	4880	US Dollar/Tons	5378	US Dollar/Tons	5250	US Dollar/Tons	5236	US Dollar/Tons	4906	US Dollar/Tons	5148	US Dollar/Tons	4889	US Dollar/Tons	4545	US Dollar/Tons	4800	US Dollar/Tons	4829	US Dollar/Tons	169	35	Tons	
"Austria"	9556	US Dollar/Tons	10375	US Dollar/Tons	9778	US Dollar/Tons	11429	US Dollar/Tons	6571	US Dollar/Tons	11000	US Dollar/Tons	9333	US Dollar/Tons	8000	US Dollar/Tons	11333	US Dollar/Tons	11500	US Dollar/Tons	11833	US Dollar/Tons	10667	US Dollar/Tons		US Dollar/Tons	11000	US Dollar/Tons	10000	US Dollar/Tons	9556	US Dollar/Tons	11333	US Dollar/Tons	9000	US Dollar/Tons	7600	US Dollar/Tons	9800	US Dollar/Tons	49	5	Tons	
"Estonia"																															3733	US Dollar/Tons	4200	US Dollar/Tons	4111	US Dollar/Tons	3615	US Dollar/Tons	4667	US Dollar/Tons	42	9	Tons	
"Serbia"	5.43	US Dollar/Kilograms	5.76	US Dollar/Kilograms	5.03	US Dollar/Kilograms	5.32	US Dollar/Kilograms	5.43	US Dollar/Kilograms	5.75	US Dollar/Kilograms	5.19	US Dollar/Kilograms	5.01	US Dollar/Kilograms	5.00	US Dollar/Kilograms	4.43	US Dollar/Kilograms	6.18	US Dollar/Kilograms	4.75	US Dollar/Kilograms	5.02	US Dollar/Kilograms	5.25	US Dollar/Kilograms	4.59	US Dollar/Kilograms			5.38	US Dollar/Kilograms	3.68	US Dollar/Kilograms	5.35	US Dollar/Kilograms	4.98	US Dollar/Kilograms	24	4820	Kilograms	
"Netherlands"	12500	US Dollar/Tons	11000	US Dollar/Tons	12250	US Dollar/Tons	14000	US Dollar/Tons		US Dollar/Tons	10889	US Dollar/Tons	11375	US Dollar/Tons		US Dollar/Tons		US Dollar/Tons		US Dollar/Tons	9667	US Dollar/Tons	10500	US Dollar/Tons	15000	US Dollar/Tons		US Dollar/Tons	6000	US Dollar/Tons	9500	US Dollar/Tons	11182	US Dollar/Tons	10000	US Dollar/Tons	11333	US Dollar/Tons	12000	US Dollar/Tons	12	1	Tons	
"Denmark"	3375	US Dollar/Tons	2111	US Dollar/Tons	2444	US Dollar/Tons	2556	US Dollar/Tons	5111	US Dollar/Tons		US Dollar/Mixed	2750	US Dollar/Tons	2000	US Dollar/Tons	2625	US Dollar/Tons	2600	US Dollar/Tons	2571	US Dollar/Tons	3429	US Dollar/Tons	4143	US Dollar/Tons	3125	US Dollar/Tons	1667	US Dollar/Tons	2300	US Dollar/Tons	3375	US Dollar/Tons	2714	US Dollar/Tons	3000	US Dollar/Tons	2400	US Dollar/Tons	12	5	Tons	
"France"	2.02	US Dollar/Kilograms	4.56	US Dollar/Kilograms	2.33	US Dollar/Kilograms	1.92	US Dollar/Kilograms	3.03	US Dollar/Kilograms	3.71	US Dollar/Kilograms	1.98	US Dollar/Kilograms	1.43	US Dollar/Kilograms	1.75	US Dollar/Kilograms	2.34	US Dollar/Kilograms	2.02	US Dollar/Kilograms	2.10	US Dollar/Kilograms	2.31	US Dollar/Kilograms	1.81	US Dollar/Kilograms	2.97	US Dollar/Kilograms	3.26	US Dollar/Kilograms	2.38	US Dollar/Kilograms	2.63	US Dollar/Kilograms	1.38	US Dollar/Kilograms	1.57	US Dollar/Kilograms	3	1910	Kilograms	
"Belgium"	500	US Dollar/Units																															375	US Dollar/Units			1500	US Dollar/Units	1000	US Dollar/Units	1	1	Units	
"Australia"	667	US Dollar/Units													4000	US Dollar/Units																												
"Finland"																								US Dollar/Tons																				
"Czech Republic"	2000	US Dollar/Tons				US Dollar/Tons																																						
"Greece"			2000	US Dollar/Tons																				US Dollar/Tons																				
"Indonesia"							2.92	US Dollar/Kilograms											4.82	US Dollar/Kilograms																								
"New Zealand"					16	US Dollar/Kilograms																																						
"Norway"					0	US Dollar/Kilograms					17	US Dollar/Kilograms											30	US Dollar/Kilograms					34	US Dollar/Kilograms	12	US Dollar/Kilograms					30	US Dollar/Kilograms						
"Philippines"	0.53	US Dollar/Kilograms															1.33	US Dollar/Kilograms																										
"Mexico"			872	US Dollar/Units					826	US Dollar/Units	872	US Dollar/Units																	830	US Dollar/Units														
"Portugal"				US Dollar/Tons		US Dollar/Tons						US Dollar/Tons			3725	US Dollar/Tons														US Dollar/Tons				US Dollar/Tons										
"Singapore"							1500	US Dollar/Units			0	US Dollar/Units							2500	US Dollar/Units													2667	US Dollar/Units										
"South Africa"																									1000	US Dollar/Units					1000	US Dollar/Units												
"Sweden"																																US Dollar/Tons						US Dollar/Tons						
"Switzerland"			21	US Dollar/Kilograms	0	US Dollar/Kilograms																																						
