Exporters	2010-M08-Imported unit value	2010-M08-Unit	2010-M09-Imported unit value	2010-M09-Unit	2010-M10-Imported unit value	2010-M10-Unit	2010-M11-Imported unit value	2010-M11-Unit	2010-M12-Imported unit value	2010-M12-Unit	2011-M01-Imported unit value	2011-M01-Unit	2011-M02-Imported unit value	2011-M02-Unit	2011-M03-Imported unit value	2011-M03-Unit	2011-M04-Imported unit value	2011-M04-Unit	2011-M05-Imported unit value	2011-M05-Unit	2011-M06-Imported unit value	2011-M06-Unit	2011-M07-Imported unit value	2011-M07-Unit	2011-M08-Imported unit value	2011-M08-Unit	2011-M09-Imported unit value	2011-M09-Unit	2011-M10-Imported unit value	2011-M10-Unit	2011-M11-Imported unit value	2011-M11-Unit	2011-M12-Imported unit value	2011-M12-Unit	2012-M01-Imported unit value	2012-M01-Unit	2012-M02-Imported unit value	2012-M02-Unit	2012-M03-Imported unit value	2012-M03-Unit	Imported value in 2012-M03, US Dollar thousand	Imported quantity in 2012-M03	Quantity Unit in 2012-M03	
"Bulgaria"	4500	US Dollar/Tons	4143	US Dollar/Tons	4500	US Dollar/Tons	4500	US Dollar/Tons			5000	US Dollar/Tons	4800	US Dollar/Tons	5333	US Dollar/Tons	5333	US Dollar/Tons	5308	US Dollar/Tons	5167	US Dollar/Tons	4909	US Dollar/Tons	5333	US Dollar/Tons	4600	US Dollar/Tons	5000	US Dollar/Tons	4857	US Dollar/Tons	5444	US Dollar/Tons	4500	US Dollar/Tons	5000	US Dollar/Tons	4333	US Dollar/Tons	39	9	Tons	
"United States of America"	436	US Dollar/Units	333	US Dollar/Units	952	US Dollar/Units	611	US Dollar/Units	3500	US Dollar/Units	4000	US Dollar/Units	280	US Dollar/Units	383	US Dollar/Units	4000	US Dollar/Units	3667	US Dollar/Units	500	US Dollar/Units	355	US Dollar/Units	325	US Dollar/Units	581	US Dollar/Units	321	US Dollar/Units	3667	US Dollar/Units	3500	US Dollar/Units	298	US Dollar/Units	518	US Dollar/Units	349	US Dollar/Units	38	109	Units	
"Greece"	5571	US Dollar/Tons	5389	US Dollar/Tons	5545	US Dollar/Tons	5750	US Dollar/Tons	5333	US Dollar/Tons	6444	US Dollar/Tons	8500	US Dollar/Tons	7889	US Dollar/Tons	7333	US Dollar/Tons	8125	US Dollar/Tons			7385	US Dollar/Tons	7438	US Dollar/Tons	7333	US Dollar/Tons	7500	US Dollar/Tons	7400	US Dollar/Tons	6769	US Dollar/Tons	7429	US Dollar/Tons	9500	US Dollar/Tons	7200	US Dollar/Tons	36	5	Tons	
"Slovenia"	5455	US Dollar/Tons	4000	US Dollar/Tons	5125	US Dollar/Tons	4909	US Dollar/Tons	6000	US Dollar/Tons	4500	US Dollar/Tons	5250	US Dollar/Tons	5250	US Dollar/Tons	6500	US Dollar/Tons	6000	US Dollar/Tons	4000	US Dollar/Tons	6143	US Dollar/Tons	5250	US Dollar/Tons	4500	US Dollar/Tons	5300	US Dollar/Tons	6667	US Dollar/Tons	4875	US Dollar/Tons	4600	US Dollar/Tons	4600	US Dollar/Tons	4286	US Dollar/Tons	30	7	Tons	
"France"	9000	US Dollar/Tons		US Dollar/Mixed	7000	US Dollar/Tons	6000	US Dollar/Tons		US Dollar/Tons	8667	US Dollar/Tons	7000	US Dollar/Tons	7000	US Dollar/Tons	7000	US Dollar/Tons	14000	US Dollar/Tons		US Dollar/Mixed		US Dollar/Tons	7333	US Dollar/Tons	6000	US Dollar/Tons	7500	US Dollar/Tons	11000	US Dollar/Tons		US Dollar/Mixed	5000	US Dollar/Tons	7000	US Dollar/Tons	8500	US Dollar/Tons	17	2	Tons	
"Spain"														US Dollar/Tons	7000	US Dollar/Tons	7800	US Dollar/Tons	7250	US Dollar/Tons	7000	US Dollar/Tons		US Dollar/Tons						US Dollar/Tons		US Dollar/Tons						US Dollar/Tons	6000	US Dollar/Tons	6	1	Tons	
"Belgium"				US Dollar/Not available								US Dollar/Not available				US Dollar/Not available						US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available	1000	US Dollar/Units	1333	US Dollar/Units	1333	US Dollar/Units	4	3	Units	
"Australia"																																									0	0		
"Israel"																																									0	0		
"Nigeria"																																									0	0		
"Pakistan"																																												
"Poland"	6000	US Dollar/Tons	4444	US Dollar/Tons	4833	US Dollar/Tons	5619	US Dollar/Tons	4789	US Dollar/Tons	4472	US Dollar/Tons	3500	US Dollar/Tons			4500	US Dollar/Tons			5500	US Dollar/Tons			3667	US Dollar/Tons	4000	US Dollar/Tons	5675	US Dollar/Tons	5529	US Dollar/Tons	5417	US Dollar/Tons										
"Portugal"							6667	US Dollar/Tons																																				
"Romania"	3714	US Dollar/Tons																	3000	US Dollar/Tons																								
"Rwanda"																																												
"Serbia"													5.52	US Dollar/Kilograms							5.73	US Dollar/Kilograms									5.44	US Dollar/Kilograms												
"India"					545	US Dollar/Units											11000	US Dollar/Units															0	US Dollar/Units										
"Kazakhstan"																																												
"Jordan"																																												
"Kenya"																																												
"Korea, Republic of"																			12	US Dollar/Kilograms																								
"Malaysia"																																												
"Maldives"																																												
"Mauritius"																																												
"Mexico"																																												
"Morocco"																																												
"Iceland"																																												
"Burundi"																																												
"Canada"																																												
"Finland"				US Dollar/Tons		US Dollar/Tons				US Dollar/Tons		US Dollar/Tons						US Dollar/Tons				US Dollar/Tons								US Dollar/Tons	20000	US Dollar/Tons												
"Colombia"																																												
"Czech Republic"						US Dollar/Not available								US Dollar/Not available												US Dollar/Tons							3000	US Dollar/Tons										
"Uganda"																																												
"Egypt"																																												
"South Africa"																																												
"Switzerland"																					27	US Dollar/Kilograms																						
"Thailand"																																												
