Exporters	2010-M08-Imported unit value	2010-M08-Unit	2010-M09-Imported unit value	2010-M09-Unit	2010-M10-Imported unit value	2010-M10-Unit	2010-M11-Imported unit value	2010-M11-Unit	2010-M12-Imported unit value	2010-M12-Unit	2011-M01-Imported unit value	2011-M01-Unit	2011-M02-Imported unit value	2011-M02-Unit	2011-M03-Imported unit value	2011-M03-Unit	2011-M04-Imported unit value	2011-M04-Unit	2011-M05-Imported unit value	2011-M05-Unit	2011-M06-Imported unit value	2011-M06-Unit	2011-M07-Imported unit value	2011-M07-Unit	2011-M08-Imported unit value	2011-M08-Unit	2011-M09-Imported unit value	2011-M09-Unit	2011-M10-Imported unit value	2011-M10-Unit	2011-M11-Imported unit value	2011-M11-Unit	2011-M12-Imported unit value	2011-M12-Unit	2012-M01-Imported unit value	2012-M01-Unit	2012-M02-Imported unit value	2012-M02-Unit	2012-M03-Imported unit value	2012-M03-Unit	Imported value in 2012-M03, US Dollar thousand	Imported quantity in 2012-M03	Quantity Unit in 2012-M03	
"Italy"	7274	US Dollar/Tons	10595	US Dollar/Tons	12529	US Dollar/Tons	10321	US Dollar/Tons	9727	US Dollar/Tons	10058	US Dollar/Tons	9333	US Dollar/Tons	11118	US Dollar/Tons	8169	US Dollar/Tons	11434	US Dollar/Tons	7759	US Dollar/Tons	10508	US Dollar/Tons	11239	US Dollar/Tons	10964	US Dollar/Tons	12269	US Dollar/Tons	9856	US Dollar/Tons	13018	US Dollar/Tons	7595	US Dollar/Tons	9856	US Dollar/Tons	4043	US Dollar/Tons	7452	1843	Tons	
"Turkey"	5.05	US Dollar/Kilograms	6.05	US Dollar/Kilograms	6.86	US Dollar/Kilograms	6.09	US Dollar/Kilograms	5.56	US Dollar/Kilograms	6.29	US Dollar/Kilograms	6.19	US Dollar/Kilograms	6.31	US Dollar/Kilograms	7.11	US Dollar/Kilograms	7.89	US Dollar/Kilograms	6.93	US Dollar/Kilograms	6.64	US Dollar/Kilograms	7.27	US Dollar/Kilograms	6.59	US Dollar/Kilograms	7.04	US Dollar/Kilograms	7.31	US Dollar/Kilograms	6.81	US Dollar/Kilograms	7.32	US Dollar/Kilograms	7.95	US Dollar/Kilograms	8.43	US Dollar/Kilograms	2728	323456	Kilograms	
"China"	4.45	US Dollar/Kilograms	4.86	US Dollar/Kilograms	4.63	US Dollar/Kilograms	4.92	US Dollar/Kilograms	4.68	US Dollar/Kilograms	4.95	US Dollar/Kilograms	4.36	US Dollar/Kilograms	5.10	US Dollar/Kilograms	4.50	US Dollar/Kilograms	4.98	US Dollar/Kilograms	4.56	US Dollar/Kilograms	4.44	US Dollar/Kilograms	4.54	US Dollar/Kilograms	4.47	US Dollar/Kilograms	4.46	US Dollar/Kilograms	4.37	US Dollar/Kilograms	4.62	US Dollar/Kilograms	4.68	US Dollar/Kilograms	4.59	US Dollar/Kilograms	5.12	US Dollar/Kilograms	1140	222869	Kilograms	
"Austria"	15000	US Dollar/Tons	15738	US Dollar/Tons	14600	US Dollar/Tons	16531	US Dollar/Tons	16700	US Dollar/Tons	16628	US Dollar/Tons	15043	US Dollar/Tons	16457	US Dollar/Tons	15392	US Dollar/Tons	14496	US Dollar/Tons	14482	US Dollar/Tons	14810	US Dollar/Tons	14652	US Dollar/Tons	14696	US Dollar/Tons	19013	US Dollar/Tons	15885	US Dollar/Tons	16615	US Dollar/Tons	14848	US Dollar/Tons	14307	US Dollar/Tons	13192	US Dollar/Tons	1029	78	Tons	
"United States of America"	1272	US Dollar/Units	1101	US Dollar/Units	1157	US Dollar/Units	1114	US Dollar/Units	1599	US Dollar/Units	2931	US Dollar/Units	1474	US Dollar/Units	1183	US Dollar/Units	1376	US Dollar/Units	1540	US Dollar/Units	1461	US Dollar/Units	963	US Dollar/Units	1624	US Dollar/Units	1250	US Dollar/Units	1879	US Dollar/Units	1900	US Dollar/Units	2253	US Dollar/Units	1233	US Dollar/Units	1602	US Dollar/Units	1791	US Dollar/Units	992	554	Units	
"Denmark"	8835	US Dollar/Tons	9461	US Dollar/Tons	10417	US Dollar/Tons	10139	US Dollar/Tons	8887	US Dollar/Tons	11935	US Dollar/Tons	11837	US Dollar/Tons	13905	US Dollar/Tons	12093	US Dollar/Tons	12096	US Dollar/Tons	13472	US Dollar/Tons	11664	US Dollar/Tons	12765	US Dollar/Tons	11515	US Dollar/Tons	12597	US Dollar/Tons	12400	US Dollar/Tons	12029	US Dollar/Tons	12761	US Dollar/Tons	12922	US Dollar/Tons	12284	US Dollar/Tons	909	74	Tons	
"Romania"	8667	US Dollar/Tons	9381	US Dollar/Tons	7500	US Dollar/Tons			11727	US Dollar/Tons					9038	US Dollar/Tons	9533	US Dollar/Tons			10375	US Dollar/Tons	7500	US Dollar/Tons	12176	US Dollar/Tons	7837	US Dollar/Tons	7261	US Dollar/Tons	9795	US Dollar/Tons	6000	US Dollar/Tons	11368	US Dollar/Tons	9087	US Dollar/Tons	8544	US Dollar/Tons	880	103	Tons	
"Portugal"	6209	US Dollar/Tons	6173	US Dollar/Tons	7808	US Dollar/Tons	6949	US Dollar/Tons	6545	US Dollar/Tons	6508	US Dollar/Tons	6574	US Dollar/Tons	7125	US Dollar/Tons	7126	US Dollar/Tons	7302	US Dollar/Tons	7232	US Dollar/Tons	7757	US Dollar/Tons	8426	US Dollar/Tons	7116	US Dollar/Tons	7009	US Dollar/Tons	6660	US Dollar/Tons	7828	US Dollar/Tons	6456	US Dollar/Tons	7346	US Dollar/Tons	6764	US Dollar/Tons	859	127	Tons	
"Ireland"	7691	US Dollar/Tons	48900	US Dollar/Tons	67545	US Dollar/Tons	66063	US Dollar/Tons	56750	US Dollar/Tons	5733	US Dollar/Tons		US Dollar/Not available	4800	US Dollar/Tons	12950	US Dollar/Tons		US Dollar/Mixed		US Dollar/Mixed	12000	US Dollar/Tons	9246	US Dollar/Tons	13442	US Dollar/Tons	11808	US Dollar/Tons	7942	US Dollar/Tons	9824	US Dollar/Tons	12207	US Dollar/Tons	10806	US Dollar/Tons	48750	US Dollar/Tons	780	16	Tons	
"Czech Republic"	8670	US Dollar/Tons	8129	US Dollar/Tons	8832	US Dollar/Tons	9085	US Dollar/Tons	8353	US Dollar/Tons	9168	US Dollar/Tons	9115	US Dollar/Tons	9439	US Dollar/Tons	9907	US Dollar/Tons	9069	US Dollar/Tons	10509	US Dollar/Tons	11074	US Dollar/Tons	10689	US Dollar/Tons	10908	US Dollar/Tons	10791	US Dollar/Tons	10170	US Dollar/Tons	10705	US Dollar/Tons	10423	US Dollar/Tons	8833	US Dollar/Tons	8839	US Dollar/Tons	769	87	Tons	
"Germany"	17333	US Dollar/Tons	16173	US Dollar/Tons	17152	US Dollar/Tons	19429	US Dollar/Tons	12231	US Dollar/Tons	19029	US Dollar/Tons	13482	US Dollar/Tons	13403	US Dollar/Tons	13719	US Dollar/Tons	15739	US Dollar/Tons	17196	US Dollar/Tons	16153	US Dollar/Tons	12027	US Dollar/Tons	16941	US Dollar/Tons	16949	US Dollar/Tons	16720	US Dollar/Tons	11676	US Dollar/Tons	13278	US Dollar/Tons	11248	US Dollar/Tons	11175	US Dollar/Tons	704	63	Tons	
"Poland"	6855	US Dollar/Tons	6400	US Dollar/Tons	6808	US Dollar/Tons	6667	US Dollar/Tons	6600	US Dollar/Tons	7595	US Dollar/Tons	8418	US Dollar/Tons	9400	US Dollar/Tons	9879	US Dollar/Tons	8879	US Dollar/Tons	9500	US Dollar/Tons	8772	US Dollar/Tons	9851	US Dollar/Tons	5278	US Dollar/Tons	6391	US Dollar/Tons	8573	US Dollar/Tons	7558	US Dollar/Tons	6806	US Dollar/Tons	8750	US Dollar/Tons	6708	US Dollar/Tons	483	72	Tons	
