Exporters	2013-M10-Imported unit value	2013-M10-Unit	2013-M11-Imported unit value	2013-M11-Unit	2013-M12-Imported unit value	2013-M12-Unit	2014-M01-Imported unit value	2014-M01-Unit	2014-M02-Imported unit value	2014-M02-Unit	2014-M03-Imported unit value	2014-M03-Unit	2014-M04-Imported unit value	2014-M04-Unit	2014-M05-Imported unit value	2014-M05-Unit	2014-M06-Imported unit value	2014-M06-Unit	2014-M07-Imported unit value	2014-M07-Unit	2014-M08-Imported unit value	2014-M08-Unit	2014-M09-Imported unit value	2014-M09-Unit	2014-M10-Imported unit value	2014-M10-Unit	2014-M11-Imported unit value	2014-M11-Unit	2014-M12-Imported unit value	2014-M12-Unit	2015-M01-Imported unit value	2015-M01-Unit	2015-M02-Imported unit value	2015-M02-Unit	2015-M03-Imported unit value	2015-M03-Unit	2015-M04-Imported unit value	2015-M04-Unit	2015-M05-Imported unit value	2015-M05-Unit	Imported value in 2015-M05, US Dollar thousand	Imported quantity in 2015-M05	Quantity Unit in 2015-M05	
"China"	3.68	US Dollar/Kilograms	3.85	US Dollar/Kilograms	3.67	US Dollar/Kilograms	4.11	US Dollar/Kilograms	4.24	US Dollar/Kilograms	3.77	US Dollar/Kilograms	3.33	US Dollar/Kilograms	3.45	US Dollar/Kilograms	3.46	US Dollar/Kilograms	3.51	US Dollar/Kilograms	3.58	US Dollar/Kilograms	3.32	US Dollar/Kilograms	3.64	US Dollar/Kilograms	3.58	US Dollar/Kilograms	3.59	US Dollar/Kilograms	3.62	US Dollar/Kilograms	3.71	US Dollar/Kilograms	3.45	US Dollar/Kilograms	3.51	US Dollar/Kilograms	3.51	US Dollar/Kilograms	11683	3327864	Kilograms	
"Turkey"	3.60	US Dollar/Kilograms	3.54	US Dollar/Kilograms	3.53	US Dollar/Kilograms	3.71	US Dollar/Kilograms	3.69	US Dollar/Kilograms	3.78	US Dollar/Kilograms	3.83	US Dollar/Kilograms	3.98	US Dollar/Kilograms	3.97	US Dollar/Kilograms	4.01	US Dollar/Kilograms	3.87	US Dollar/Kilograms	3.75	US Dollar/Kilograms	3.67	US Dollar/Kilograms	3.54	US Dollar/Kilograms	3.40	US Dollar/Kilograms	3.38	US Dollar/Kilograms	3.29	US Dollar/Kilograms	3.16	US Dollar/Kilograms	3.14	US Dollar/Kilograms	3.06	US Dollar/Kilograms	7802	2551055	Kilograms	
"Italy"	6181	US Dollar/Tons	6712	US Dollar/Tons	6476	US Dollar/Tons	6407	US Dollar/Tons	5848	US Dollar/Tons	5784	US Dollar/Tons	6184	US Dollar/Tons	5792	US Dollar/Tons	6512	US Dollar/Tons	5979	US Dollar/Tons	5979	US Dollar/Tons	5936	US Dollar/Tons	6253	US Dollar/Tons	5783	US Dollar/Tons	5665	US Dollar/Tons	5593	US Dollar/Tons	5421	US Dollar/Tons	5321	US Dollar/Tons	4727	US Dollar/Tons	4654	US Dollar/Tons	3849	827	Tons	
"Poland"	6041	US Dollar/Tons	5164	US Dollar/Tons	5665	US Dollar/Tons	5968	US Dollar/Tons	6224	US Dollar/Tons	6111	US Dollar/Tons	5294	US Dollar/Tons	5163	US Dollar/Tons	5021	US Dollar/Tons	5003	US Dollar/Tons	4924	US Dollar/Tons	4847	US Dollar/Tons	4401	US Dollar/Tons	4545	US Dollar/Tons	4380	US Dollar/Tons	4331	US Dollar/Tons	4250	US Dollar/Tons	4300	US Dollar/Tons	4355	US Dollar/Tons	4361	US Dollar/Tons	3166	726	Tons	
"Korea, Republic of"	4.93	US Dollar/Kilograms	5.21	US Dollar/Kilograms	5.58	US Dollar/Kilograms	5.60	US Dollar/Kilograms	5.52	US Dollar/Kilograms	5.75	US Dollar/Kilograms	5.60	US Dollar/Kilograms	5.03	US Dollar/Kilograms	5.54	US Dollar/Kilograms	5.97	US Dollar/Kilograms	5.78	US Dollar/Kilograms	5.24	US Dollar/Kilograms	5.40	US Dollar/Kilograms	5.06	US Dollar/Kilograms	4.57	US Dollar/Kilograms	5.39	US Dollar/Kilograms	5.22	US Dollar/Kilograms	5.78	US Dollar/Kilograms	5.76	US Dollar/Kilograms	6.02	US Dollar/Kilograms	2541	422352	Kilograms	
"Germany"	8687	US Dollar/Tons	8473	US Dollar/Tons	10314	US Dollar/Tons	8681	US Dollar/Tons	8913	US Dollar/Tons	8550	US Dollar/Tons	8504	US Dollar/Tons	7922	US Dollar/Tons	8805	US Dollar/Tons	8494	US Dollar/Tons	7904	US Dollar/Tons	8610	US Dollar/Tons	8116	US Dollar/Tons	7727	US Dollar/Tons	8120	US Dollar/Tons	7721	US Dollar/Tons	7610	US Dollar/Tons	7471	US Dollar/Tons	7290	US Dollar/Tons	7208	US Dollar/Tons	2458	341	Tons	
"Romania"	3479	US Dollar/Tons	3524	US Dollar/Tons	3703	US Dollar/Tons	3583	US Dollar/Tons	3599	US Dollar/Tons	3706	US Dollar/Tons	3770	US Dollar/Tons	3760	US Dollar/Tons	3870	US Dollar/Tons	3814	US Dollar/Tons	3718	US Dollar/Tons	3688	US Dollar/Tons	3663	US Dollar/Tons	3545	US Dollar/Tons	3635	US Dollar/Tons	3630	US Dollar/Tons	3432	US Dollar/Tons	3441	US Dollar/Tons	3366	US Dollar/Tons	3499	US Dollar/Tons	1242	355	Tons	
"Thailand"	691	US Dollar/Units	699	US Dollar/Units	656	US Dollar/Units	734	US Dollar/Units	663	US Dollar/Units	673	US Dollar/Units	622	US Dollar/Units	666	US Dollar/Units	562	US Dollar/Units	627	US Dollar/Units	594	US Dollar/Units	578	US Dollar/Units	540	US Dollar/Units	621	US Dollar/Units	670	US Dollar/Units	557	US Dollar/Units	547	US Dollar/Units	572	US Dollar/Units	643	US Dollar/Units	610	US Dollar/Units	1034	1694	Units	
"Hungary"	3983	US Dollar/Tons	4660	US Dollar/Tons	4888	US Dollar/Tons	4537	US Dollar/Tons	4147	US Dollar/Tons	4265	US Dollar/Tons	4185	US Dollar/Tons	3982	US Dollar/Tons	3646	US Dollar/Tons	3704	US Dollar/Tons	4090	US Dollar/Tons	4176	US Dollar/Tons	3519	US Dollar/Tons	4926	US Dollar/Tons	4843	US Dollar/Tons	3401	US Dollar/Tons	2953	US Dollar/Tons	3217	US Dollar/Tons	3143	US Dollar/Tons	3283	US Dollar/Tons	499	152	Tons	
"Ireland"	6750	US Dollar/Tons	6222	US Dollar/Tons	5900	US Dollar/Tons	5821	US Dollar/Tons	7654	US Dollar/Tons	7968	US Dollar/Tons	9304	US Dollar/Tons	9133	US Dollar/Tons	10172	US Dollar/Tons	12235	US Dollar/Tons	7806	US Dollar/Tons	6167	US Dollar/Tons	8514	US Dollar/Tons	10174	US Dollar/Tons	11818	US Dollar/Tons	12000	US Dollar/Tons	6857	US Dollar/Tons	10241	US Dollar/Tons	11625	US Dollar/Tons	12903	US Dollar/Tons	400	31	Tons	
