Exporters	2005-M11-Imported unit value	2005-M11-Unit	2005-M12-Imported unit value	2005-M12-Unit	2006-M01-Imported unit value	2006-M01-Unit	2006-M02-Imported unit value	2006-M02-Unit	2006-M03-Imported unit value	2006-M03-Unit	2006-M04-Imported unit value	2006-M04-Unit	2006-M05-Imported unit value	2006-M05-Unit	2006-M06-Imported unit value	2006-M06-Unit	2006-M07-Imported unit value	2006-M07-Unit	2006-M08-Imported unit value	2006-M08-Unit	2006-M09-Imported unit value	2006-M09-Unit	2006-M10-Imported unit value	2006-M10-Unit	2006-M11-Imported unit value	2006-M11-Unit	2006-M12-Imported unit value	2006-M12-Unit	2007-M01-Imported unit value	2007-M01-Unit	2007-M02-Imported unit value	2007-M02-Unit	2007-M03-Imported unit value	2007-M03-Unit	2007-M04-Imported unit value	2007-M04-Unit	2007-M05-Imported unit value	2007-M05-Unit	2007-M06-Imported unit value	2007-M06-Unit	Imported value in 2007-M06, US Dollar thousand	Imported quantity in 2007-M06	Quantity Unit in 2007-M06	
"Italy"	4597	US Dollar/Tons	4655	US Dollar/Tons	302	US Dollar/Units	290	US Dollar/Units	309	US Dollar/Units	324	US Dollar/Units	589	US Dollar/Units	418	US Dollar/Units	322	US Dollar/Units	325	US Dollar/Units	319	US Dollar/Units	338	US Dollar/Units	354	US Dollar/Units	326	US Dollar/Units	347	US Dollar/Units	336	US Dollar/Units	353	US Dollar/Units	343	US Dollar/Units	359	US Dollar/Units	363	US Dollar/Units	7787	21481	Units	
"Germany"	7449	US Dollar/Tons	6306	US Dollar/Tons	8282	US Dollar/Tons	8023	US Dollar/Tons	7943	US Dollar/Tons	7387	US Dollar/Tons	7967	US Dollar/Tons	8367	US Dollar/Tons	8128	US Dollar/Tons	8006	US Dollar/Tons	8146	US Dollar/Tons	8015	US Dollar/Tons	7829	US Dollar/Tons	8211	US Dollar/Tons	7956	US Dollar/Tons	8251	US Dollar/Tons	8702	US Dollar/Tons	8845	US Dollar/Tons	8582	US Dollar/Tons	8183	US Dollar/Tons	6563	802	Tons	
"China"	134	US Dollar/Units	147	US Dollar/Units	143	US Dollar/Units	149	US Dollar/Units	183	US Dollar/Units	180	US Dollar/Units	190	US Dollar/Units	167	US Dollar/Units	159	US Dollar/Units	222	US Dollar/Units	168	US Dollar/Units	297	US Dollar/Units	174	US Dollar/Units	272	US Dollar/Units	175	US Dollar/Units	248	US Dollar/Units	176	US Dollar/Units	149	US Dollar/Units	147	US Dollar/Units	127	US Dollar/Units	5617	44228	Units	
"Turkey"							13	US Dollar/Kilograms							3.76	US Dollar/Kilograms	3.96	US Dollar/Kilograms	3.96	US Dollar/Kilograms	4.30	US Dollar/Kilograms	4.74	US Dollar/Kilograms	3.82	US Dollar/Kilograms	3.91	US Dollar/Kilograms	3.94	US Dollar/Kilograms	3.79	US Dollar/Kilograms	4.34	US Dollar/Kilograms	4.55	US Dollar/Kilograms	4.43	US Dollar/Kilograms	4.35	US Dollar/Kilograms	4507	1035547	Kilograms	
"Hungary"	3080	US Dollar/Tons	3250	US Dollar/Tons	3438	US Dollar/Tons	3379	US Dollar/Tons	3480	US Dollar/Tons	3828	US Dollar/Tons	3601	US Dollar/Tons	3742	US Dollar/Tons	3779	US Dollar/Tons	3868	US Dollar/Tons	4031	US Dollar/Tons	3936	US Dollar/Tons	3861	US Dollar/Tons	4704	US Dollar/Tons	4181	US Dollar/Tons	3965	US Dollar/Tons	4756	US Dollar/Tons	4402	US Dollar/Tons	4904	US Dollar/Tons	5003	US Dollar/Tons	1916	383	Tons	
"Spain"	3462	US Dollar/Tons	5032	US Dollar/Tons	264	US Dollar/Units	288	US Dollar/Units	389	US Dollar/Units	280	US Dollar/Units	280	US Dollar/Units	237	US Dollar/Units	249	US Dollar/Units	250	US Dollar/Units	240	US Dollar/Units	234	US Dollar/Units	240	US Dollar/Units	247	US Dollar/Units	252	US Dollar/Units	236	US Dollar/Units	249	US Dollar/Units	276	US Dollar/Units	281	US Dollar/Units	290	US Dollar/Units	1340	4620	Units	
"France"	4437	US Dollar/Tons	4713	US Dollar/Tons		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available		US Dollar/Not available	1096	0	Not available	
"Poland"	2656	US Dollar/Tons	2708	US Dollar/Tons	3140	US Dollar/Tons	3041	US Dollar/Tons	3073	US Dollar/Tons	240	US Dollar/Units	248	US Dollar/Units	237	US Dollar/Units	237	US Dollar/Units		US Dollar/Tons	245	US Dollar/Units	432	US Dollar/Units	89200	US Dollar/Tons	332	US Dollar/Units	9026	US Dollar/Tons		US Dollar/Mixed	406	US Dollar/Units	4029	US Dollar/Tons	3740	US Dollar/Tons	3706	US Dollar/Tons	808	218	Tons	
"United States of America"	947	US Dollar/Units	1054	US Dollar/Units	1072	US Dollar/Units	1068	US Dollar/Units	1160	US Dollar/Units	1458	US Dollar/Units	654	US Dollar/Units	509	US Dollar/Units	509	US Dollar/Units	805	US Dollar/Units	922	US Dollar/Units	881	US Dollar/Units	724	US Dollar/Units	744	US Dollar/Units	595	US Dollar/Units	719	US Dollar/Units	630	US Dollar/Units	614	US Dollar/Units	615	US Dollar/Units	637	US Dollar/Units	768	1205	Units	
"Romania"	3387	US Dollar/Tons	3176	US Dollar/Tons				US Dollar/Tons					3667	US Dollar/Tons	4116	US Dollar/Tons	4152	US Dollar/Tons	4289	US Dollar/Tons	4494	US Dollar/Tons	4223	US Dollar/Tons	4480	US Dollar/Tons	4707	US Dollar/Tons	4071	US Dollar/Tons	3895	US Dollar/Tons	4132	US Dollar/Tons	4092	US Dollar/Tons	4308	US Dollar/Tons	4431	US Dollar/Tons	545	123	Tons	
