Exporters	2012-M03-Imported unit value	2012-M03-Unit	2012-M04-Imported unit value	2012-M04-Unit	2012-M05-Imported unit value	2012-M05-Unit	2012-M06-Imported unit value	2012-M06-Unit	2012-M07-Imported unit value	2012-M07-Unit	2012-M08-Imported unit value	2012-M08-Unit	2012-M09-Imported unit value	2012-M09-Unit	2012-M10-Imported unit value	2012-M10-Unit	2012-M11-Imported unit value	2012-M11-Unit	2012-M12-Imported unit value	2012-M12-Unit	2013-M01-Imported unit value	2013-M01-Unit	2013-M02-Imported unit value	2013-M02-Unit	2013-M03-Imported unit value	2013-M03-Unit	2013-M04-Imported unit value	2013-M04-Unit	2013-M05-Imported unit value	2013-M05-Unit	2013-M06-Imported unit value	2013-M06-Unit	2013-M07-Imported unit value	2013-M07-Unit	2013-M08-Imported unit value	2013-M08-Unit	2013-M09-Imported unit value	2013-M09-Unit	2013-M10-Imported unit value	2013-M10-Unit	Imported value in 2013-M10, US Dollar thousand	Imported quantity in 2013-M10	Quantity Unit in 2013-M10	
"Turkey"	3.50	US Dollar/Kilograms	3.47	US Dollar/Kilograms	3.63	US Dollar/Kilograms	3.61	US Dollar/Kilograms	3.53	US Dollar/Kilograms	3.61	US Dollar/Kilograms	3.67	US Dollar/Kilograms	3.65	US Dollar/Kilograms	3.69	US Dollar/Kilograms	3.61	US Dollar/Kilograms	3.72	US Dollar/Kilograms	3.81	US Dollar/Kilograms	3.61	US Dollar/Kilograms	3.68	US Dollar/Kilograms	3.67	US Dollar/Kilograms	3.76	US Dollar/Kilograms	3.63	US Dollar/Kilograms	3.65	US Dollar/Kilograms	3.66	US Dollar/Kilograms	3.60	US Dollar/Kilograms	18742	5206943	Kilograms	
"Korea, Republic of"	5.20	US Dollar/Kilograms	5.17	US Dollar/Kilograms	5.45	US Dollar/Kilograms	5.04	US Dollar/Kilograms	4.93	US Dollar/Kilograms	5.18	US Dollar/Kilograms	5.21	US Dollar/Kilograms	5.09	US Dollar/Kilograms	4.71	US Dollar/Kilograms	4.78	US Dollar/Kilograms	5.07	US Dollar/Kilograms	4.68	US Dollar/Kilograms	5.02	US Dollar/Kilograms	5.37	US Dollar/Kilograms	4.24	US Dollar/Kilograms	4.78	US Dollar/Kilograms	4.92	US Dollar/Kilograms	5.40	US Dollar/Kilograms	5.17	US Dollar/Kilograms	4.93	US Dollar/Kilograms	8204	1664739	Kilograms	
"China"	4.11	US Dollar/Kilograms	3.34	US Dollar/Kilograms	3.42	US Dollar/Kilograms	3.49	US Dollar/Kilograms	3.58	US Dollar/Kilograms	3.72	US Dollar/Kilograms	3.68	US Dollar/Kilograms	3.52	US Dollar/Kilograms	3.41	US Dollar/Kilograms	3.33	US Dollar/Kilograms	3.70	US Dollar/Kilograms	3.76	US Dollar/Kilograms	3.61	US Dollar/Kilograms	3.22	US Dollar/Kilograms	3.23	US Dollar/Kilograms	3.13	US Dollar/Kilograms	3.39	US Dollar/Kilograms	3.47	US Dollar/Kilograms	4.06	US Dollar/Kilograms	3.68	US Dollar/Kilograms	7677	2085494	Kilograms	
"Poland"	7234	US Dollar/Tons	8057	US Dollar/Tons	6041	US Dollar/Tons	6700	US Dollar/Tons	6557	US Dollar/Tons	6735	US Dollar/Tons	6269	US Dollar/Tons	6281	US Dollar/Tons	6128	US Dollar/Tons	7019	US Dollar/Tons	6256	US Dollar/Tons	6660	US Dollar/Tons	6132	US Dollar/Tons	6233	US Dollar/Tons	7021	US Dollar/Tons	6654	US Dollar/Tons	6291	US Dollar/Tons	5795	US Dollar/Tons	6272	US Dollar/Tons	6041	US Dollar/Tons	7328	1213	Tons	
"Germany"	7632	US Dollar/Tons	7662	US Dollar/Tons	7369	US Dollar/Tons	6692	US Dollar/Tons	7094	US Dollar/Tons	7284	US Dollar/Tons	7588	US Dollar/Tons	7871	US Dollar/Tons	7480	US Dollar/Tons	8831	US Dollar/Tons	7927	US Dollar/Tons	7374	US Dollar/Tons	7593	US Dollar/Tons	7931	US Dollar/Tons	8151	US Dollar/Tons	7816	US Dollar/Tons	8355	US Dollar/Tons	7963	US Dollar/Tons	8290	US Dollar/Tons	8687	US Dollar/Tons	4187	482	Tons	
"Italy"	6035	US Dollar/Tons	6270	US Dollar/Tons	5669	US Dollar/Tons	6347	US Dollar/Tons	6307	US Dollar/Tons	5299	US Dollar/Tons	6009	US Dollar/Tons	6036	US Dollar/Tons	6230	US Dollar/Tons	7696	US Dollar/Tons	6804	US Dollar/Tons	6175	US Dollar/Tons	6054	US Dollar/Tons	5535	US Dollar/Tons	5935	US Dollar/Tons	6135	US Dollar/Tons	5929	US Dollar/Tons	6140	US Dollar/Tons	5731	US Dollar/Tons	6181	US Dollar/Tons	3387	548	Tons	
"Hungary"	4110	US Dollar/Tons	4018	US Dollar/Tons	4155	US Dollar/Tons	4256	US Dollar/Tons	4330	US Dollar/Tons	4482	US Dollar/Tons	4464	US Dollar/Tons	4640	US Dollar/Tons	4758	US Dollar/Tons	4720	US Dollar/Tons	4113	US Dollar/Tons	3966	US Dollar/Tons	4080	US Dollar/Tons	3949	US Dollar/Tons	3966	US Dollar/Tons	3991	US Dollar/Tons	4151	US Dollar/Tons	3968	US Dollar/Tons	3971	US Dollar/Tons	3983	US Dollar/Tons	1824	458	Tons	
"Spain"	5889	US Dollar/Tons	5859	US Dollar/Tons	5713	US Dollar/Tons	5273	US Dollar/Tons	5926	US Dollar/Tons	5585	US Dollar/Tons	6000	US Dollar/Tons	6625	US Dollar/Tons	7054	US Dollar/Tons	6844	US Dollar/Tons	6692	US Dollar/Tons	6317	US Dollar/Tons	6492	US Dollar/Tons	5827	US Dollar/Tons	6196	US Dollar/Tons	6048	US Dollar/Tons	5857	US Dollar/Tons	5557	US Dollar/Tons	5883	US Dollar/Tons	5435	US Dollar/Tons	837	154	Tons	
"Bulgaria"	4986	US Dollar/Tons	4886	US Dollar/Tons	4746	US Dollar/Tons	4575	US Dollar/Tons	4466	US Dollar/Tons	4282	US Dollar/Tons	4638	US Dollar/Tons	4627	US Dollar/Tons	4744	US Dollar/Tons	4636	US Dollar/Tons	4964	US Dollar/Tons	5065	US Dollar/Tons	4765	US Dollar/Tons	4419	US Dollar/Tons	4407	US Dollar/Tons	4911	US Dollar/Tons	4827	US Dollar/Tons	4750	US Dollar/Tons	4967	US Dollar/Tons	5012	US Dollar/Tons	426	85	Tons	
"Thailand"	662	US Dollar/Units	825	US Dollar/Units	840	US Dollar/Units	637	US Dollar/Units	605	US Dollar/Units	608	US Dollar/Units	754	US Dollar/Units	714	US Dollar/Units	738	US Dollar/Units	727	US Dollar/Units	764	US Dollar/Units	679	US Dollar/Units	732	US Dollar/Units	660	US Dollar/Units	620	US Dollar/Units	717	US Dollar/Units	705	US Dollar/Units	647	US Dollar/Units	675	US Dollar/Units	691	US Dollar/Units	363	525	Units	
