Exporters	2004-M04-Imported unit value	2004-M04-Unit	2004-M05-Imported unit value	2004-M05-Unit	2004-M06-Imported unit value	2004-M06-Unit	2004-M07-Imported unit value	2004-M07-Unit	2004-M08-Imported unit value	2004-M08-Unit	2004-M09-Imported unit value	2004-M09-Unit	2004-M10-Imported unit value	2004-M10-Unit	2004-M11-Imported unit value	2004-M11-Unit	2004-M12-Imported unit value	2004-M12-Unit	2005-M01-Imported unit value	2005-M01-Unit	2005-M02-Imported unit value	2005-M02-Unit	2005-M03-Imported unit value	2005-M03-Unit	2005-M04-Imported unit value	2005-M04-Unit	2005-M05-Imported unit value	2005-M05-Unit	2005-M06-Imported unit value	2005-M06-Unit	2005-M07-Imported unit value	2005-M07-Unit	2005-M08-Imported unit value	2005-M08-Unit	2005-M09-Imported unit value	2005-M09-Unit	2005-M10-Imported unit value	2005-M10-Unit	2005-M11-Imported unit value	2005-M11-Unit	Imported value in 2005-M11, US Dollar thousand	Imported quantity in 2005-M11	Quantity Unit in 2005-M11	
"Italy"	8615	US Dollar/Tons	8310	US Dollar/Tons	9078	US Dollar/Tons	8910	US Dollar/Tons	10436	US Dollar/Tons	8524	US Dollar/Tons	8859	US Dollar/Tons	8645	US Dollar/Tons	10464	US Dollar/Tons	10629	US Dollar/Tons	9457	US Dollar/Tons	10128	US Dollar/Tons	9551	US Dollar/Tons	9241	US Dollar/Tons	9164	US Dollar/Tons	8987	US Dollar/Tons	9599	US Dollar/Tons	10082	US Dollar/Tons	9301	US Dollar/Tons	9259	US Dollar/Tons	7120	769	Tons	
"France"	8145	US Dollar/Tons	7498	US Dollar/Tons	7671	US Dollar/Tons	7627	US Dollar/Tons	8941	US Dollar/Tons	8719	US Dollar/Tons	7854	US Dollar/Tons	8246	US Dollar/Tons	9370	US Dollar/Tons	13333	US Dollar/Tons	9909	US Dollar/Tons	8932	US Dollar/Tons	14448	US Dollar/Tons	13273	US Dollar/Tons	19267	US Dollar/Tons	15059	US Dollar/Tons	18748	US Dollar/Tons	18724	US Dollar/Tons	12576	US Dollar/Tons	17389	US Dollar/Tons	2904	167	Tons	
"Spain"	7847	US Dollar/Tons	9205	US Dollar/Tons	7687	US Dollar/Tons	7617	US Dollar/Tons	8050	US Dollar/Tons	8312	US Dollar/Tons	8469	US Dollar/Tons	10673	US Dollar/Tons	8148	US Dollar/Tons	10108	US Dollar/Tons	8777	US Dollar/Tons	10786	US Dollar/Tons	9733	US Dollar/Tons	9604	US Dollar/Tons	7172	US Dollar/Tons	6845	US Dollar/Tons	9223	US Dollar/Tons	9493	US Dollar/Tons	8982	US Dollar/Tons	9639	US Dollar/Tons	2352	244	Tons	
"Ireland"	11000	US Dollar/Tons	5175	US Dollar/Tons	9846	US Dollar/Tons	7909	US Dollar/Tons	8103	US Dollar/Tons	7551	US Dollar/Tons	7664	US Dollar/Tons	8096	US Dollar/Tons	7947	US Dollar/Tons	9148	US Dollar/Tons	8808	US Dollar/Tons	9091	US Dollar/Tons	7893	US Dollar/Tons	7701	US Dollar/Tons	7683	US Dollar/Tons	8848	US Dollar/Tons	7130	US Dollar/Tons	7907	US Dollar/Tons	4228	US Dollar/Tons	7747	US Dollar/Tons	1317	170	Tons	
"Portugal"	6891	US Dollar/Tons	6327	US Dollar/Tons	6396	US Dollar/Tons	6488	US Dollar/Tons	6681	US Dollar/Tons	6704	US Dollar/Tons	6750	US Dollar/Tons	7116	US Dollar/Tons	7521	US Dollar/Tons	6610	US Dollar/Tons	6695	US Dollar/Tons	6617	US Dollar/Tons	6774	US Dollar/Tons	7035	US Dollar/Tons	22500	US Dollar/Tons	6926	US Dollar/Tons	6881	US Dollar/Tons	7051	US Dollar/Tons	6777	US Dollar/Tons	6439	US Dollar/Tons	1275	198	Tons	
"Denmark"	10411	US Dollar/Tons	6416	US Dollar/Tons	6819	US Dollar/Tons	6341	US Dollar/Tons	7841	US Dollar/Tons	6295	US Dollar/Tons	9136	US Dollar/Tons	8110	US Dollar/Tons	7943	US Dollar/Tons	9589	US Dollar/Tons	7910	US Dollar/Tons	7443	US Dollar/Tons	7419	US Dollar/Tons	7283	US Dollar/Tons	7205	US Dollar/Tons	6167	US Dollar/Tons	6980	US Dollar/Tons	8443	US Dollar/Tons	8141	US Dollar/Tons	7774	US Dollar/Tons	1034	133	Tons	
"Germany"	9744	US Dollar/Tons	16083	US Dollar/Tons	11360	US Dollar/Tons	17238	US Dollar/Tons	8099	US Dollar/Tons	7027	US Dollar/Tons	8457	US Dollar/Tons	9280	US Dollar/Tons	18778	US Dollar/Tons	10453	US Dollar/Tons	8632	US Dollar/Tons	8463	US Dollar/Tons	8683	US Dollar/Tons	9867	US Dollar/Tons	7557	US Dollar/Tons	9495	US Dollar/Tons	7559	US Dollar/Tons	8517	US Dollar/Tons	7205	US Dollar/Tons	7464	US Dollar/Tons	1030	138	Tons	
"United States of America"																			1401	US Dollar/Units	1489	US Dollar/Units	1164	US Dollar/Units	1945	US Dollar/Units	1586	US Dollar/Units	981	US Dollar/Units	1107	US Dollar/Units	1776	US Dollar/Units	1788	US Dollar/Units	1036	US Dollar/Units	652	US Dollar/Units	678	1040	Units	
"Netherlands"	20267	US Dollar/Tons	20000	US Dollar/Tons	7684	US Dollar/Tons	23391	US Dollar/Tons	18429	US Dollar/Tons	28167	US Dollar/Tons	26524	US Dollar/Tons	7585	US Dollar/Tons	11538	US Dollar/Tons	8051	US Dollar/Tons	7673	US Dollar/Tons	7663	US Dollar/Tons	9328	US Dollar/Tons	21556	US Dollar/Tons	7014	US Dollar/Tons	7690	US Dollar/Tons	8314	US Dollar/Tons	8293	US Dollar/Tons	11691	US Dollar/Tons		US Dollar/Mixed	635	0	Mixed	
"Hungary"	13167	US Dollar/Tons	10500	US Dollar/Tons	11609	US Dollar/Tons	9608	US Dollar/Tons	6810	US Dollar/Tons	9342	US Dollar/Tons	7189	US Dollar/Tons	10316	US Dollar/Tons	10636	US Dollar/Tons	13400	US Dollar/Tons	10149	US Dollar/Tons	7706	US Dollar/Tons	6515	US Dollar/Tons	10084	US Dollar/Tons	11017	US Dollar/Tons	8031	US Dollar/Tons	6565	US Dollar/Tons	7688	US Dollar/Tons	6654	US Dollar/Tons	6153	US Dollar/Tons	603	98	Tons	
