Exporters	2013-M10-Imported unit value	2013-M10-Unit	2013-M11-Imported unit value	2013-M11-Unit	2013-M12-Imported unit value	2013-M12-Unit	2014-M01-Imported unit value	2014-M01-Unit	2014-M02-Imported unit value	2014-M02-Unit	2014-M03-Imported unit value	2014-M03-Unit	2014-M04-Imported unit value	2014-M04-Unit	2014-M05-Imported unit value	2014-M05-Unit	2014-M06-Imported unit value	2014-M06-Unit	2014-M07-Imported unit value	2014-M07-Unit	2014-M08-Imported unit value	2014-M08-Unit	2014-M09-Imported unit value	2014-M09-Unit	2014-M10-Imported unit value	2014-M10-Unit	2014-M11-Imported unit value	2014-M11-Unit	2014-M12-Imported unit value	2014-M12-Unit	2015-M01-Imported unit value	2015-M01-Unit	2015-M02-Imported unit value	2015-M02-Unit	2015-M03-Imported unit value	2015-M03-Unit	2015-M04-Imported unit value	2015-M04-Unit	2015-M05-Imported unit value	2015-M05-Unit	Imported value in 2015-M05, US Dollar thousand	Imported quantity in 2015-M05	Quantity Unit in 2015-M05	
"Italy"	12282	US Dollar/Tons	9230	US Dollar/Tons	11043	US Dollar/Tons	11919	US Dollar/Tons	13935	US Dollar/Tons	8489	US Dollar/Tons	11762	US Dollar/Tons	13913	US Dollar/Tons	9010	US Dollar/Tons	11325	US Dollar/Tons	9232	US Dollar/Tons	9136	US Dollar/Tons	10391	US Dollar/Tons	11214	US Dollar/Tons	7773	US Dollar/Tons	10063	US Dollar/Tons	10115	US Dollar/Tons	10594	US Dollar/Tons	8990	US Dollar/Tons	12293	US Dollar/Tons	4831	393	Tons	
"China"	4.31	US Dollar/Kilograms	4.55	US Dollar/Kilograms	4.93	US Dollar/Kilograms	4.30	US Dollar/Kilograms	4.36	US Dollar/Kilograms	4.31	US Dollar/Kilograms	4.48	US Dollar/Kilograms	5.14	US Dollar/Kilograms	4.65	US Dollar/Kilograms	4.46	US Dollar/Kilograms	4.80	US Dollar/Kilograms	4.96	US Dollar/Kilograms	4.84	US Dollar/Kilograms	5.16	US Dollar/Kilograms	4.25	US Dollar/Kilograms	5.00	US Dollar/Kilograms	5.11	US Dollar/Kilograms	4.66	US Dollar/Kilograms	4.40	US Dollar/Kilograms	4.30	US Dollar/Kilograms	4032	938524	Kilograms	
"Austria"	13810	US Dollar/Tons	12186	US Dollar/Tons	10715	US Dollar/Tons	10793	US Dollar/Tons	11919	US Dollar/Tons	12238	US Dollar/Tons	12131	US Dollar/Tons	12401	US Dollar/Tons	13842	US Dollar/Tons	17006	US Dollar/Tons	16064	US Dollar/Tons	14479	US Dollar/Tons	15010	US Dollar/Tons	14619	US Dollar/Tons	11272	US Dollar/Tons	11671	US Dollar/Tons	12972	US Dollar/Tons	9453	US Dollar/Tons	8441	US Dollar/Tons	9742	US Dollar/Tons	1286	132	Tons	
"Turkey"	7.78	US Dollar/Kilograms	8.34	US Dollar/Kilograms	7.22	US Dollar/Kilograms	8.56	US Dollar/Kilograms	9.35	US Dollar/Kilograms	8.03	US Dollar/Kilograms	9.29	US Dollar/Kilograms	8.34	US Dollar/Kilograms	8.42	US Dollar/Kilograms	10	US Dollar/Kilograms	8.77	US Dollar/Kilograms	8.08	US Dollar/Kilograms	9.07	US Dollar/Kilograms	8.59	US Dollar/Kilograms	7.73	US Dollar/Kilograms	8.28	US Dollar/Kilograms	6.96	US Dollar/Kilograms	8.25	US Dollar/Kilograms	7.65	US Dollar/Kilograms	7.11	US Dollar/Kilograms	1019	143269	Kilograms	
"Denmark"	12452	US Dollar/Tons	13698	US Dollar/Tons	15707	US Dollar/Tons	13441	US Dollar/Tons	15140	US Dollar/Tons	13937	US Dollar/Tons	14167	US Dollar/Tons	10800	US Dollar/Tons	11744	US Dollar/Tons	13585	US Dollar/Tons	12078	US Dollar/Tons	13400	US Dollar/Tons	14553	US Dollar/Tons	13985	US Dollar/Tons	13297	US Dollar/Tons	13032	US Dollar/Tons	11333	US Dollar/Tons	11932	US Dollar/Tons	10829	US Dollar/Tons	12438	US Dollar/Tons	995	80	Tons	
"Germany"	8800	US Dollar/Tons	13379	US Dollar/Tons	12509	US Dollar/Tons	11283	US Dollar/Tons	15442	US Dollar/Tons	14254	US Dollar/Tons	15659	US Dollar/Tons	13212	US Dollar/Tons	19242	US Dollar/Tons	16000	US Dollar/Tons	15825	US Dollar/Tons	12462	US Dollar/Tons	12528	US Dollar/Tons	14346	US Dollar/Tons	11986	US Dollar/Tons	11788	US Dollar/Tons	9295	US Dollar/Tons	12412	US Dollar/Tons	9915	US Dollar/Tons	11027	US Dollar/Tons	827	75	Tons	
"United States of America"	2284	US Dollar/Units	2083	US Dollar/Units	1917	US Dollar/Units	1587	US Dollar/Units	1280	US Dollar/Units	1303	US Dollar/Units	1418	US Dollar/Units	1186	US Dollar/Units	1946	US Dollar/Units	1235	US Dollar/Units	2108	US Dollar/Units	1956	US Dollar/Units	2265	US Dollar/Units	2416	US Dollar/Units	994	US Dollar/Units	1359	US Dollar/Units	1605	US Dollar/Units	1872	US Dollar/Units	1307	US Dollar/Units	2358	US Dollar/Units	613	260	Units	
"Ireland"	8893	US Dollar/Tons	7352	US Dollar/Tons	7281	US Dollar/Tons	4932	US Dollar/Tons	7567	US Dollar/Tons	21600	US Dollar/Tons	6716	US Dollar/Tons	5852	US Dollar/Tons	4975	US Dollar/Tons	6639	US Dollar/Tons	5651	US Dollar/Tons	5511	US Dollar/Tons	5262	US Dollar/Tons	7481	US Dollar/Tons	6692	US Dollar/Tons	5123	US Dollar/Tons	5238	US Dollar/Tons	5863	US Dollar/Tons	6867	US Dollar/Tons	4910	US Dollar/Tons	599	122	Tons	
"Czech Republic"	9008	US Dollar/Tons	8143	US Dollar/Tons	7800	US Dollar/Tons	8244	US Dollar/Tons	8719	US Dollar/Tons	7872	US Dollar/Tons	8235	US Dollar/Tons	7429	US Dollar/Tons	7366	US Dollar/Tons	7497	US Dollar/Tons	7104	US Dollar/Tons	7038	US Dollar/Tons	7332	US Dollar/Tons	7698	US Dollar/Tons	7538	US Dollar/Tons	7147	US Dollar/Tons	6098	US Dollar/Tons	6761	US Dollar/Tons	6027	US Dollar/Tons	6759	US Dollar/Tons	534	79	Tons	
"Portugal"	7644	US Dollar/Tons	7883	US Dollar/Tons	7392	US Dollar/Tons	7380	US Dollar/Tons	7814	US Dollar/Tons	8032	US Dollar/Tons	7684	US Dollar/Tons	7697	US Dollar/Tons	7894	US Dollar/Tons	7726	US Dollar/Tons	8426	US Dollar/Tons	7697	US Dollar/Tons	7116	US Dollar/Tons	6955	US Dollar/Tons	6867	US Dollar/Tons	6828	US Dollar/Tons	6984	US Dollar/Tons	6857	US Dollar/Tons	6448	US Dollar/Tons	7123	US Dollar/Tons	520	73	Tons	
