Exporters	2015-M05-Imported unit value	2015-M05-Unit	2015-M06-Imported unit value	2015-M06-Unit	2015-M07-Imported unit value	2015-M07-Unit	2015-M08-Imported unit value	2015-M08-Unit	2015-M09-Imported unit value	2015-M09-Unit	2015-M10-Imported unit value	2015-M10-Unit	2015-M11-Imported unit value	2015-M11-Unit	2015-M12-Imported unit value	2015-M12-Unit	2016-M01-Imported unit value	2016-M01-Unit	2016-M02-Imported unit value	2016-M02-Unit	2016-M03-Imported unit value	2016-M03-Unit	2016-M04-Imported unit value	2016-M04-Unit	2016-M05-Imported unit value	2016-M05-Unit	2016-M06-Imported unit value	2016-M06-Unit	2016-M07-Imported unit value	2016-M07-Unit	2016-M08-Imported unit value	2016-M08-Unit	2016-M09-Imported unit value	2016-M09-Unit	2016-M10-Imported unit value	2016-M10-Unit	2016-M11-Imported unit value	2016-M11-Unit	2016-M12-Imported unit value	2016-M12-Unit	Imported value in 2016-M12, US Dollar thousand	Imported quantity in 2016-M12	Quantity Unit in 2016-M12	
"France"	18	US Dollar/Kilograms	3.62	US Dollar/Kilograms	15	US Dollar/Kilograms	22	US Dollar/Kilograms	3.78	US Dollar/Kilograms							45	US Dollar/Kilograms	0	US Dollar/Kilograms									0	US Dollar/Kilograms	0	US Dollar/Kilograms							40	US Dollar/Kilograms	34	858	Kilograms	
"Austria"	6750	US Dollar/Tons	5714	US Dollar/Tons	5375	US Dollar/Tons	5333	US Dollar/Tons	6000	US Dollar/Tons	5750	US Dollar/Tons	6000	US Dollar/Tons	6500	US Dollar/Tons	5600	US Dollar/Tons	5500	US Dollar/Tons	6286	US Dollar/Tons	5500	US Dollar/Tons	10000	US Dollar/Tons	8000	US Dollar/Tons	6571	US Dollar/Tons	7333	US Dollar/Tons	7143	US Dollar/Tons	10200	US Dollar/Tons	8909	US Dollar/Tons	5250	US Dollar/Tons	21	4	Tons	
"Romania"			3750	US Dollar/Tons	18000	US Dollar/Tons								US Dollar/Tons									3286	US Dollar/Tons			2750	US Dollar/Tons							2714	US Dollar/Tons			2500	US Dollar/Tons	10	4	Tons	
"Slovenia"	4583	US Dollar/Tons	3500	US Dollar/Tons	4500	US Dollar/Tons	4250	US Dollar/Tons	5000	US Dollar/Tons	5000	US Dollar/Tons	4500	US Dollar/Tons	2000	US Dollar/Tons	5333	US Dollar/Tons	5000	US Dollar/Tons	5000	US Dollar/Tons	4333	US Dollar/Tons	7000	US Dollar/Tons	5250	US Dollar/Tons	4667	US Dollar/Tons	4000	US Dollar/Tons	3750	US Dollar/Tons	4333	US Dollar/Tons	3667	US Dollar/Tons	3500	US Dollar/Tons	7	2	Tons	
"Portugal"	6000	US Dollar/Tons				US Dollar/Tons			5500	US Dollar/Tons	3000	US Dollar/Tons	6000	US Dollar/Tons		US Dollar/Tons	8000	US Dollar/Tons					8000	US Dollar/Tons	6500	US Dollar/Tons		US Dollar/Tons	7000	US Dollar/Tons			5000	US Dollar/Tons	8000	US Dollar/Tons				US Dollar/Tons	2	0	Tons	
"Norway"	17	US Dollar/Kilograms							14	US Dollar/Kilograms																					26	US Dollar/Kilograms	12	US Dollar/Kilograms										
"Poland"					5000	US Dollar/Tons			4000	US Dollar/Tons		US Dollar/Tons				US Dollar/Tons						US Dollar/Tons								US Dollar/Tons														
"South Africa"																	333	US Dollar/Units																										
"Serbia"	4.96	US Dollar/Kilograms			5.30	US Dollar/Kilograms	5	US Dollar/Kilograms	4.87	US Dollar/Kilograms					5.88	US Dollar/Kilograms																	4.76	US Dollar/Kilograms	4.97	US Dollar/Kilograms								
"India"											250	US Dollar/Units																	281	US Dollar/Units														
"Switzerland"					51	US Dollar/Kilograms																													0	US Dollar/Kilograms								
"Australia"																											2000	US Dollar/Units																
"Estonia"																																		US Dollar/Tons										
"Finland"				US Dollar/Tons								US Dollar/Tons																				US Dollar/Tons		US Dollar/Tons				US Dollar/Tons						
"Czech Republic"						US Dollar/Tons					500	US Dollar/Units																																
"Korea, Republic of"																									5.16	US Dollar/Kilograms	6.58	US Dollar/Kilograms																
"Iceland"																																	15	US Dollar/Kilograms										
"Greece"					1000	US Dollar/Units																																						
