Exporters	2015-M05-Imported unit value	2015-M05-Unit	2015-M06-Imported unit value	2015-M06-Unit	2015-M07-Imported unit value	2015-M07-Unit	2015-M08-Imported unit value	2015-M08-Unit	2015-M09-Imported unit value	2015-M09-Unit	2015-M10-Imported unit value	2015-M10-Unit	2015-M11-Imported unit value	2015-M11-Unit	2015-M12-Imported unit value	2015-M12-Unit	2016-M01-Imported unit value	2016-M01-Unit	2016-M02-Imported unit value	2016-M02-Unit	2016-M03-Imported unit value	2016-M03-Unit	2016-M04-Imported unit value	2016-M04-Unit	2016-M05-Imported unit value	2016-M05-Unit	2016-M06-Imported unit value	2016-M06-Unit	2016-M07-Imported unit value	2016-M07-Unit	2016-M08-Imported unit value	2016-M08-Unit	2016-M09-Imported unit value	2016-M09-Unit	2016-M10-Imported unit value	2016-M10-Unit	2016-M11-Imported unit value	2016-M11-Unit	2016-M12-Imported unit value	2016-M12-Unit	Imported value in 2016-M12, US Dollar thousand	Imported quantity in 2016-M12	Quantity Unit in 2016-M12	
"China"	4.30	US Dollar/Kilograms	4.32	US Dollar/Kilograms	4.31	US Dollar/Kilograms	4.55	US Dollar/Kilograms	4.47	US Dollar/Kilograms	4.32	US Dollar/Kilograms	4.64	US Dollar/Kilograms	4.54	US Dollar/Kilograms	4.26	US Dollar/Kilograms	4.68	US Dollar/Kilograms	4.12	US Dollar/Kilograms	4.16	US Dollar/Kilograms	4.23	US Dollar/Kilograms	4.04	US Dollar/Kilograms	4.09	US Dollar/Kilograms	4.24	US Dollar/Kilograms	4.13	US Dollar/Kilograms	4.17	US Dollar/Kilograms	4.39	US Dollar/Kilograms	3.94	US Dollar/Kilograms	4227	1073566	Kilograms	
"Italy"	12293	US Dollar/Tons	10156	US Dollar/Tons	9350	US Dollar/Tons	12460	US Dollar/Tons	7314	US Dollar/Tons	9444	US Dollar/Tons	10610	US Dollar/Tons	9889	US Dollar/Tons	4244	US Dollar/Tons	11703	US Dollar/Tons	10973	US Dollar/Tons	10287	US Dollar/Tons	10871	US Dollar/Tons	11152	US Dollar/Tons	9686	US Dollar/Tons	9651	US Dollar/Tons	5819	US Dollar/Tons	7187	US Dollar/Tons	5618	US Dollar/Tons	8385	US Dollar/Tons	4075	486	Tons	
"Ireland"	4910	US Dollar/Tons	6397	US Dollar/Tons	5886	US Dollar/Tons	5405	US Dollar/Tons	6523	US Dollar/Tons		US Dollar/Mixed		US Dollar/Mixed		US Dollar/Not available	6940	US Dollar/Tons	5648	US Dollar/Tons	6137	US Dollar/Tons	6533	US Dollar/Tons	6720	US Dollar/Tons		US Dollar/Mixed	6090	US Dollar/Tons	5205	US Dollar/Tons		US Dollar/Mixed	4373	US Dollar/Tons		US Dollar/Mixed	17899	US Dollar/Tons	2667	149	Tons	
"Germany"	11027	US Dollar/Tons	11264	US Dollar/Tons	13153	US Dollar/Tons	10252	US Dollar/Tons	13369	US Dollar/Tons	10179	US Dollar/Tons	10206	US Dollar/Tons	9822	US Dollar/Tons	9711	US Dollar/Tons	9383	US Dollar/Tons	9070	US Dollar/Tons	13650	US Dollar/Tons	13932	US Dollar/Tons	15385	US Dollar/Tons	9359	US Dollar/Tons	10304	US Dollar/Tons	13230	US Dollar/Tons	12723	US Dollar/Tons	10991	US Dollar/Tons	14087	US Dollar/Tons	1775	126	Tons	
"Turkey"	7.11	US Dollar/Kilograms	7.80	US Dollar/Kilograms	9.40	US Dollar/Kilograms	9.05	US Dollar/Kilograms	11	US Dollar/Kilograms	8.11	US Dollar/Kilograms	5.87	US Dollar/Kilograms	6.32	US Dollar/Kilograms	8.47	US Dollar/Kilograms	7.30	US Dollar/Kilograms	6.49	US Dollar/Kilograms	4.71	US Dollar/Kilograms	8.88	US Dollar/Kilograms	9.64	US Dollar/Kilograms	7.71	US Dollar/Kilograms	8.75	US Dollar/Kilograms	7.90	US Dollar/Kilograms	9.21	US Dollar/Kilograms	7.24	US Dollar/Kilograms	6.54	US Dollar/Kilograms	1508	230633	Kilograms	
"Portugal"	7123	US Dollar/Tons	6294	US Dollar/Tons	6349	US Dollar/Tons	7750	US Dollar/Tons	7360	US Dollar/Tons	7087	US Dollar/Tons	7077	US Dollar/Tons	8246	US Dollar/Tons	6787	US Dollar/Tons	7139	US Dollar/Tons	6647	US Dollar/Tons	7213	US Dollar/Tons	6872	US Dollar/Tons	7032	US Dollar/Tons	6456	US Dollar/Tons	7467	US Dollar/Tons	6662	US Dollar/Tons	6648	US Dollar/Tons	6113	US Dollar/Tons	6750	US Dollar/Tons	918	136	Tons	
"Czech Republic"	6759	US Dollar/Tons	6917	US Dollar/Tons	6045	US Dollar/Tons	7123	US Dollar/Tons	7107	US Dollar/Tons	6818	US Dollar/Tons	7036	US Dollar/Tons	7750	US Dollar/Tons	6207	US Dollar/Tons	7213	US Dollar/Tons	7063	US Dollar/Tons	8057	US Dollar/Tons	6913	US Dollar/Tons	7421	US Dollar/Tons	7361	US Dollar/Tons	7344	US Dollar/Tons	7669	US Dollar/Tons	7581	US Dollar/Tons	8579	US Dollar/Tons	9455	US Dollar/Tons	624	66	Tons	
"Austria"	9742	US Dollar/Tons	10797	US Dollar/Tons	12509	US Dollar/Tons	10779	US Dollar/Tons	11386	US Dollar/Tons	12924	US Dollar/Tons	13604	US Dollar/Tons	9246	US Dollar/Tons	9033	US Dollar/Tons	9311	US Dollar/Tons	11992	US Dollar/Tons	11740	US Dollar/Tons	12279	US Dollar/Tons	14241	US Dollar/Tons	13901	US Dollar/Tons	21051	US Dollar/Tons	15097	US Dollar/Tons	12661	US Dollar/Tons	18026	US Dollar/Tons	8119	US Dollar/Tons	479	59	Tons	
"Denmark"	12438	US Dollar/Tons	12020	US Dollar/Tons	12639	US Dollar/Tons	11419	US Dollar/Tons	13962	US Dollar/Tons	14770	US Dollar/Tons	11852	US Dollar/Tons	15757	US Dollar/Tons	11909	US Dollar/Tons	13226	US Dollar/Tons	13196	US Dollar/Tons	12324	US Dollar/Tons	13000	US Dollar/Tons	12795	US Dollar/Tons	12000	US Dollar/Tons	12200	US Dollar/Tons	12423	US Dollar/Tons	13754	US Dollar/Tons	12127	US Dollar/Tons	13171	US Dollar/Tons	461	35	Tons	
"Spain"	8308	US Dollar/Tons	7156	US Dollar/Tons	7167	US Dollar/Tons	7481	US Dollar/Tons	7600	US Dollar/Tons	8121	US Dollar/Tons	7350	US Dollar/Tons	7089	US Dollar/Tons	4875	US Dollar/Tons	8125	US Dollar/Tons	9000	US Dollar/Tons	8444	US Dollar/Tons	7471	US Dollar/Tons	10130	US Dollar/Tons	10222	US Dollar/Tons	8167	US Dollar/Tons	7846	US Dollar/Tons	7318	US Dollar/Tons	7300	US Dollar/Tons	7077	US Dollar/Tons	368	52	Tons	
