Exporters	Imported value in 2008-M01	Imported value in 2008-M02	Imported value in 2008-M03	Imported value in 2008-M04	Imported value in 2008-M05	Imported value in 2008-M06	Imported value in 2008-M07	Imported value in 2008-M08	Imported value in 2008-M09	Imported value in 2008-M10	Imported value in 2008-M11	Imported value in 2008-M12	Imported value in 2009-M01	Imported value in 2009-M02	Imported value in 2009-M03	Imported value in 2009-M04	Imported value in 2009-M05	Imported value in 2009-M06	Imported value in 2009-M07	Imported value in 2009-M08	
"World"	28105	26506	25671	25170	27964	30124	33310	26248	27379	25190	17789	10288	10791	11178	12876	15474	16197	20036	23750	18283	
"Italy"	4650	7442	6195	7064	7239	8430	9295	7344	5750	6236	4416	1757	1816	2544	2348	3089	4147	5242	5491	3842	
"Turkey"	1397	1256	1895	1310	2360	2094	2303	2470	1717	1964	1895	805	1187	1288	989	2184	1209	1991	2573	2336	
"Czech Republic"	8717	2577	1499	792	1498	1498	1165	1052	2110	994	731	957	770	763	492	574	1722	1807	3159	2263	
"China"	2461	2551	3062	1855	2711	2856	4089	4271	2882	2846	1145	1265	1354	696	2605	1558	1396	2119	2594	2110	
"Denmark"	1096	1472	1613	1428	1964	2134	1919	1666	1631	1276	1054	1106	563	651	999	621	830	1647	1454	1154	
"Austria"	810	1496	2146	2074	1424	1694	2084	1546	2137	2311	2547	640	758	1325	429	848	435	985	1913	987	
"France"	1056	516	674	498	595	406	715	235	655	556	266	342	339	247	489	349	987	724	714	946	
"Portugal"	1103	1934	1610	1986	2396	2250	2149	1105	1511	1773	1169	401	657	706	726	1229	907	925	1200	908	
"United States of America"	1531	751	894	930	757	886	546	824	793	837	728	487	883	248	252	421	783	747	803	804	
"Germany"	846	1158	832	671	1087	1087	1067	702	825	803	586	342	208	644	546	686	630	762	861	483	
"Ireland"	224	346	684	613	624	333	737	269	468	824	346	348	100	281	280	369	335	346	351	371	
"Poland"	263	184	343	263	269	426	191	981	1182	913	528	346	674	269	285	269	211	383	439	316	
"Spain"	1929	2293	1556	2820	2729	2149	2668	1274	2425	1402	897	522	299	323	274	743	347	380	395	303	
"Taipei, Chinese"	51	4	77	85	87	179	217	261	150	104	0	0	0	145	92	235	169	165	149	285	
"Russian Federation"	0	0	0	2	0	390	514	6	0	0	54	0	85	0	8	87	261	0	172	161	
"Finland"	401	280	366	246	545	449	330	297	604	386	419	151	297	185	546	74	118	152	145	145	
"Hungary"	5	153	335	232	115	405	222	220	580	163	79	31	40	143	541	1154	439	182	322	137	
"Lebanon"	0	1	156	375	161	0	0	0	0	0	0	0	0	0	0	0	560	495	219	121	
"Netherlands"	425	504	531	713	704	999	653	670	814	755	455	331	498	252	535	323	397	606	453	116	
"Greece"	68	226	25	251	93	249	268	142	32	114	85	167	0	26	53	164	134	106	133	112	
"Mexico"	78	156	197	183	190	236	193	209	196	271	188	189	104	191	135	187	12	16	28	77	
"United Arab Emirates"	232	126	32	171	59	0	163	123	0	56	11	0	0	0	0	0	0	15	0	69	
"Hong Kong, China"	282	254	282	102	0	23	47	26	3	15	0	0	0	0	0	0	106	0	0	66	
"Slovakia"	154	153	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	53	
"Belgium"	26	36	31	33	50	37	50	167	78	107	51	4	68	51	44	51	28	38	146	48	
"South Africa"	0	0	72	77	2	416	1366	41	0	105	0	0	0	93	33	161	0	118	0	41	
"Brazil"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	13	
"New Zealand"	0	0	0	0	9	49	0	0	0	0	0	0	0	0	6	0	10	10	0	11	
"Sweden"	0	73	48	25	11	5	3	3	22	18	0	0	3	8	2	3	14	5	6	4	
"Korea, Republic of"	0	35	0	77	0	36	0	77	0	0	0	0	0	0	0	0	0	0	0	2	
"Malaysia"	0	9	42	10	1	0	0	0	94	0	0	0	0	0	0	0	0	33	0	1	
"Romania"	73	0	0	0	93	84	0	57	561	93	0	0	0	0	0	0	0	0	0	0	
"Slovenia"	161	515	259	253	172	273	268	42	155	88	112	90	78	91	165	94	3	9	5	0	
"India"	31	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
"Singapore"	0	0	0	0	0	0	30	0	0	0	3	0	0	0	0	0	0	0	0	0	
"Switzerland"	0	0	0	0	0	0	0	50	0	0	0	7	0	0	0	0	0	0	0	0	
"Thailand"	31	0	0	0	0	0	0	4	0	138	0	0	0	10	0	1	0	0	0	0	
"Lithuania"	0	0	22	30	0	0	24	0	0	28	21	0	7	0	0	0	0	0	0	0	
"Luxembourg"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	
"Norway"	0	5	0	0	0	0	2	5	0	0	0	0	0	0	2	0	0	0	0	0	
"Japan"	0	0	0	0	18	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Iceland"	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	
"Indonesia"	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	11	0	0	
