Exporters	Imported value in 2004-M11	Imported value in 2004-M12	Imported value in 2005-M01	Imported value in 2005-M02	Imported value in 2005-M03	Imported value in 2005-M04	Imported value in 2005-M05	Imported value in 2005-M06	Imported value in 2005-M07	Imported value in 2005-M08	Imported value in 2005-M09	Imported value in 2005-M10	Imported value in 2005-M11	Imported value in 2005-M12	Imported value in 2006-M01	Imported value in 2006-M02	Imported value in 2006-M03	Imported value in 2006-M04	Imported value in 2006-M05	Imported value in 2006-M06	
"World"	9189	8382	6729	7106	7567	6394	7091	8888	8402	8138	8813	8363	8422	7249	7252	5960	7671	5760	8585	8926	
"Germany"	1009	1322	1323	1089	1413	1025	1551	1875	1894	954	1347	1109	1314	1379	991	1355	1616	1491	1609	1592	
"Italy"	2688	2029	1092	1946	1446	1806	1448	1349	1278	1796	1917	1686	1626	1103	1037	1263	1692	917	1630	1505	
"Turkey"	1575	756	1427	1242	1274	479	383	741	1453	933	1611	1371	642	872	1719	832	1037	819	1597	1238	
"Hungary"	0	1158	913	1101	1430	520	808	1095	888	964	634	516	849	484	428	285	373	508	1077	1027	
"Denmark"	442	262	199	176	256	164	138	201	149	142	138	173	114	120	114	216	484	362	757	951	
"China"	1772	1557	989	506	566	1037	1518	2059	1306	1666	1059	1882	2181	1880	1029	703	962	609	612	870	
"Sweden"	0	189	160	201	144	175	150	367	263	480	477	292	326	174	514	253	179	243	372	691	
"Slovenia"	923	779	313	379	496	480	501	572	661	595	581	466	460	490	409	228	320	248	353	387	
"United States of America"	446	120	54	60	17	336	74	69	60	69	101	46	29	124	155	152	121	305	305	205	
"Netherlands"	0	6	21	161	266	102	138	164	96	111	147	120	101	80	202	87	285	49	133	125	
"Poland"	66	29	18	0	9	49	156	79	112	208	56	138	144	0	1	81	139	13	0	123	
"France"	200	143	115	141	114	96	126	146	136	40	30	27	37	31	34	54	75	65	18	86	
"Austria"	19	32	10	72	7	24	29	26	74	24	125	37	41	47	0	31	139	98	36	76	
"Spain"	0	0	21	26	93	49	24	43	18	73	124	46	85	82	26	31	0	18	5	34	
"Greece"	44	0	29	2	33	0	17	49	16	27	11	4	53	4	14	0	2	13	22	8	
"Australia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	6	
"Ireland"	2	0	0	1	4	5	2	2	0	1	13	2	0	72	0	1	7	1	2	2	
"South Africa"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	
"Thailand"	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	36	0	0	0	
"Hong Kong, China"	0	0	45	0	0	44	0	0	0	49	421	315	324	242	549	389	176	0	57	0	
"Portugal"	0	0	0	0	0	0	0	0	0	0	0	8	61	31	0	0	0	0	0	0	
"Romania"	0	0	0	0	0	0	28	52	0	0	0	111	36	35	30	0	0	0	0	0	
"Singapore"	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	
"Japan"	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Korea, Republic of"	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	
"Lithuania"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	
"Malta"	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	
