Importers	2005-M07-Exported unit value, US Dollar/Units	2005-M08-Exported unit value, US Dollar/Units	2005-M09-Exported unit value, US Dollar/Units	2005-M10-Exported unit value, US Dollar/Units	2005-M11-Exported unit value, US Dollar/Units	2005-M12-Exported unit value, US Dollar/Units	2006-M01-Exported unit value, US Dollar/Units	2006-M02-Exported unit value, US Dollar/Units	2006-M03-Exported unit value, US Dollar/Units	2006-M04-Exported unit value, US Dollar/Units	2006-M05-Exported unit value, US Dollar/Units	2006-M06-Exported unit value, US Dollar/Units	2006-M07-Exported unit value, US Dollar/Units	2006-M08-Exported unit value, US Dollar/Units	2006-M09-Exported unit value, US Dollar/Units	2006-M10-Exported unit value, US Dollar/Units	2006-M11-Exported unit value, US Dollar/Units	2006-M12-Exported unit value, US Dollar/Units	2007-M01-Exported unit value, US Dollar/Units	2007-M02-Exported unit value, US Dollar/Units	Exported value in 2007-M02, US Dollar thousand	Exported quantity in 2007-M02, Units	
"World"	78	91	105	92	97	98	104	98	86	83	96	116	124	129	111	112	147	145	112	123	21954	178732	
"United States of America"	130	118	154	156	113	87	104	110	89	99	69	91	94	114	82	96	124	117	82	116	4516	38991	
"Australia"	184	227	258	204	260	338	401	152	150	157	387	279	172	131	114	339	132	330	276	276	2050	7432	
"India"	813	48	162	25	211	532	779	368	352	655	442	134	485	688	1368	53	466	660	1063	626	1348	2155	
"Italy"	22	21	22	21	23	34	35	27	32	52	72	158	97	98	92	104	141	95	83	90	1248	13836	
"Japan"	118	119	200	158	141	219	220	108	115	68	143	157	146	249	254	225	191	204	178	153	852	5561	
"United Kingdom"	44	134	37	86	68	98	71	75	62	48	128	85	91	49	48	39	113	258	132	58	764	13105	
"Germany"	133	149	121	221	110	60	62	108	54	70	89	109	110	146	86	101	118	128	77	56	687	12354	
"Korea, Republic of"	27	116	82	170	98	168	169	1564	255	131	74	193	121	253	166	214	110	371	55	480	643	1339	
"France"	104	108	43	59	215	121	102	52	106	66	67	72	72	49	79	170	135	107	33	125	637	5087	
"Canada"	67	37	78	83	108	116	126	156	110	78	79	58	64	102	58	85	122	86	83	103	595	5767	
"Indonesia"	203	195	206	174	204	228	191	136	370	132	191	171	251	182	173	134	169	149	130	160	584	3641	
"Netherlands"	303	138	162	98	59	14	45	86	74	25	43	219	99	109	82	180	75	132	293	89	485	5439	
"United Arab Emirates"	236	192	259	212	327	303	191	252	686	108	260	167	212	144	252	321	286	143	245	126	465	3691	
"Philippines"	265	210	182	967	229	280	360	119	327	160	1000	281	143	306	1113	505	471	162	391	265	462	1745	
"Spain"	121	59	50	50	45	33	44	104	35	48	46	79	80	63	75	98	69	76	41	66	453	6892	
"Viet Nam"	171	357	562	287	200	216	400	125	110	113	137	154	222	280	195	337	263	247	239	330	416	1262	
"Belgium"	22	124	22	32	18	20	24	213	58	268	107	156	69	102	84	92	101	77	62	77	399	5149	
"Denmark"	340	109	81		29	51	36	28	170	45	149	174	130	167	209	19	188	123	223	92	369	3991	
"Russian Federation"	406	215	97	2034	668	489	180	516	42	117	74	907	508	879	436	247	566	1338	1308	37	352	9631	
"Malaysia"	192	316	135	8136	297	584	997	107	166	608	114	3390	182	1592	780	369	548	408	803	668	288	431	
"Albania"							667			157	306		610							268	242	903	
"Turkey"	38	30			125	24		29	2000	39		19	31		250			500		55	239	4383	
"Hong Kong, China"	437	383	390	474	193	254	244	129	170	113	204	321	316	238	336	246	212	124	87	211	226	1072	
"Sweden"	255	262		44	57	34	21	17	51	21	47	444	40	556		172	561	417	147	62	180	2913	
"Greece"	133	150		375	90	145	74		56	90	148	234	146	152	208	159	168	488	315	289	162	560	
