Importers	2005-M07-Exported unit value, US Dollar/Units	2005-M08-Exported unit value, US Dollar/Units	2005-M09-Exported unit value, US Dollar/Units	2005-M10-Exported unit value, US Dollar/Units	2005-M11-Exported unit value, US Dollar/Units	2005-M12-Exported unit value, US Dollar/Units	2006-M01-Exported unit value, US Dollar/Units	2006-M02-Exported unit value, US Dollar/Units	2006-M03-Exported unit value, US Dollar/Units	2006-M04-Exported unit value, US Dollar/Units	2006-M05-Exported unit value, US Dollar/Units	2006-M06-Exported unit value, US Dollar/Units	2006-M07-Exported unit value, US Dollar/Units	2006-M08-Exported unit value, US Dollar/Units	2006-M09-Exported unit value, US Dollar/Units	2006-M10-Exported unit value, US Dollar/Units	2006-M11-Exported unit value, US Dollar/Units	2006-M12-Exported unit value, US Dollar/Units	2007-M01-Exported unit value, US Dollar/Units	2007-M02-Exported unit value, US Dollar/Units	Exported value in 2007-M02, US Dollar thousand	Exported quantity in 2007-M02, Units	
"Kuwait"	692	273	216	119	841	562	523		256	190	255	883	333	78		891	524	977	630	159	154	966	
"Peru"				333								140			42	167	84	99	250	19125	153	8	
"Kazakhstan"	243	175	235	250		200			289	261	237	249	387	382	444	182	550	205	288	544	149	274	
"Singapore"	166	533	231	506	335	247	204	386	313	152	367	416	577	295	281	222	304	80	263	256	147	574	
"Poland"	1500					375	42	24	38	51	333			481	220		2000	200	304	144	145	1004	
"South Africa"	97	165	118	288	172	108	112	184	169	230	190	303	216	145	138	94	350	205	203	391	128	327	
"New Zealand"	56	234	102	95	32	199	280	502	368	183	368	57	1220	55	55	34	336	256	229	432	120	278	
"Saudi Arabia"	248	234	83	518	556	133		300	840	235	356	5900	112	1000	176	121	216	281	345	89	119	1332	
"Portugal"	63	25	93	706		75		198	253	94	132	68	167	243	476	226	192	649	123	131	117	893	
"Israel"	307	166	80	600	265	127	700	852	126	128	305	280	128	562	344	114	59	116	189	69	115	1670	
"Chile"	124	1000	89	439	12773	383	500	333	27	348	294	51	157	100	580	330	103	219	132	476	108	227	
"Madagascar"	485	150				1000	326			169		160				667	140	18000	264	556	99	178	
"Panama"	150	23		178	292	1800		186			137	221	246	104	192	174	185	417	61	165	90	544	
"Bulgaria"	103	60					117					157	200	600	85			706	38	45	88	1944	
"Kyrgyzstan"	242		333			6000	150	196	222	181	242	228	769	241				273		257	86	334	
"Latvia"												19	333			542	76	561		46	81	1748	
"Colombia"								45	40		73	79	182			82	40	507	55	165	80	484	
"Ukraine"	17		333		462		200	198	402	243	69		396	500		178	262	247		311	78	251	
"Macao, China"	241	158	156	379	208	239	268	128	205	230	202	236	289	336	204	412	432	496	428	422	65	154	
"Jamaica"				309	100		208						121	417					360	196	61	312	
"Mexico"			193	81	46	40	111	58	121	400	55	162	122	41	77	40	69	40	76	109	59	542	
"Angola"	176	870	1200	500		183	155	40	432	413	815	213	281	87	179	218	667	262	314	219	55	251	
"Cameroon"		109				194								111						213	54	254	
"Jordan"	500	905	167	656		160	423	1074	182	25		351	300	674		250				730	54	74	
"Ireland"	667		429		583	120	733	2833	98		67		56		79	44	141	170	79	72	51	705	
"Taipei, Chinese"	319	170	263	128	63	402	178	15	356	230	107	189	532	1242	260	280	455	277	298	159	49	308	
"Brazil"	192	45			25	47	27	177	64	30	60	101	55	78		48	64	48	115	59	48	811	
"Thailand"	35	282	151	30	96	71	329	250	176	802	224	3172	730	394	142	227	635	923	293	219	47	215	
"Lebanon"	338	553	100		444	250	444		98	333	243	541	783			321	454	588		347	41	118	
"Bangladesh"		4000	1833	168	134	164	1155	5750		778	172	1672	931	170	262		186	1241	20000	217	38	175	
"Iraq"	197						130		141	135	127		148		130	124	438	110		237	37	156	
"Pakistan"	3000	482	293	667	1087	478	828		1000	429	538	710	1600	260	250	811	429	451	1100	474	37	78	
"Venezuela, Bolivarian Republic of"	333		164					45	3000			49		100		56	1636			222	36	162	
"Yemen"		208	333	222		125		138	267			175	288	148	119		224	286	183	132	34	258	
"Armenia"					375							102					126			152	27	178	
"Hungary"	643		560				18								584	500		500		686	24	35	
"Nepal"	179								191			560		94						172	23	134	
"Korea, Democratic People's Republic of"	153	117	177	198	181	132	121	145	199	180	171	182	201	172	176	236	141	129	130	142	23	162	
"Tanzania, United Republic of"	173	142			161		156	150		667	545	333			102					193	23	119	
"Mongolia"	154	282	227	150	576	345	226	115	231	145	162	309	169	135	187	169	149	152	180	151	21	139	
"Qatar"	406	500	270			112	220	395	107	577	615	767	562	576	417		618	407		667	20	30	
"Finland"			40	43	66	17				41	16	175		44	47	121	133000	1500	339	20	20	1000	
"Gabon"				104			159		167								160		125	96	17	178	
"Mozambique"		222						571	235	181		164	145	150						224	17	76	
"Côte d'Ivoire"				250			140	171		164			171	147				190	2000	188	15	80	
"Papua New Guinea"	692		361	389		381		692	361	600	239		405	333	373		122	132		405	15	37	
"Dominican Republic"		65		136		4000	132				170			454						170	15	88	
"Bolivia, Plurinational State of"															360			3667		556	15	27	
"Costa Rica"	169						211		500		1000	288	333			714	77	138		259	14	54	
"Sri Lanka"	187	231	373	351	437	62	206	619	1455	156	403	156	320	235	184	207	229	521	267	141	14	99	
"Nigeria"	159	146	151	124	165	64	152	1000	151	667	165	136	437	174	157	177	461	360	338	179	14	78	
"Dominica"										543										178	13	73	
"Solomon Islands"		167			250			300	357				197			250	294	241		6000	12	2	
"Sudan (before 2012)"	750									137			298	241		33000		148	100	226	12	53	
"Syrian Arab Republic"					375						870		1750		1000				245	550	11	20	
"Trinidad and Tobago"	122				153							111				226				185	10	54	
"Paraguay"										13					14			171		137	10	73	
"Argentina"	23	19		167	25	15	25750	333			53		45		66	23	64	34	56	22	10	460	
"Haiti"																				63	10	160	
"Cyprus"	263	117	500						243	188	74		500		917	636		46	827	36	8	220	
"Mayotte"														200				141	205	188	6	32	
"Myanmar"	250			833	2000	1053	180		6333	818	2500		1077	929	1750	750		786	148	1000	6	6	
"Cambodia"				2000	1000					1000			6429	1333						714	5	7	
"Algeria"	1439	357	679		79				108			195				173			276	5000	5	1	
"New Caledonia"		158	585	357	192		1500		277	559					170	333	162			714	5	7	
"Senegal"	167					150				175				245	250			173		185	5	27	
"Namibia"					145	200				333				250	200	145		278		714	5	7	
"Samoa"	448	333				267		2333					141		1077	200				238	5	21	
"Djibouti"					1222	769												667		1000	4	4	
"Guinea"				125											1000			378		500	2	4	
"Bahrain"			333	875		306			133	18	429	429	100	444		429	429	194	423	500	2	4	
"Kenya"	74		145	47	600	283	242	154	304	68	192	224	227	45	260		45			125	2	16	
"Libya, State of"	690					600	1000			821				375					683	125	2	16	
"Rwanda"																				2000	2	1	
"Romania"									94	22	87	132	43	125		143				167	1	6	
"Egypt"	500	61	108		250	400	59			50	138	158	40	198	495	714			958	250	1	4	
"Turkmenistan"	250	250																			0		
"Tuvalu"																			200		0		
"Uruguay"		42				71	24		47	20					53		183		92		0		
"Uzbekistan"		94								250	143000					2985					0		
"Tunisia"		1000				438	24				156	138	127								0		
"Tajikistan"	244								162		143	150					2800				0		
"Togo"			455			9.51															0		
"Tonga"									105												0		
"Serbia and Montenegro"															286						0		
"Zambia"													20	52							0		
"Area Nes"																					0		
"Nicaragua"		4000																			0		
"Niger"																31000					0		
"Vanuatu"						300															0		
"Netherlands Antilles"			181									121	235				196				0		
"Aruba"											143			167							0		
"Norway"					99	2000			23	19	37		71		167	99	52	169	19		0		
"Marshall Islands"			500																		0		
"Palau"																		1000			0		
"Saint Lucia"																		56			0		
"Seychelles"												667		108							0		
"Sierra Leone"			257		3667		256								160	1000					0		
"Suriname"		220				840	400	373							318						0		
"Switzerland"	44					182	50	215			59			117	67	262					0		
"Slovakia"														579							0		
"Slovenia"									80			137									0		
"Lithuania"		643			482			107	524				400								0		
"Luxembourg"																					0		
"Lao People's Democratic Republic"									400						141						0		
"Oman"	48	44				47			52		52										0		
"Moldova, Republic of"																	213				0		
"Morocco"	291			206	43	39			143	109	16		173	251	241		56	45			0		
"Malawi"											137						174				0		
"Maldives"							143	1286		200			150					182			0		
"Malta"	226					280						550	106			1045					0		
"Mauritania"																			203		0		
"Mauritius"	333	170	22		200	214		350				389	257	296	137	583	333	167	95		0		
"China"																					0		
"Cabo Verde"					179						172										0		
"Central African Republic"						70															0		
"Congo"		114			150		230			210		192		1000		227	184		151		0		
"Congo, Democratic Republic of the"		200				3000		111	190				149								0		
"Cook Islands"	556																				0		
"Czech Republic"		154			700	288	463			165	325	269	173	72	83	540		500	329		0		
"Benin"	167			120		68						140		200				462			0		
"Croatia"												67	121		750						0		
"Cuba"												17			14		265				0		
"Afghanistan"				4000																	0		
"Austria"	20				1000	160				137	216			250	250						0		
"Bahamas"										139											0		
"Brunei Darussalam"	392	2571	181						714							173	192	149			0		
"Belize"								175													0		
"Barbados"													625								0		
"Guyana"	1000																				0		
"Honduras"															500						0		
"Grenada"	222										280					192					0		
"Guatemala"			172		1000	162		1000	1000			750	1000		667	500	400	750	250		0		
"Ghana"	135	100		119	55		293		146	127	149	126	349	545	227	165	453	195	155		0		
"Iran, Islamic Republic of"	27		125		200	800	1000		20						6000	1000	140	800	131		0		
"Georgia"							3083			150	152	1000	160				1880				0		
"Gambia"										174											0		
"French Polynesia"			400					520	186	786	404		100	117					256		0		
"Ecuador"			146	173	131	235	511	197	30	210	215		215	198	503		125	76	176		0		
"El Salvador"												192									0		
"Equatorial Guinea"	78																	200			0		
"Ethiopia"									156				135	204		4000	137	125	467		0		
"Eritrea"										444											0		
"Estonia"					731										529						0		
"Fiji"		250	467	292	295	143	364	769	96			263		364		268	235	1000			0		
