Importers	2007-M02-Exported unit value, US Dollar/Units	2007-M03-Exported unit value, US Dollar/Units	2007-M04-Exported unit value, US Dollar/Units	2007-M05-Exported unit value, US Dollar/Units	2007-M06-Exported unit value, US Dollar/Units	2007-M07-Exported unit value, US Dollar/Units	2007-M08-Exported unit value, US Dollar/Units	2007-M09-Exported unit value, US Dollar/Units	2007-M10-Exported unit value, US Dollar/Units	2007-M11-Exported unit value, US Dollar/Units	2007-M12-Exported unit value, US Dollar/Units	2008-M01-Exported unit value, US Dollar/Units	2008-M02-Exported unit value, US Dollar/Units	2008-M03-Exported unit value, US Dollar/Units	2008-M04-Exported unit value, US Dollar/Units	2008-M05-Exported unit value, US Dollar/Units	2008-M06-Exported unit value, US Dollar/Units	2008-M07-Exported unit value, US Dollar/Units	2008-M08-Exported unit value, US Dollar/Units	2008-M09-Exported unit value, US Dollar/Units	Exported value in 2008-M09, US Dollar thousand	Exported quantity in 2008-M09, Units	
"World"	123	109	100	102	119	119	122	112	109	130	149	153	165	126	118	148	162	201	210	211	21116	99925	
"United States of America"	116	75	68	76	87	81	82	78	71	90	106	138	107	72	74	118	132	181	144	100	3317	33142	
"United Kingdom"	58	107	139	114	156	207	241	232	278	263	177	159	254	175	114	243	181	300	320	256	1533	5988	
"Italy"	90	153	78	108	116	150	136	159	118	139	190	172	193	140	103	138	167	159	185	190	1481	7778	
"Australia"	276	115	230	149	81	201	279	154	261	246	330	317	227	451	555	464	512	343	389	405	1034	2555	
"Indonesia"	160	113	229	124	230	174	199	148	325	179	169	160	172	157	159	175	240	233	235	280	1018	3640	
"Germany"	56	70	85	89	95	151	126	97	86	122	221	162	114	86	145	133	213	307	135	195	1010	5168	
"Japan"	153	236	85	170	121	93	161	209	176	161	144	250	397	220	194	185	115	172	359	319	977	3060	
"United Arab Emirates"	126	286	196	156	228	176	267	268	323	272	290	377	153	229	316	240	240	266	298	291	758	2607	
"Canada"	103	77	72	69	73	63	41	69	72	108	127	72	203	140	66	78	57	110	202	173	671	3875	
"Hong Kong, China"	211	252	320	316	294	244	336	717	215	447	285	611	314	356	568	193	491	632	596	429	665	1550	
"Nigeria"	179	266	328	188	193	149	213	110	129	259	205	152	208	257	237	205	201	350	264	225	642	2848	
"Singapore"	256	149	200	378	432	296	307	423	485	302	307	540	207	489	302	846	446	249	706	265	541	2038	
"Taipei, Chinese"	159	192	206	142	277	192	950	199	320	204	357	497	612	226	394	560	233	724	348	1033	470	455	
"France"	125	95	126	107	135	134	172	237	80	92	104	130	102	94	105	116	241	118	135	224	419	1867	
"Netherlands"	89	159	51	132	75	99	96	129	56	89	116	50	91	62	135	111	58	147	310	180	365	2028	
"South Africa"	391	436	366	74	157	181	131	543	264	229	357	106	250		341	294	265	251	669	465	328	706	
"Saudi Arabia"	89	55	1355	199	92	217	143	233	243	165	254	239	323	192	205	162	273	220	297	239	308	1290	
"India"	626	946	796	982	750	1257	1040	914	974	520	215	662	972	517	1026	1195	454	882	1162	789	302	383	
"Korea, Republic of"	480	141	486	152	219	191	231	143	257	246	174	326	331	196	166	180	191	306	263	268	286	1068	
"Philippines"	265	335	204	229	255	225	169	320	241	211	457	538	287	398	388	768	482	263	259	421	281	667	
"Pakistan"	474	269	496	222	293	769	1033	1176	722	194	454	1306	364	301	208	733	235	284	708	1368	264	193	
"Spain"	66	118	71	73	66	76	68	64	69	53	65	144	128	124	83	78	89	110	229	140	256	1824	
"Russian Federation"	37	1005	109	141	415	461	261	554	479	739	609	223	429	2344	1412	4385	777	229	532	225	218	971	
"Thailand"	219	50	110	52	163	445	243	204	131	177	362	98	295	84	201	216	206	191	170	477	197	413	
"Angola"	219	99	290		6846		223	169	227	255	180	286	1255	151	234		247	252	152	239	196	820	
"Brazil"	59	66	32	61	32	75	57	60	66	49	53	53	134		57	82	90	67	74	112	192	1713	
"Czech Republic"			226		165	77	630	430	58	81	84	163	101	73	92	98	95	98	107	307	168	548	
"Chile"	476	125	178	357	256	417	214	222	432	175	230	120	317	526	337	481	287	275	118	431	150	348	
"Viet Nam"	330	159	134	198	360	180	185	171	388	483	262	251	155	199	181	204	182	222	223	275	147	534	
"Malaysia"	668	1369	1908	278	693	657	861	1135	588	1058	239	187	553	315	190	311	200	852	283	224	140	625	
"New Zealand"	432	332	232	264	412	610	66	490	356	305	274	329	290	246	411	266	265	292	225	407	140	344	
"Panama"	165	500	179	223	100	45	171	185	202	508		169	201		122	184	220	232	200	251	139	553	
"Belgium"	77	47	36	68	91	88	102	417	439	76	200	148	63	90	22	233	216	275	354	272	121	445	
"Denmark"	92	156	55	114	234	176	188	265	344	231	472	167	187	63	214	199	164	254	201	231	116	502	
"Portugal"	131	202	441	333	77	47	237	312	771	41	236	233	691	1040	233	322	211	309		409	114	279	
"Iraq"	237		121	191	180	177	168			265	167	191	155	186	185	172	167	160	163	148	112	758	
"Israel"	69	65	249	105	127	310	155	64	232	159	258	288	290	104	147	99	300	293	99	689	104	151	
"Norway"		175	25		206	59	153	353		118	239	63	88	124	155	39	143	82	92	166	102	615	
"Finland"	20	25	58	322	41	58				28		112		236		500		105	149	172	101	586	
"Syrian Arab Republic"	550			550							131		250				679	165		2818	93	33	
"Mongolia"	151	251	333	371	170	176	259	569	512	278	225	217	225	182	177	248	189	187	419	243	82	338	
"Greece"	289	192	152	230	205	138	87	190	241	266	217	238	354	209	130	62	144	326	215	266	81	305	
"Dominican Republic"	170				178	222	191				151			185		174		144	178	590	79	134	
"Peru"	19125	41000	169		5500	233	213	872	158	58	39			139	113		422		2391	2433	73	30	
"Sweden"	62	72	61	41	144	82	48	36		30	199	155	47	168	164	947	321	247		878	72	82	
