Importers	2007-M02-Exported unit value, US Dollar/Units	2007-M03-Exported unit value, US Dollar/Units	2007-M04-Exported unit value, US Dollar/Units	2007-M05-Exported unit value, US Dollar/Units	2007-M06-Exported unit value, US Dollar/Units	2007-M07-Exported unit value, US Dollar/Units	2007-M08-Exported unit value, US Dollar/Units	2007-M09-Exported unit value, US Dollar/Units	2007-M10-Exported unit value, US Dollar/Units	2007-M11-Exported unit value, US Dollar/Units	2007-M12-Exported unit value, US Dollar/Units	2008-M01-Exported unit value, US Dollar/Units	2008-M02-Exported unit value, US Dollar/Units	2008-M03-Exported unit value, US Dollar/Units	2008-M04-Exported unit value, US Dollar/Units	2008-M05-Exported unit value, US Dollar/Units	2008-M06-Exported unit value, US Dollar/Units	2008-M07-Exported unit value, US Dollar/Units	2008-M08-Exported unit value, US Dollar/Units	2008-M09-Exported unit value, US Dollar/Units	Exported value in 2008-M09, US Dollar thousand	Exported quantity in 2008-M09, Units	
"Bangladesh"	217	101	1323	150		92	174		293	182	235		3000		101	625		266	182	202	70	347	
"Kuwait"	159	140	152		166	319	229	1077	872	890	583	214	1000	154	1133	356	410	747	887	615	64	104	
"Lebanon"	347		963	817	205	200	500	576		440		714	1333	2167		378	500	259	383	838	62	74	
"Suriname"						221		618			149			250	273		308			265	57	215	
"Kenya"	125	45	119	190	141	85	281	356		204	179	260		750		300		186	776	487	55	113	
"Côte d'Ivoire"	188	136	2000	189	182	280				405			208	203	319	264		452	173	209	47	225	
"Sri Lanka"	141	411	381	189	333	696	737	283	354	750	266		244	383	3000	1077	477	354	389	331	45	136	
"Cyprus"	36			265	369	600	244		667	463	551		286	420	600	833	296			308	41	133	
"Kazakhstan"	544	230	246	229	205	224	273	253	214	391	575	19500	248	199	267	223	236	537	148	205	38	185	
"Bahrain"	500			304	500		600				286	1000	480	1867	951	833	395	1348	447	1520	38	25	
"Bulgaria"	45	184	689		585	500		40	412			98	104	202	70	160	170		110	407	35	86	
"Estonia"		625	177	14				481			612	192		445	24	483	566	421	435	473	35	74	
"Argentina"	22	54	167	49	56	20	34		82	49	99			83		267	500		226	100	34	340	
"Hungary"	686			246	682	150	146	217	642	605		47	679	29	207		380	658	500	533	32	60	
"Algeria"	5000		837	538	96	523	1074	182	542		337	243	199	243	270	190	780	165	3000	316	31	98	
"Jamaica"	196	122		3135	10000	1143	172		2000		364		1000		157	259	359	178		173	30	173	
"Oman"		75		106		254	52	241		52	667	52	875	259		200	259	667	291	284	29	102	
"Colombia"	165	281	188		253		43	657	774	734	407	379	563	151	407	138	806	2018	1092	2455	27	11	
"Switzerland"			286			160			65	337		242	237	253		119	86	89	240	481	26	54	
"Slovenia"			17	297	188			50	298	63	144	690	394		140		395	183		542	26	48	
"Myanmar"	1000	333	23000	3500	211	2478		873	200	323	1200	692			3269		518		156	198	25	126	
"Ecuador"				245	137	84		177	270	1000	170	200	231			242	280	227	227	166	24	145	
"Nepal"	172	115	80		152	223				203		122			164		191			156	23	147	
"Trinidad and Tobago"	185			197		250	53000						148				169		427	1211	23	19	
"Turkey"	55	23		21	21	24	41	500		762	79		133	140	180	140	138	125	60	239	21	88	
"Romania"	167		19		45	121	91	153		144					154	186	149			157	21	134	
"Iran, Islamic Republic of"		153			162	333	136	310	144	500	118	365		166	300	212	246	223		266	21	79	
"Cabo Verde"																		187		333	19	57	
"Korea, Democratic People's Republic of"	142	326	455	187	203	206	194	236	200			227	100	375	221	227	168	207	209	633	19	30	
"Brunei Darussalam"		133				2000		147	407	111	147	225						191		218	17	78	
"Congo"				267		103	184				139	550				333		185	213	205	15	73	
"Yemen"	132	308	139	163	244	178	183	233	255	272	200	125	174		150	185		223	199	341	15	44	
"Uruguay"		150		49	51	52					216	62	211			73		187	207	255	14	55	
"Jordan"	730	302	254	198	784	265	153	294		933	172	233	188	259	177	189	565	327	433	350	14	40	
"French Polynesia"			192			583	1000		1000	818	192	1000					1071	1000		1000	14	14	
"New Caledonia"	714	556	246		151			256		150			209		269	204	150		167	4667	14	3	
"Qatar"	667	300			829	330	260	243		600	284	250	576			539	595	265	918	737	14	19	
"Slovakia"							1000				194	246	259	229	168					929	13	14	
"Mexico"	109	144	147	162	333	126	83	77	148	125	152	151	144	128	161	141	148	155	238	520	13	25	
"Sierra Leone"				219							344	500								240	12	50	
"Vanuatu"			333			143														375	9	24	
"Namibia"	714			200	562		371	355		244	321			255	255	1889		416	382	889	8	9	
"Macao, China"	422	403	570	211	420	263	468	650	675	646	760	621		934	432	457	867	333	1015	571	8	14	
"Grenada"					254															160	8	50	
"Tunisia"						167							4000				238			3500	7	2	
"Armenia"	152	133		200																194	6	31	
"Papua New Guinea"	405		208	204	208	429	237		375		385	500		310	340	450	520			375	6	16	
"Togo"				571	200	1000	147		185							204				200	5	25	
"Ukraine"	311	177	162			211	167		255	50	167	77	144	162	181		120	173		417	5	12	
"Fiji"		158	234	500	161	73	409				2000	1000		132	93	571	4000		1125	4000	4	1	
"Ghana"		1000	135	149	204	157	172	181	181	138		210	160		213	190	196	194	222	200	3	15	
"Mauritius"		45	750	260		73	208	96	60		111			287	160	130		792	170	500	3	6	
"Niger"																				250	2	8	
"Djibouti"	1000	667				636							1000							200	2	10	
"Gabon"	96			96		114					200	205			125		282	173	133		0		
"Georgia"			48	89	250	335			73	188			252	558		200	308	524	1310		0		
"Gambia"		185															204		204		0		
"El Salvador"								4000			2000										0		
"Equatorial Guinea"									667							111					0		
"Ethiopia"				1154	494	781		706	178	563	857			336							0		
"Dominica"	178		543						333												0		
"Benin"					125		193	45						117		305	167				0		
"Kiribati"							143														0		
"Iceland"					423																0		
"Guatemala"			150		526		392			110	586	353		533	1333		130	200	1244		0		
"Guinea"	500		140							875	200			158		276			171		0		
"Guyana"								235													0		
"Haiti"	63																				0		
"Honduras"															157	189	189		222		0		
"Ireland"	72	72	66	77	88	250	57	141	300	396	905	265	276			364	476	263	3333		0		
"Barbados"					333																0		
"Bolivia, Plurinational State of"	556	400	1000											356			2000				0		
"Solomon Islands"	6000		400			143	500	500								250					0		
"British Virgin Islands"				500																	0		
"Austria"		20	170	108			141		150			130	92	40	27	49	132	400	126		0		
"Bahamas"														220							0		
"Azerbaijan"														300							0		
"Afghanistan"											194										0		
"Albania"	268	500	179	113	543		413	519	407		671				262	400	451				0		
"Congo, Democratic Republic of the"									179			833		222			172	500	262		0		
"Cook Islands"								567													0		
"Costa Rica"	259	113		113		242					500	211		111	113	277			254		0		
"Croatia"			108			4000		155			153					66	172	222			0		
"Cuba"		10			61125			382		1647				926							0		
"Comoros"																1500					0		
"Mayotte"	188				185		182		182		222	176			173				233		0		
"China"																					0	0	
"Chad"																400					0		
"Belarus"																		645			0		
"Cambodia"	714		417		500	455				69							175	1130			0		
"Cameroon"	213					1000	600	196				151		167		158	1200	125	640		0		
"Netherlands Antilles"													235			200					0		
"Montenegro"						474												197	203		0		
"Morocco"		265	4000	146	121	111		82	44		183	373	429				384	339	123		0		
"Mozambique"	224				331	119	314	195	282				248				6000	180	176		0		
"Madagascar"	556	187	173				200		239		213		295	2000		312			947		0		
"Malawi"					233												286		122		0		
"Maldives"		500		100			250					500			1500				353		0		
"Mali"																	16000	233			0		
"Malta"			65		371	431	167	352		500		3000		246			194	519			0		
"Mauritania"						238															0		
"Latvia"	46				600	50	25750	43		619		121	188	152		119	119		748		0		
"Liberia"																102					0		
"Libya, State of"	125			1043	231	256		983	205	175	143		204	1250	482	2815		27500	204		0		
"Lithuania"												121									0		
"Luxembourg"																					0	0	
"Kyrgyzstan"	257	321	176	228	203	197							203	201	203	206	199	168	188		0		
"Lao People's Democratic Republic"						141									181						0		
"Paraguay"	137			147		147					46	500							273		0		
"Poland"	144		88	73	36		137	84	43	130	46		210		53	1500	104		153		0	0	
"Timor-Leste"						2000															0		
"Rwanda"	2000																167				0		
"Saint Lucia"							55														0		
"Saint Vincent and the Grenadines"									333												0		
"Senegal"	185		173	167			163	203	150	187		173	173	173	156						0		
"Serbia"			183		120														113		0		
"Seychelles"											139						415				0		
"Sudan (before 2012)"	226		160	199	244	1034	5000	299		264	1200		235			392	800	376			0		
"Macedonia, The Former Yugoslav Republic of"											40							123			0		
"Egypt"	250	788	667	500	39	1525	297	41	1645	750	800	583	797	931	188	90	782	547	174		0		
"Tanzania, United Republic of"	193		600	250			605		190	103				186	250	216	182	306			0		
"Uzbekistan"		4333		1000		135				1000						170			444		0		
"Venezuela, Bolivarian Republic of"	222						170			115	83	293	121	4600		82	74	100	111		0		
"Samoa"	238			400		244				941	1800				474			2667			0		
"Tonga"			333																		0		
"Tajikistan"														200	200						0		
"Uganda"			417		33						40			3000							0		
"Zambia"							164									800	385				0		
"Area Nes"																					0		
